env_id,axis,stress_factor,best_model_by_median_return,best_median_return,vanilla_median_return,best_minus_vanilla_median
Walker2d-v5,action_noise,0.5,klprho0,2205.2726667543484,1838.1923487121037,367.0803180422447
Walker2d-v5,action_replace,0.5,klprho0p05,205.13447758022136,170.36894761945643,34.76552996076492
Walker2d-v5,actuator_gain,0.5,klprho0p05,363.8033946644974,324.848440634616,38.95495402988138
Walker2d-v5,damping,0.5,klprho0,4056.0159059840103,3906.684014011353,149.3318919726571
Walker2d-v5,foot_left_actuator_gain,0.5,klprho0,2370.7852724607815,862.4926418440114,1508.29263061677
Walker2d-v5,foot_left_damping,0.5,klprho0,3979.721734955654,3884.1874032618734,95.53433169378059
Walker2d-v5,foot_left_friction,0.5,klprho0,4084.8052435638456,3881.558956383673,203.24628718017266
Walker2d-v5,foot_left_mass,0.5,klprho0,3880.457917892709,3798.6771056992866,81.78081219342221
Walker2d-v5,friction,0.5,vanilla,3562.678623384787,3562.678623384787,0.0
Walker2d-v5,friction_damping,0.5,vanilla,3587.1579819156786,3587.1579819156786,0.0
Walker2d-v5,friction_mass,0.5,vanilla,2606.2553289560224,2606.2553289560224,0.0
Walker2d-v5,friction_mass_damping,0.5,vanilla,2558.832528065822,2558.832528065822,0.0
Walker2d-v5,leg_left_actuator_gain,0.5,klprho0,3864.0958111980226,3816.280250514121,47.81556068390182
Walker2d-v5,leg_left_damping,0.5,klprho0,4100.2706773065,3903.133857222374,197.13682008412616
Walker2d-v5,leg_left_mass,0.5,klprho0,4024.1083734436634,3940.5880453208165,83.52032812284688
Walker2d-v5,mass,0.5,klprho0,2891.441373860298,2779.86563814869,111.5757357116081
Walker2d-v5,mass_damping,0.5,klprho0,2743.0475355397184,2727.6485239460567,15.399011593661726
Walker2d-v5,thigh_left_actuator_gain,0.5,vanilla,3545.1404722864863,3545.1404722864863,0.0
Walker2d-v5,thigh_left_damping,0.5,klprho0,3998.9730631098296,3880.5326629151145,118.44040019471504
Walker2d-v5,thigh_left_mass,0.5,klprho0,3969.1161198544696,3824.2193789902058,144.89674086426385
