env_id,model_label,reference_label,support_class,n_model_seeds,n_reference_seeds,delta_reliability_auc,delta_reliability_auc__ci95_low,delta_reliability_auc__ci95_high,probability_reliability_auc_improves,delta_catastrophe_prob_t0p5,delta_catastrophe_prob_t0p5__ci95_low,delta_catastrophe_prob_t0p5__ci95_high,probability_catastrophe_prob_t0p5_improves,delta_cvar20,delta_cvar20__ci95_low,delta_cvar20__ci95_high,probability_cvar20_improves
Walker2d-v5,klprho0p05,vanilla,direct_support,30,30,-0.034301348487800865,-0.09227299276358884,0.021648137974806816,0.1143,0.05063492063492059,-0.01563492063492045,0.11992063492063476,0.0669,0.008510509879860514,0.0003204355164952354,0.018457617096931445,0.98
Walker2d-v5,klprho0p05,vanilla,related_physics,30,30,-0.05790831677156416,-0.1319427879420769,0.005452273791684238,0.04,0.06980599647266311,-0.004568783068783181,0.1588011463844797,0.0341,-0.016040273552506923,-0.06836224579168168,0.033375236031663265,0.2705
Walker2d-v5,klprho0p05,vanilla,out_of_support,30,30,-0.08481987107332456,-0.16419689828696066,-0.017951188868250412,0.0046,0.0943209876543209,0.014444444444444452,0.19259259259259254,0.0058,-0.05544296606613308,-0.12702445524362024,0.012735470086338777,0.0563
Walker2d-v5,klprho0p05,klprho0,direct_support,30,30,-0.062188378390550025,-0.12093685031511656,-0.0047849856559465465,0.0172,0.07158730158730164,0.0034920634920634352,0.14436507936507925,0.0195,-0.0001457804662465742,-0.009193832090745454,0.01058178813069922,0.4739
Walker2d-v5,klprho0p05,klprho0,related_physics,30,30,-0.0717966137220214,-0.14677715250876772,-0.006525409694000563,0.015,0.07537918871252197,0.0002813051146384576,0.1659312169312168,0.0247,-0.0304594648560908,-0.08533422608472749,0.021006342627122487,0.1257
Walker2d-v5,klprho0p05,klprho0,out_of_support,30,30,-0.08866218787012703,-0.1710237212460203,-0.019050637492856307,0.0044,0.08790123456790117,0.008021604938271558,0.18877469135802458,0.0131,-0.08991504317548393,-0.1709520139747591,-0.014183060414644642,0.0108
Walker2d-v5,klprho0,vanilla,direct_support,30,30,0.02788702990274916,-0.013489752057219617,0.07071747369337779,0.9067,-0.020952380952381056,-0.0726984126984127,0.028492063492063457,0.7925,0.008656290346107088,0.0026953449205357623,0.015164023383658664,0.9978
Walker2d-v5,klprho0,vanilla,related_physics,30,30,0.013888296950457235,-0.02279381038822029,0.0478775501988439,0.7907,-0.00557319223985886,-0.03772486772486777,0.027021164021163956,0.6382,0.014419191303583878,-0.021430508344296963,0.051661269905030345,0.7826
Walker2d-v5,klprho0,vanilla,out_of_support,30,30,0.0038423167968024696,-0.030379375879995105,0.035059963402561053,0.6041,0.006419753086419733,-0.01679320987654326,0.031604938271604904,0.3072,0.03447207710935085,-0.02000418834203665,0.08944882573101823,0.8942
