env_id,model_label,seed,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0,6,direct_support,0.5127738889456163,0.5166666666666666,0.05096745368764166
Walker2d-v5,klprho0,6,out_of_support,0.8528546610725753,0.14444444444444443,0.6583554698133551
Walker2d-v5,klprho0,6,related_physics,0.7558870176423231,0.2560846560846561,0.43354144309209236
Walker2d-v5,klprho0,7,direct_support,0.5320553281728355,0.4809523809523809,0.04378171642530881
Walker2d-v5,klprho0,7,out_of_support,0.8373034405099764,0.18148148148148147,0.634652064054075
Walker2d-v5,klprho0,7,related_physics,0.7298759899580082,0.24761904761904763,0.3615847367415269
Walker2d-v5,klprho0,8,direct_support,0.5958607915084212,0.4452380952380952,0.038781560416596056
Walker2d-v5,klprho0,8,out_of_support,0.8840381325740105,0.1111111111111111,0.7414975076680442
Walker2d-v5,klprho0,8,related_physics,0.8264027130524557,0.19417989417989417,0.5410288597987767
Walker2d-v5,klprho0,9,direct_support,0.47573794256375496,0.4809523809523809,0.03180976101596771
Walker2d-v5,klprho0,9,out_of_support,0.7995371070319394,0.1925925925925926,0.5771121027635084
Walker2d-v5,klprho0,9,related_physics,0.7378628817734959,0.23333333333333334,0.4277768474066359
Walker2d-v5,klprho0,10,direct_support,0.3066953245031321,0.6880952380952381,0.04790449231262716
Walker2d-v5,klprho0,10,out_of_support,0.5008567800954702,0.3592592592592593,0.30579682149537835
Walker2d-v5,klprho0,10,related_physics,0.4527029567244646,0.5190476190476191,0.23103841389723578
Walker2d-v5,klprho0,11,direct_support,0.5445646798512809,0.4809523809523809,0.036750173801073725
Walker2d-v5,klprho0,11,out_of_support,0.8302220519967416,0.16666666666666666,0.6130529649514835
Walker2d-v5,klprho0,11,related_physics,0.7224937415183869,0.2931216931216931,0.34348435745459754
Walker2d-v5,klprho0,12,direct_support,0.6929033311475723,0.34285714285714286,0.09063808054338864
Walker2d-v5,klprho0,12,out_of_support,0.9067928940785625,0.09629629629629628,0.9227946942290581
Walker2d-v5,klprho0,12,related_physics,0.8384188021459149,0.18465608465608463,0.5045877641730558
Walker2d-v5,klprho0,13,direct_support,0.48530213902582475,0.5523809523809524,0.046756318877567524
Walker2d-v5,klprho0,13,out_of_support,0.7950028808087286,0.2074074074074074,0.5899536569723463
Walker2d-v5,klprho0,13,related_physics,0.7000961810902422,0.2724867724867725,0.2969541163330302
Walker2d-v5,klprho0,14,direct_support,0.4136048221044432,0.6547619047619048,0.02929860855260097
Walker2d-v5,klprho0,14,out_of_support,0.8646001267905511,0.13703703703703704,0.7259421670981487
Walker2d-v5,klprho0,14,related_physics,0.7906421211678311,0.22116402116402117,0.5560962439290813
Walker2d-v5,klprho0,15,direct_support,0.5667968985265522,0.4119047619047619,0.03313968938633702
Walker2d-v5,klprho0,15,out_of_support,0.8948617712678373,0.1,0.7990887548070948
Walker2d-v5,klprho0,15,related_physics,0.7799114388964088,0.22486772486772486,0.46909195662520337
Walker2d-v5,klprho0,16,direct_support,0.5179781536693718,0.4809523809523809,0.03627241536424441
Walker2d-v5,klprho0,16,out_of_support,0.8607592837384384,0.1259259259259259,0.7193481103247991
Walker2d-v5,klprho0,16,related_physics,0.7995131269441245,0.19523809523809524,0.5382654423633523
Walker2d-v5,klprho0,17,direct_support,0.49689072778704513,0.4809523809523809,0.0304378126982796
Walker2d-v5,klprho0,17,out_of_support,0.8141480907763601,0.1925925925925926,0.5806060577630219
Walker2d-v5,klprho0,17,related_physics,0.7519930572414381,0.2486772486772487,0.385261901057194
Walker2d-v5,klprho0,18,direct_support,0.3995452708601629,0.6547619047619048,0.028051728810191
Walker2d-v5,klprho0,18,out_of_support,0.81435926363145,0.2,0.6016933875348656
Walker2d-v5,klprho0,18,related_physics,0.7152517429981992,0.2962962962962963,0.34346583985085893
Walker2d-v5,klprho0,19,direct_support,0.46116740033186254,0.55,0.04721840702318257
Walker2d-v5,klprho0,19,out_of_support,0.8004079769125166,0.16296296296296295,0.5661853977117148
Walker2d-v5,klprho0,19,related_physics,0.6907990511115135,0.30264550264550266,0.3814125574912506
Walker2d-v5,klprho0,20,direct_support,0.5346808919516477,0.4809523809523809,0.024734992774707677
Walker2d-v5,klprho0,20,out_of_support,0.8324008353577214,0.16666666666666666,0.6004616721458097
Walker2d-v5,klprho0,20,related_physics,0.7067602949409335,0.29417989417989415,0.35900183991902124
Walker2d-v5,klprho0,21,direct_support,0.5110761201449725,0.5166666666666666,0.025497770410986022
Walker2d-v5,klprho0,21,out_of_support,0.8705810734059287,0.13703703703703704,0.850582559773483
Walker2d-v5,klprho0,21,related_physics,0.7459120107965987,0.27089947089947086,0.39636692585827593
Walker2d-v5,klprho0,22,direct_support,0.5622038252954806,0.4452380952380952,0.024702039025185307
Walker2d-v5,klprho0,22,out_of_support,0.8957016371629264,0.1111111111111111,0.8361490012089985
Walker2d-v5,klprho0,22,related_physics,0.7894491152839649,0.20264550264550263,0.41436998577237727
Walker2d-v5,klprho0,23,direct_support,0.47127981020054366,0.5857142857142856,0.04490449734914448
Walker2d-v5,klprho0,23,out_of_support,0.7914768148514066,0.24814814814814815,0.5341886390594272
Walker2d-v5,klprho0,23,related_physics,0.7296736225352304,0.2777777777777778,0.4028749819015108
Walker2d-v5,klprho0,24,direct_support,0.4661270613227512,0.5166666666666666,0.03919720458960955
Walker2d-v5,klprho0,24,out_of_support,0.7252908582096819,0.2,0.51346536075494
Walker2d-v5,klprho0,24,related_physics,0.6547114391177202,0.29365079365079366,0.35116705610363486
Walker2d-v5,klprho0,25,direct_support,0.40513688986808355,0.6904761904761905,0.0356848156098236
Walker2d-v5,klprho0,25,out_of_support,0.7371862599615101,0.2074074074074074,0.5107833529207149
Walker2d-v5,klprho0,25,related_physics,0.64165378931805,0.32751322751322753,0.28514591317905597
Walker2d-v5,klprho0,26,direct_support,0.4880284703365637,0.5476190476190476,0.02303200029553842
Walker2d-v5,klprho0,26,out_of_support,0.775830008525156,0.24444444444444446,0.5498608432858508
Walker2d-v5,klprho0,26,related_physics,0.7245864034572929,0.24126984126984125,0.3333767690101771
Walker2d-v5,klprho0,27,direct_support,0.39055383917281816,0.6523809523809523,0.033808513306350804
Walker2d-v5,klprho0,27,out_of_support,0.7464712594325245,0.25925925925925924,0.5078871784337443
Walker2d-v5,klprho0,27,related_physics,0.6625043834901853,0.34973544973544973,0.3592815519870417
Walker2d-v5,klprho0,28,direct_support,0.4252027504314462,0.5857142857142856,0.05236458037756943
Walker2d-v5,klprho0,28,out_of_support,0.8397449188963544,0.14074074074074072,0.611472868142576
Walker2d-v5,klprho0,28,related_physics,0.7245140768376533,0.28095238095238095,0.3556089582691146
