env_id,model_label,seed,axis,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,vanilla,6,friction,out_of_support,0.5981081543554472,0.4,0.05049921446188128
Walker2d-v5,vanilla,7,friction,out_of_support,0.6105642207753975,0.4,0.05683574497006313
Walker2d-v5,vanilla,8,friction,out_of_support,0.5583159449234375,0.3333333333333333,0.05807313637622008
Walker2d-v5,vanilla,9,friction,out_of_support,0.6871794387210106,0.26666666666666666,0.07447258776662029
Walker2d-v5,vanilla,10,friction,out_of_support,0.7138078603573449,0.3333333333333333,0.060886601151969276
Walker2d-v5,vanilla,11,friction,out_of_support,0.6453245030851079,0.4,0.06927425425076382
Walker2d-v5,vanilla,12,friction,out_of_support,0.671228683534579,0.3333333333333333,0.06851048490469792
Walker2d-v5,vanilla,13,friction,out_of_support,0.7667158885587851,0.26666666666666666,0.13254340458656283
Walker2d-v5,vanilla,14,friction,out_of_support,0.6714512863863825,0.3333333333333333,0.05576512335361228
Walker2d-v5,vanilla,15,friction,out_of_support,0.64001943222107,0.3333333333333333,0.050114519409994264
Walker2d-v5,vanilla,16,friction,out_of_support,0.6143153718225793,0.4,0.052842218826544975
Walker2d-v5,vanilla,17,friction,out_of_support,0.7383591414113693,0.2,0.09399241517604401
Walker2d-v5,vanilla,18,friction,out_of_support,0.7073468227226003,0.26666666666666666,0.060985344495705286
Walker2d-v5,vanilla,19,friction,out_of_support,0.5851816884361646,0.4,0.05225890765621499
Walker2d-v5,vanilla,20,friction,out_of_support,0.7001877027472048,0.26666666666666666,0.052179811851144564
Walker2d-v5,vanilla,21,friction,out_of_support,0.7602679240342155,0.2,0.08965607849240538
Walker2d-v5,vanilla,22,friction,out_of_support,0.6495939639897041,0.26666666666666666,0.06560615822303095
Walker2d-v5,vanilla,23,friction,out_of_support,0.7716055838145944,0.13333333333333333,0.2183317899291922
Walker2d-v5,vanilla,24,friction,out_of_support,0.6291286468990892,0.2,0.05515389856842621
