scenario,n_seeds,gain_mean_of_mean_drop,gain_mean_of_mean_drop_ci95,gain_median_of_median_drop,gain_median_of_median_drop_ci95,gain_iqm_of_mean_drop,gain_iqm_of_mean_drop_ci95,gain_iqm_of_median_drop,gain_iqm_of_median_drop_ci95
friction_1p0,5,0.3021593590545173,1.2354195074472891,0.5342754478862457,2.4394125508636013,0.65590931832435,0.2971344828224901,0.200350323087673,0.31551726810507896
friction_1p1,5,0.08914046254509315,1.0896176074658923,-0.6255344423938037,1.3695184997735703,0.4424696118557314,0.42581391732311447,-0.09500727713480472,0.3439890657922924
friction_1p2,5,-0.47811509471697955,0.3956111185290521,-0.5620088094724419,0.7807084414867518,-0.6131139906120756,0.10485817898793492,-0.42988832850601,0.593104215117749
friction_1p3,5,-0.10154436766325858,0.8612809401312884,-0.726389200341065,0.9464151896283826,-0.27669694559353,0.4096436517036989,-0.44969192999974084,0.4248928511839045
