kind,model_label,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95
group,tv_p75,damping_0p5,5,2844.3503798393585,451.02817967253844,3197.0199892158807,872.9612027373161,3068.0675632128127,696.2805441385873
group,tv_p75,damping_0p6,5,2784.219486140507,462.9882824156272,3205.0853222451015,925.8340458902147,3009.0653314053043,710.8684292986027
group,tv_p75,damping_0p7,5,2762.91910883225,460.8086960369134,3056.0947826748943,835.3367881257562,2983.942037218738,744.129370712566
group,tv_p75,damping_0p8,5,2775.4917639140654,411.2480763849153,3097.6989311427906,830.1687513072475,2976.9144847543507,648.6320578979747
group,tv_p75,damping_0p9,5,2763.4204614564615,410.033502863599,3021.3548915556285,847.84040469706,2950.758777268639,664.220329541502
group,tv_p75,damping_1p1,5,2782.9446058711264,451.71784554828514,3145.805926332551,906.9607063137366,2991.904595304598,725.8706798212273
group,tv_p75,damping_1p3,5,2862.4390661088564,433.1552895859199,3143.038270301587,813.2072665971996,3087.633248464956,696.5200970496924
group,tv_p75,damping_1p5,5,2726.1145654283364,416.6479004013931,3006.7532007372183,900.989455803364,2902.366903140953,715.3770999763119
group,tv_p75,damping_1p7,5,2595.3763695351836,467.8450586212462,2821.4860791074398,885.8410290032563,2744.399976407112,707.0295946032979
group,tv_p75,damping_2p0,5,2712.9399728603717,386.7693065353835,3031.2855554966554,790.8021773875487,2895.6833198651148,594.7607346136241
group,tv_p75,friction_0p5,5,896.8286212546939,376.4620475569937,740.4274608649005,293.4843002088541,740.1598697632218,283.631800667507
group,tv_p75,friction_0p6,5,1400.9620998134005,423.50794098658116,1224.4609972736785,499.2268547875066,1263.0017130199726,503.83160678067094
group,tv_p75,friction_0p7,5,1690.8533776280517,445.27280422067196,1455.3035982462784,404.34963460411564,1558.8873160293676,451.6293516233397
group,tv_p75,friction_0p8,5,2045.477458311533,515.4099848834642,1894.1742921974073,639.681948932749,1999.1993268116778,676.2579895340782
group,tv_p75,friction_0p9,5,2530.5360205008365,431.89561061954,2714.454257642502,838.3041203555802,2628.5542863934693,691.2022318282948
group,tv_p75,friction_1p1,5,2970.1306921147366,247.45175978174137,3404.8131076807886,637.5540154778929,3220.2376535339026,452.55353824182555
group,tv_p75,friction_1p3,5,2810.7032713920557,451.12947044923385,3032.625345973548,797.3141431364947,2964.778106862491,710.4572307171424
group,tv_p75,friction_1p5,5,1765.7279091028672,350.5365675842596,1500.239029118,216.17781309566558,1604.085632264292,291.2166039186905
group,tv_p75,friction_1p7,5,950.1799291994951,66.49877988261571,823.706805098151,86.399383391425,847.5248250112385,71.16817765164882
group,tv_p75,friction_2p0,5,515.6291295528495,120.28303989869957,517.3972384182687,140.64236861249015,519.905599020403,131.72283204908916
group,tv_p75,mass_0p5,5,2711.0864139939436,416.6013589711784,2995.3274130650866,840.430778940087,2895.098631808637,675.5073624696532
group,tv_p75,mass_0p6,5,2754.8631836092004,392.8795646692839,3007.852758284527,861.7449439372157,2936.396240881085,664.0280657502609
group,tv_p75,mass_0p7,5,2646.6501979268496,423.4037668356848,2838.3795837923262,824.6874466699534,2787.6208005207386,661.55972483092
group,tv_p75,mass_0p8,5,2736.2119283110346,395.22817112328545,3109.19396322244,856.5914499902677,2912.5680627627025,666.4383438961501
group,tv_p75,mass_0p9,5,2747.141755175714,402.20281736249444,3134.480834516572,862.1239689149824,2951.96710655993,685.6860511168658
group,tv_p75,mass_1p1,5,2704.3453918538685,436.3988898098696,2985.918769029834,825.1206318142101,2856.991641060529,675.7315632944474
group,tv_p75,mass_1p3,5,2826.1429078545116,463.41134398652355,3209.6183611940314,878.0211093368717,3059.6564779550245,743.8021969404101
group,tv_p75,mass_1p5,5,2879.4824953606667,504.4048282081814,3205.696707070651,932.5352135508555,3097.8454790924993,793.8956019466129
group,tv_p75,mass_1p7,5,2850.4897187568704,472.51232087443833,3318.578358880762,895.3353076568617,3150.1358011857833,708.2936901939976
group,tv_p75,mass_2p0,5,2668.7102144067526,398.19316633451143,2879.062086739449,926.2858120578826,2816.7621446839985,668.9175747720574
group,tv_p75,nominal,5,2744.5709611439634,291.2132011544814,3011.0103123013055,633.6489869712517,2900.593074152356,509.9809781240031
group,vanilla,damping_0p5,5,3141.4523614311634,675.8287777398582,3271.453385046286,918.8718772582524,3312.4893078651403,869.5277118218727
group,vanilla,damping_0p6,5,3198.9509773514355,746.6496376622264,3221.8297628059295,1002.391638926978,3289.384571334286,935.9242510447123
group,vanilla,damping_0p7,5,3146.1235809897694,702.5469699218169,3304.5990075135437,936.5778419629813,3310.1274961060044,889.3291124533239
group,vanilla,damping_0p8,5,3137.405890023475,671.2343539142402,3308.3960760548143,909.7280351770357,3302.650853762099,844.9461358474944
group,vanilla,damping_0p9,5,3191.27958819532,661.0823964810337,3374.4655946386033,898.1463005468205,3379.8402621786327,857.898990856349
group,vanilla,damping_1p1,5,3158.5925163689626,741.9895706480147,3328.277778091455,954.4726799946499,3327.051217860778,928.9128525982404
group,vanilla,damping_1p3,5,3111.654505253414,737.8367766426444,3343.582095819764,898.4327060725735,3280.8100634465954,927.0047049748349
group,vanilla,damping_1p5,5,3028.2676491037196,622.9039976631525,3161.322457752621,994.6313984930841,3207.1530935521014,928.7824528920155
group,vanilla,damping_1p7,5,3105.195678835491,600.1154301090955,3325.8343228485637,896.2739312612073,3304.209424112318,798.214360973856
group,vanilla,damping_2p0,5,3091.2422160044675,644.0860998537505,3266.247784500633,950.6097388275091,3286.034708420292,902.7712293787175
group,vanilla,friction_0p5,5,1262.2114406194428,567.8108020839692,1127.2775814687395,582.9975687764372,1133.7423683153197,587.6133717279157
group,vanilla,friction_0p6,5,1711.274003819342,574.6450989421595,1589.4236840534777,656.2779365631731,1601.35355516298,622.2348004439923
group,vanilla,friction_0p7,5,2148.678765549626,510.18825250375585,2075.226804131543,653.8847723492242,2081.6404821418832,625.8244156703197
group,vanilla,friction_0p8,5,2451.1145790479923,455.3383023993383,2417.0352486198276,763.1192898698707,2446.7823298046596,656.8221825954175
group,vanilla,friction_0p9,5,2994.833935885751,646.7324599543091,3171.7321966239397,955.6851770396471,3156.344084207483,875.57776707363
group,vanilla,friction_1p1,5,3262.927933633861,765.5290714406573,3398.7573465985843,967.971081899269,3385.0002985192414,943.5795690552397
group,vanilla,friction_1p3,5,2335.9154756199973,721.529005420592,2234.7899960194686,958.8221961978384,2276.772966226704,923.6467875675985
group,vanilla,friction_1p5,5,1645.2387232852343,699.3525890500821,1527.5274249818226,705.27161441913,1573.1434177762503,730.4044212027185
group,vanilla,friction_1p7,5,1046.0779474555682,342.4236323163002,1009.93405224614,341.6533551716145,1002.9958461681987,324.1976201474736
group,vanilla,friction_2p0,5,565.333428899321,246.98156494746314,508.85937506287667,152.56360704521606,511.5510764831435,163.60471755024972
group,vanilla,mass_0p5,5,3184.120343597293,703.1128186337888,3232.4822207346056,964.6789239365451,3318.456406221257,885.812943403399
group,vanilla,mass_0p6,5,3125.598813520068,635.490754720565,3259.6198676382546,951.1470168958792,3332.69508910016,886.5621002235605
group,vanilla,mass_0p7,5,3052.16158749241,678.8892722501434,3243.068437063618,952.8903657748702,3241.2742062316343,854.2973637727039
group,vanilla,mass_0p8,5,3179.6521270879844,675.0571211773027,3387.4566221024897,881.3740003825326,3378.987116783968,821.7723121155143
group,vanilla,mass_0p9,5,3105.979768014863,720.7321450384261,3208.3409112355566,1026.352198512928,3253.0104130372156,979.2533350256768
group,vanilla,mass_1p1,5,3187.037939079757,602.0534596279914,3399.820221177546,812.2427617277012,3395.0553682785803,799.80452721685
group,vanilla,mass_1p3,5,3197.727335271042,719.81771151311,3359.1305843562486,935.6184533674143,3373.4415607050423,904.0576197155608
group,vanilla,mass_1p5,5,3170.2326740081116,629.8731095591777,3442.4906617126057,808.9639771339062,3401.8277055469543,812.4880859642801
group,vanilla,mass_1p7,5,3138.195749808362,633.6476454099345,3300.528458832119,940.0224695916597,3342.305092134702,848.6572396505901
group,vanilla,mass_2p0,5,3175.229766692059,776.0410098748123,3311.8746017951403,973.7485807144466,3285.0022514694783,910.348445188788
group,vanilla,nominal,5,3095.4638432282577,705.790321762175,3329.9931402105526,948.0533161768622,3292.973175804894,940.6748257425193
drop,tv_p75,nominal->mass_0p5,5,33.484547150019445,194.9195102445476,15.68289923621901,456.0014963137412,0.015759051326080038,0.06559691893722173
drop,vanilla,nominal->mass_0p5,5,-88.6565003690354,109.35290269781231,97.51091947594678,170.69691458762918,-0.03334506568956125,0.048709345166398285
gain,vanilla_vs_tv_p75,nominal->mass_0p5,5,-122.14104751905484,187.33172430131077,81.82802023972776,415.72508031734407,-151.5444774691232,42.66189904660523
drop,tv_p75,nominal->mass_0p6,5,-10.29222246523732,198.952229401292,3.1575540167777034,532.422185550306,-0.0020225747709302576,0.06574515546719721
drop,vanilla,nominal->mass_0p6,5,-30.13497029181058,136.89494369647034,70.37327257229772,144.4139950774397,-0.017994586118596074,0.05395835453605536
gain,vanilla_vs_tv_p75,nominal->mass_0p6,5,-19.84274782657326,175.91334500139084,67.21571855552001,485.8587642939437,-26.635863394394466,205.46577283371516
drop,tv_p75,nominal->mass_0p7,5,97.92076321711374,215.7120889902705,172.63072850897873,551.5175975027377,0.03930381760966179,0.0737187099859187
drop,vanilla,nominal->mass_0p7,5,43.30225573584753,118.36367957350174,86.92470314693401,159.6630770928915,0.009880561334224058,0.04071771311146672
gain,vanilla_vs_tv_p75,nominal->mass_0p7,5,-54.618507481266214,299.0830627179987,-85.70602536204474,486.44821580549905,-167.32928743602602,122.07454260933908
drop,tv_p75,nominal->mass_0p8,5,8.359032832928278,113.71018020067957,-98.18365092113473,342.38082242807997,0.007240495650685792,0.04124215681551189
drop,vanilla,nominal->mass_0p8,5,-84.18828385972706,123.61342792165107,-57.46348189193768,91.6652950355521,-0.03459174762288603,0.056361310616511714
gain,vanilla_vs_tv_p75,nominal->mass_0p8,5,-92.54731669265534,221.69885956413046,40.72016902919704,384.6407872043056,-88.7380522865357,202.9383844054053
drop,tv_p75,nominal->mass_0p9,5,-2.5707940317504834,165.51118103627533,-123.47052221526728,355.21012838951697,0.0023390837633861365,0.05493928042628141
drop,vanilla,nominal->mass_0p9,5,-10.515924786605273,89.4075799487518,121.65222897499598,128.8644003214688,-0.0033429487028876622,0.028997064360398332
gain,vanilla_vs_tv_p75,nominal->mass_0p9,5,-7.94513075485479,121.55982618807201,245.12275119026327,320.17819234648107,-23.894562132646797,122.68581770029265
drop,tv_p75,nominal->mass_1p1,5,40.22556929009479,242.57938409126757,25.091543271471117,462.19668504687803,0.017727094744593,0.08042736802386057
drop,vanilla,nominal->mass_1p1,5,-91.57409585149976,187.95074055419926,-69.82708096699362,315.59228953538815,-0.044322572116189854,0.0911307169352984
gain,vanilla_vs_tv_p75,nominal->mass_1p1,5,-131.79966514159455,273.13493295421506,-94.91862423846473,493.71669402303866,-159.28908112950134,90.49969064279593
drop,tv_p75,nominal->mass_1p3,5,-81.57194671054849,188.30261634791134,-198.60804889272612,339.8579706731117,-0.023360150285335658,0.06434200091405091
drop,vanilla,nominal->mass_1p3,5,-102.26349204278463,57.588864901281184,-29.137444145695735,145.81489227456893,-0.03449087287697265,0.02059924524344823
gain,vanilla_vs_tv_p75,nominal->mass_1p3,5,-20.69154533223614,211.26035430530777,169.4706047470304,395.74618604886194,-78.47627929493547,145.0297074406717
drop,tv_p75,nominal->mass_1p5,5,-134.91153421670342,232.81115677529573,-194.68639476934618,442.75741886116066,-0.04156701053981001,0.07856563941000298
drop,vanilla,nominal->mass_1p5,5,-74.76883077985399,163.71572443657882,-112.49752150205359,202.52952188657147,-0.03573001781998083,0.0776085881602771
gain,vanilla_vs_tv_p75,nominal->mass_1p5,5,60.14270343684943,309.97598153985564,82.18887326729259,523.7522058980418,110.98601599096553,195.34751830632007
drop,tv_p75,nominal->mass_1p7,5,-105.91875761290753,223.5269187579372,-307.5680465794567,381.51994728986335,-0.032210181232051424,0.08783831436725022
drop,vanilla,nominal->mass_1p7,5,-42.73190658010476,106.73382760293273,29.464681378433124,109.11409765180937,-0.02183915902127432,0.0450899748962965
gain,vanilla_vs_tv_p75,nominal->mass_1p7,5,63.18685103280277,325.32670136300516,337.0327279578898,446.2534332693662,141.8631362931651,288.52634143943027
