damping_scale,friction_scale,mass_scale,tv90_max_return,tv90_mean_return,tv90_median_return,tv90_min_return,tv90_std_return,vanilla_max_return,vanilla_mean_return,vanilla_median_return,vanilla_min_return,vanilla_std_return
0.8,0.8,1.2,4528.7939453125,2343.3951049804687,2281.94384765625,511.70941162109375,1481.1650985148344,12169.2578125,5106.9715576171875,3856.37451171875,1943.5618896484375,4058.491045411715
1.2,1.2,1.2,6849.21728515625,3084.6488037109375,2496.73046875,1020.0284423828125,2214.4738222751225,7993.70703125,5955.563916015625,6991.041015625,2908.037353515625,2063.0105535658076
0.8,1.2,1.2,6996.7685546875,4038.284423828125,2861.072509765625,1853.8583984375,2373.753887784141,13912.568359375,6536.436486816407,3643.169921875,786.4194946289062,6356.367988408943
1.2,0.8,0.8,5523.48095703125,2517.941296386719,2492.79345703125,685.0951538085938,2002.312749328359,16558.486328125,6559.462719726563,3410.623291015625,1591.7913818359375,6162.0276208568575
0.8,0.8,0.8,3092.524169921875,2491.1045654296877,2199.319091796875,2015.0379638671875,548.0007328307291,10969.21875,7056.362475585937,8483.0576171875,1567.1885986328125,4156.332435257983
1.2,0.8,1.2,2486.33740234375,1556.1862731933593,1664.0418701171875,348.7536315917969,794.4913929157128,22751.380859375,8243.828271484375,6384.5,2201.7216796875,8390.726165322269
0.8,1.2,0.8,4740.814453125,2357.7078491210937,1793.7298583984375,902.7737426757812,1479.1495101044286,29828.0546875,8765.997534179687,4046.579345703125,649.8624267578125,11943.628320448273
1.2,1.2,0.8,4809.3916015625,2876.9968017578126,2654.832763671875,1935.4747314453125,1154.8197564231393,25326.69921875,10762.0384765625,10094.9658203125,1258.715576171875,9764.815684382576
