scenario_label,n,gain_mean,gain_mean_ci95,gain_median,gain_median_ci95,gain_iqm,gain_iqm_ci95
nominal->damping_0p5,5,-114.18778864331549,159.59009681740372,42.97056965367974,283.60847699629323,-85.6404779676747,171.1526177305721
nominal->damping_0p6,5,-117.01224016918373,220.29684060345613,-110.42762772977949,412.25083775213096,-75.51156636798653,52.95900993940244
nominal->damping_0p7,5,-72.84254109764792,104.2258829692279,78.20705103766068,207.86702554040195,-72.69728298900365,91.15807811906507
nominal->damping_0p8,5,-129.9878278036355,218.6518143166865,-118.77880692128232,159.31993567673922,-177.85940301883366,94.5599178730647
nominal->damping_0p9,5,-229.15653951764338,163.57358567692194,-191.78965742842382,273.25955900914846,-222.5278594105201,159.1312197727066
nominal->damping_1p1,5,-108.00446432228105,125.82843125102544,-22.57890459520968,231.76259524170212,-116.75106679301712,156.43186917976107
nominal->damping_1p3,5,-79.24313070033563,207.47431001112795,2.7177728486964954,308.74598149532886,-56.2407528355252,234.87015655762517
nominal->damping_1p5,5,-270.4550609745434,193.99067703849752,-206.29433646704518,299.3924890141545,-304.1910143051729,177.05936477625778
nominal->damping_1p7,5,-149.11524031726987,101.49741589519543,-87.35529862143248,177.19408832455045,-133.33142984935026,67.36972623248911
nominal->damping_2p0,5,-124.69909765831957,136.5292789868439,-29.954824005021738,307.6995592114047,-107.31844765795267,16.75846410513904
