scenario_label,model_label,n_paired_seeds,mean_gain_over_vanilla,median_gain_over_vanilla,std_gain,ci95_gain,fraction_seeds_beating_vanilla
actuator_gain_0p5,a2p20,30,-65.62063443583097,-29.644416672508243,433.6759205486334,155.1889350964524,0.4
actuator_gain_0p5,a2p40,30,-74.576584690966,-119.70341528806765,474.6051323637178,169.83526544351116,0.3
actuator_gain_0p5,a2p55,30,-31.41955825952854,-16.687188616934435,422.06420783433094,151.03373706632232,0.43333333333333335
actuator_gain_0p5,a2p65,30,-36.13676416918017,-21.53686066599218,341.01134666419495,122.02934319635318,0.4
actuator_gain_0p5,a2p75,30,-1.615197693095778,6.300356572070285,335.1276199593862,119.92387863525259,0.5
actuator_gain_0p5,a2p80,30,-47.69694040428034,-64.80323848040355,456.726432051217,163.43745470295733,0.3
mass_damping_0p5,a2p20,30,16.419956582730272,5.477588449952126,392.23933279614477,140.36104260197325,0.5
mass_damping_0p5,a2p40,30,-44.10869319089943,-56.82048282373819,373.71694965171775,133.7328929182286,0.43333333333333335
mass_damping_0p5,a2p55,30,13.604219886744007,-26.85005427703419,435.4081933910374,155.80882097199074,0.4666666666666667
mass_damping_0p5,a2p65,30,-25.16631286221123,-39.3341370014295,392.5817505296731,140.48357521424552,0.43333333333333335
mass_damping_0p5,a2p75,30,-20.245338460348616,-24.989285151414038,473.7229473080441,169.51957957565202,0.5
mass_damping_0p5,a2p80,30,59.76877610619787,14.175616359322419,512.089110184391,183.24873463914975,0.5333333333333333
