env_id,model_label,n_axes,axis_mean__nominal_retention,axis_median__nominal_retention,worst_axis__nominal_retention,axis_mean__reliability_auc,axis_median__reliability_auc,worst_axis__reliability_auc,axis_mean__return_cvar10,axis_median__return_cvar10,worst_axis__return_cvar10,axis_mean__return_cvar20,axis_median__return_cvar20,worst_axis__return_cvar20,axis_mean__return_q10,axis_median__return_q10,worst_axis__return_q10,axis_mean__return_min,axis_median__return_min,worst_axis__return_min,axis_mean__catastrophe_prob_t0p25,axis_median__catastrophe_prob_t0p25,worst_axis__catastrophe_prob_t0p25,axis_mean__catastrophe_prob_t0p5,axis_median__catastrophe_prob_t0p5,worst_axis__catastrophe_prob_t0p5,axis_mean__catastrophe_prob_t0p75,axis_median__catastrophe_prob_t0p75,worst_axis__catastrophe_prob_t0p75,balanced_reliability_score,delta_reliability_auc_vs_vanilla,delta_catastrophe_t0p5_vs_vanilla,delta_cvar20_vs_vanilla
Walker2d-v5,tvc400,20,1.0199873985090486,1.0213849290516674,1.0160505274435208,0.7140582983295339,0.7754747989862749,0.3369584029441461,0.23463218835264033,0.12023264245888662,0.0012700044272513189,0.32810268106418944,0.21055681746205676,0.005561781793041238,0.3576414654451199,0.19915664357143367,0.0019182144743332288,0.07755468020156654,0.028025765094968555,-0.00441090774876906,0.22195238095238096,0.13555555555555554,0.5933333333333334,0.27895238095238095,0.21888888888888888,0.7133333333333334,0.3446904761904762,0.2977777777777778,0.81,0.7140582983295339,0.007662070243145913,-0.0032301587301586943,0.001137077958612731
Walker2d-v5,vanilla,20,1.0,1.0,1.0,0.706396228086388,0.7623384627116396,0.3099075989833937,0.2340206447906576,0.12504011240225213,0.001129615756035536,0.3269656031055767,0.21617087637807636,0.005308895912429546,0.3631435730805188,0.19701553067059008,0.0018254368928907743,0.07987943771661257,0.03638488352850065,-0.004162084967167932,0.22727777777777777,0.14666666666666667,0.6233333333333333,0.28218253968253965,0.2222222222222222,0.7533333333333333,0.351452380952381,0.31777777777777777,0.8433333333333334,0.706396228086388,0.0,0.0,0.0
Walker2d-v5,tvc500,20,0.9614025716157129,0.9616406924448826,0.9432115800866562,0.6604454983632444,0.7142201751599004,0.2769978300602178,0.16369137387806038,0.11183551649119586,0.0010570996158273543,0.2593793795298597,0.177894853577019,0.0060576144850435784,0.28793654919238676,0.19014547720527608,0.0018668020667223055,0.07783778629499036,0.03340001052281665,-0.004715728967407505,0.24557142857142855,0.1577777777777778,0.66,0.3238333333333333,0.26666666666666666,0.7966666666666666,0.4165714285714285,0.38222222222222224,0.89,0.6604454983632444,-0.045950729723143624,0.04165079365079366,-0.06758622357571703
Walker2d-v5,tvc300,20,0.8816922399717841,0.8750507044549329,0.8738632791024239,0.653442382095779,0.6616916572901106,0.29312106235576046,0.28031347170778487,0.10771500867997727,0.0011281295320662841,0.3286588839124783,0.17173835054186992,0.007658171779898839,0.33842778774762594,0.16749411375940643,0.0022428150183575594,0.1944656458813129,0.029254790022651724,-0.004132324443261624,0.20853174603174604,0.1677777777777778,0.6133333333333333,0.27575396825396825,0.2722222222222222,0.7533333333333333,0.40386507936507937,0.3977777777777778,0.8866666666666667,0.653442382095779,-0.05295384599060904,-0.006428571428571395,0.0016932808069015648
Walker2d-v5,tvc275,20,0.835333359611121,0.8336540354709092,0.8329302012172128,0.5708257019617495,0.5863412501000718,0.24031472970497333,0.1423914474590934,0.09383095921694783,0.0010780371608160955,0.20346065668360488,0.14495669930937277,0.005059747060745488,0.20756096221667777,0.15486087079511207,0.0018886108701341047,0.0888936619854929,0.049266077184524304,-0.005165997131482915,0.2605952380952381,0.21444444444444444,0.7,0.3760476190476191,0.37444444444444447,0.8266666666666667,0.5785634920634921,0.5755555555555556,0.9233333333333333,0.5708257019617495,-0.1355705261246385,0.09386507936507943,-0.12350494642197182
Walker2d-v5,tvc250,20,0.7718328886924037,0.7631501902218493,0.7627767510105717,0.5165970997444704,0.5120741530260444,0.22093896117626552,0.1386255675715188,0.08662730090871243,0.0009679164706272253,0.17850762666954192,0.13425447180841954,0.005354052858345366,0.18077475097354673,0.13336067323310097,0.0017757229440759936,0.08481630559800792,0.03114950821365143,-0.007932526252282069,0.25782539682539685,0.23555555555555555,0.6966666666666667,0.44871428571428573,0.4622222222222222,0.8566666666666667,0.7113174603174603,0.7322222222222222,0.9633333333333334,0.5165970997444704,-0.1897991283419176,0.1665317460317461,-0.14845797643603478
Walker2d-v5,tvc225,20,0.4213251737733416,0.4078353076303646,0.40728188371851226,0.3570058888919946,0.3515818186629347,0.15374656084121824,0.1064213857937523,0.08881538681701652,0.0009228169806777282,0.12788816236709097,0.1247738530389233,0.0035602194906097086,0.12906814494116664,0.1358603554825949,0.0016368237723148862,0.07370778332741174,0.04662854282329057,-0.005328742517345368,0.3815476190476191,0.3877777777777778,0.83,0.7193650793650794,0.741111111111111,0.9566666666666667,0.9395555555555555,0.9477777777777778,1.0,0.3570058888919946,-0.34939033919439344,0.4371825396825398,-0.19907744073848574
Walker2d-v5,tvc200,20,0.3474215590584081,0.3472259997788797,0.3414459369276607,0.2801125857563175,0.26909736509400023,0.1278403584067534,0.08743935605751833,0.07460609056491241,0.0008236975524861165,0.10508241092459825,0.09888701204837136,0.001657316970758502,0.1064833756190462,0.11152440131529151,0.0014125757930506652,0.05861295196692924,0.027792557176895008,-0.004409856899630239,0.4905396825396825,0.5233333333333333,0.8766666666666667,0.8698333333333332,0.8857142857142857,0.9866666666666667,0.9957777777777779,0.9977777777777778,1.0,0.2801125857563175,-0.42628364233007054,0.5876507936507935,-0.22188319218097846
Walker2d-v5,tvc150,20,0.18019052255283804,0.18042517827384358,0.17411063042102048,0.15899856120066724,0.15745568972277416,0.09743166763887588,0.07184394109051848,0.07777695704256765,0.007120559098499668,0.08274140913273925,0.09364449277948608,0.023585459480215037,0.08353428487077505,0.100804439438246,0.019789842855503767,0.049577717312434585,0.047056861405800524,-0.004668423694812333,0.8966031746031746,0.9011111111111112,0.99,0.9983730158730157,1.0,1.0,1.0,1.0,1.0,0.15899856120066724,-0.5473976668857208,0.716190476190476,-0.24422419397283746
Walker2d-v5,tvc100,20,0.13273097445763576,0.1318585545378499,0.13169526454027786,0.12302496316251557,0.12731512983535412,0.1022752220818312,0.07090555677278206,0.08176299833138256,0.013221590206738944,0.08146560844402502,0.09166714924615686,0.03424416031948117,0.08349797101470965,0.09628606449398658,0.03263049322241989,0.05018320096351779,0.04356595615691096,-0.0012586359577986632,0.9995317460317459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12302496316251557,-0.5833712649238725,0.7178174603174603,-0.2454999946615517
