env_id,model_label,seed,reliability_auc,catastrophe_prob_t0p5,nominal_retention
Walker2d-v5,tvc100,1,0.1408827595824825,1.0,0.15862643627643153
Walker2d-v5,tvc100,2,0.11320111200656577,1.0,0.12726292642788037
Walker2d-v5,tvc100,3,0.13169491934951633,1.0,0.14736122365903254
Walker2d-v5,tvc100,4,0.10995476062960112,1.0,0.12028231854592684
Walker2d-v5,tvc100,5,0.17127581038118153,1.0,0.20208368310729707
Walker2d-v5,tvc100,6,0.13451094020141088,1.0,0.1517406690564424
Walker2d-v5,tvc100,7,0.11173809601565372,1.0,0.13014464290633665
Walker2d-v5,tvc100,8,0.12481754059141137,1.0,0.14876318467177768
Walker2d-v5,tvc100,9,0.15438476121956446,1.0,0.17521052601361017
Walker2d-v5,tvc100,10,0.09591684567794741,1.0,0.10408138665299044
Walker2d-v5,tvc100,11,0.12024806801381771,1.0,0.1425653221009867
Walker2d-v5,tvc100,12,0.1444392833279097,1.0,0.1751034735706562
Walker2d-v5,tvc100,13,0.1530051437538066,1.0,0.1734352882389744
Walker2d-v5,tvc100,14,0.10204243415956049,1.0,0.11200413111275967
Walker2d-v5,tvc100,15,0.10701003429097952,1.0,0.1157542994167207
Walker2d-v5,tvc100,16,0.0968689108304146,1.0,0.10284313112393215
Walker2d-v5,tvc100,17,0.10235976653513468,1.0,0.09871649967213814
Walker2d-v5,tvc100,18,0.11802838378362657,1.0,0.12343874265759325
Walker2d-v5,tvc100,19,0.1266706330336006,1.0,0.1346434313418993
Walker2d-v5,tvc100,20,0.1192217829305515,1.0,0.13256697313173205
Walker2d-v5,tvc100,21,0.10944181128935948,1.0,0.12230736824774535
Walker2d-v5,tvc100,22,0.11652391272046295,1.0,0.13254738776460712
Walker2d-v5,tvc100,23,0.11282112477325038,1.0,0.12495028937214833
Walker2d-v5,tvc100,24,0.10568296354682168,1.0,0.12745714475289815
Walker2d-v5,tvc100,25,0.12287505413174744,1.0,0.1524405057918696
Walker2d-v5,tvc100,26,0.12787270856568153,1.0,0.143784076681227
Walker2d-v5,tvc100,27,0.11471250169905263,1.0,0.12332725231025952
Walker2d-v5,tvc100,28,0.15670149871927597,1.0,0.1972312376860752
Walker2d-v5,tvc100,29,0.11956733613738373,1.0,0.1334300225759805
