env_id,axis,model_label,n_seeds,n_factors,seed_main_variance,perturbation_main_variance,seed_perturbation_interaction_variance,total_decomposed_variance,seed_fraction,perturbation_fraction,interaction_fraction
Walker2d-v5,action_noise,tvc100,30,5,0.00033737725803244256,0.00011564296711630989,6.4845194232212e-05,0.0005178654193809645,0.6514767068937134,0.22330698824135592,0.12521630486493063
Walker2d-v5,action_noise,tvc150,30,5,0.0012246747726137974,0.0008743663177354251,0.00045422074730967267,0.0025532618376588948,0.479651070074627,0.3424507055403054,0.17789822438506783
Walker2d-v5,action_noise,tvc200,30,5,0.0104212219981394,0.00575562972602342,0.0026671892570792103,0.018844040981242028,0.5530248001749213,0.30543500365727083,0.14154019616780802
Walker2d-v5,action_noise,tvc225,30,5,0.024046069154957612,0.011044227596676748,0.004673552293428248,0.03976384904506261,0.6047218700510423,0.2777454361664238,0.11753269378253393
Walker2d-v5,action_noise,tvc250,30,5,0.02834530274212961,0.02209015688686228,0.006087902826963774,0.05652336245595566,0.501479415068715,0.3908146282711941,0.10770595666009097
Walker2d-v5,action_noise,tvc275,30,5,0.028157804675534272,0.02546581199512895,0.009249995273278496,0.06287361194394171,0.44784773460509714,0.40503179645276843,0.14712046894213454
Walker2d-v5,action_noise,tvc300,30,5,0.013118722136598131,0.025079393830187764,0.0071766563463632254,0.04537477231314912,0.289119294000214,0.5527166870856127,0.15816401891417334
Walker2d-v5,action_noise,tvc400,30,5,0.033072550180800166,0.020908775353619867,0.008902901763261107,0.06288422729768114,0.525927591099139,0.33249633894111436,0.1415760699597465
Walker2d-v5,action_noise,tvc500,30,5,0.037927608087774935,0.03263469603541071,0.009252700349314684,0.07981500447250034,0.4751939605646781,0.408879210758608,0.1159268286767137
Walker2d-v5,action_noise,vanilla,30,5,0.0289071749317959,0.028764429146982618,0.008701131546571336,0.06637273562534986,0.4355278512997637,0.43337718230189337,0.1310949663983429
Walker2d-v5,action_replace,tvc100,30,10,8.386074435682539e-05,0.0003919274267314316,7.122222426569791e-05,0.0005470103953539549,0.15330740525061043,0.7164899059693857,0.13020268878000396
Walker2d-v5,action_replace,tvc150,30,10,0.00017689638991607253,0.0016906343874684188,0.00034131999278873027,0.0022088507701732217,0.08008526076308904,0.7653909491295496,0.1545237901073613
Walker2d-v5,action_replace,tvc200,30,10,0.0009258601421507377,0.00883809687761358,0.0018955616248158536,0.011659518644580171,0.0794080931103546,0.7580155876951141,0.1625763191945312
Walker2d-v5,action_replace,tvc225,30,10,0.0019532149703209937,0.013940861764477142,0.0036822799909693453,0.01957635672576748,0.09977418156413467,0.7121274892854507,0.18809832915041466
Walker2d-v5,action_replace,tvc250,30,10,0.004267237345111297,0.037302070632616535,0.006842227668527165,0.04841153564625499,0.08814505237537122,0.7705202930389203,0.14133465458570854
Walker2d-v5,action_replace,tvc275,30,10,0.0065173449940797,0.046824864964427566,0.008057746001958709,0.06139995596046598,0.10614576007637642,0.7626204975550311,0.13123374236859237
Walker2d-v5,action_replace,tvc300,30,10,0.0076588989935423785,0.0677104098166229,0.007719934694743313,0.0830892435049086,0.09217678089811854,0.8149118581471116,0.09291136095476965
Walker2d-v5,action_replace,tvc400,30,10,0.013825944192220678,0.08881735844300451,0.013114343418782794,0.11575764605400798,0.1194387123747319,0.7672699080418913,0.11329137958337676
Walker2d-v5,action_replace,tvc500,30,10,0.008530205847716717,0.06551727557962958,0.00883941396102009,0.08288689538836638,0.10291380570774734,0.7904419060775352,0.1066442882147176
Walker2d-v5,action_replace,vanilla,30,10,0.010862997243174194,0.07734020538741593,0.010682108613529362,0.09888531124411948,0.10985450828340489,0.782120260475139,0.10802523124145606
Walker2d-v5,actuator_gain,tvc100,30,15,0.00015455275305374918,0.001157098658617109,0.00027763995167315824,0.0015892913633440164,0.09724633042021688,0.7280594894711226,0.17469418010866053
Walker2d-v5,actuator_gain,tvc150,30,15,0.000597484615008492,0.004976836195000724,0.0017125784013605097,0.007286899211369725,0.08199435695175235,0.6829840856362309,0.2350215574120168
Walker2d-v5,actuator_gain,tvc200,30,15,0.002271209302924591,0.02712945251142256,0.006236120693940104,0.03563678250828725,0.06373216500104706,0.7612767091168701,0.17499112588208288
Walker2d-v5,actuator_gain,tvc225,30,15,0.004220299563901785,0.040921845806727336,0.008913607753902812,0.05405575312453193,0.07807308787612657,0.7570303518379049,0.16489656028596855
Walker2d-v5,actuator_gain,tvc250,30,15,0.004428626050611081,0.07620750809906122,0.01158649921357713,0.09222263336324943,0.04802103224668795,0.8263427893984839,0.12563617835482815
Walker2d-v5,actuator_gain,tvc275,30,15,0.0058211166392265505,0.08534984605872413,0.01487469787072596,0.10604566056867663,0.05489254919070182,0.8048405337948779,0.1402669170144204
Walker2d-v5,actuator_gain,tvc300,30,15,0.004398246899711449,0.10657186763194117,0.01629179019963206,0.12726190473128468,0.034560593046272646,0.8374215980577155,0.1280178088960118
Walker2d-v5,actuator_gain,tvc400,30,15,0.011093354886495578,0.140364877003447,0.023557073489440992,0.17501530537938356,0.06338505573811576,0.8020148677807106,0.13460007648117367
Walker2d-v5,actuator_gain,tvc500,30,15,0.010286125910476358,0.1139721839650308,0.024569079242701304,0.14882738911820845,0.0691144685895581,0.7658011380855888,0.16508439332485322
Walker2d-v5,actuator_gain,vanilla,30,15,0.010270760140496495,0.1318153546654811,0.025457790877806807,0.1675439056837844,0.06130190231974843,0.786751115342053,0.15194698233819864
Walker2d-v5,damping,tvc100,30,15,0.0006982542664341358,1.291493624209366e-06,4.734005867393133e-05,0.0007468858187322765,0.9348875677132479,0.0017291714366748552,0.06338326085007717
