env_id,model_label,n_model_seeds,n_baseline_seeds,bootstrap_replicates,delta__reliability_auc,delta__reliability_auc__ci95_low,delta__reliability_auc__ci95_high,prob_delta__reliability_auc__gt_0,prob_random_seed__reliability_auc__improves,delta__catastrophe_prob_t0p5,delta__catastrophe_prob_t0p5__ci95_low,delta__catastrophe_prob_t0p5__ci95_high,prob_delta__catastrophe_prob_t0p5__gt_0,prob_random_seed__catastrophe_prob_t0p5__improves,delta__nominal_retention,delta__nominal_retention__ci95_low,delta__nominal_retention__ci95_high,prob_delta__nominal_retention__gt_0,prob_random_seed__nominal_retention__improves
Walker2d-v5,tvc400,30,30,5000,0.007662070243146135,-0.05636783974012679,0.0694327608840719,0.6008,0.5488888888888889,-0.0032301587301586943,-0.07888670634920635,0.07366448412698398,0.4648,0.5266666666666666,0.015233324046451724,-0.07504263343604138,0.10280007016776922,0.6382,0.5666666666666667
Walker2d-v5,tvc500,30,30,5000,-0.045950729723143735,-0.11436156782004432,0.022224385334286736,0.0868,0.37555555555555553,0.041650793650793716,-0.04240079365079358,0.12908015873015857,0.8332,0.39,-0.0699548345236769,-0.16963896973532674,0.028674326317629277,0.0744,0.3566666666666667
Walker2d-v5,tvc300,30,30,5000,-0.05295384599060893,-0.09838053994139084,-0.00011380089879555628,0.0248,0.25222222222222224,-0.006428571428571395,-0.06862916666666669,0.040396825396825375,0.459,0.41888888888888887,-0.09530143090795673,-0.15588825096893894,-0.02353303111547472,0.0052,0.18444444444444444
Walker2d-v5,tvc275,30,30,5000,-0.1355705261246385,-0.19942003501179933,-0.0693025949012291,0.0002,0.13555555555555557,0.09386507936507932,0.0013301587301586936,0.18387777777777764,0.9758,0.2833333333333333,-0.19608710502127746,-0.28713880798827657,-0.1018296350450526,0.0002,0.11888888888888889
Walker2d-v5,tvc250,30,30,5000,-0.1897991283419176,-0.2513965674014535,-0.12479077164325958,0.0,0.08777777777777777,0.16653174603174603,0.06678809523809513,0.27221507936507927,0.9988,0.19666666666666666,-0.2826027307929261,-0.3758339843161014,-0.18703274874745718,0.0,0.07666666666666666
Walker2d-v5,tvc225,30,30,5000,-0.3493903391943935,-0.40895901440288934,-0.28562083732316373,0.0,0.03888888888888889,0.4371825396825397,0.32725912698412707,0.5458390873015873,1.0,0.06,-0.5090649245624685,-0.5970627514160795,-0.41491446301332763,0.0,0.03777777777777778
Walker2d-v5,tvc200,30,30,5000,-0.4262836423300705,-0.4757474830215696,-0.369248047193246,0.0,0.028888888888888888,0.5876507936507938,0.4978553571428572,0.6651174603174603,1.0,0.024444444444444446,-0.6201730137888796,-0.6906613644887295,-0.5385997272056015,0.0,0.027777777777777776
Walker2d-v5,tvc150,30,30,5000,-0.5473976668857208,-0.5861362212246689,-0.495164919034284,0.0,0.011111111111111112,0.7161904761904763,0.655543253968254,0.757619246031746,1.0,0.0033333333333333335,-0.7814993238841568,-0.8369480955244393,-0.7064718301511081,0.0,0.014444444444444444
Walker2d-v5,tvc100,30,30,5000,-0.5833712649238725,-0.6199582680877146,-0.5324119255992872,0.0,0.0011111111111111111,0.7178174603174603,0.6541718253968254,0.7582777777777778,1.0,0.0,-0.835660427691917,-0.8868446849934795,-0.7621699774759105,0.0,0.0
