env_id,axis,model_label,n_shifted_rows,nominal_retention,reliability_auc,return_cvar10,return_cvar20,return_q10,return_min,catastrophe_prob_t0p25,catastrophe_prob_t0p5,catastrophe_prob_t0p75
Walker2d-v5,action_noise,klprho0,150,1.072144427266993,0.8748058012860518,0.32141831585315944,0.4879476383596824,0.5080979870532818,0.19075157598173398,0.04,0.1,0.18666666666666668
Walker2d-v5,action_noise,klprho0p05,150,1.0372701986188462,0.7961171121689911,0.17269475753437427,0.2915402536667839,0.3299847955139548,0.0009731043399435676,0.08,0.18,0.29333333333333333
Walker2d-v5,action_noise,vanilla,150,1.0,0.8594952230751975,0.31486103370917645,0.46909878030941266,0.47728098846107997,0.1719319998711488,0.04,0.12666666666666668,0.2
Walker2d-v5,action_replace,klprho0,300,1.0722572675619884,0.3315975310919953,0.041713504985630916,0.051120809947471785,0.052414161803512604,0.014411812054156821,0.5833333333333334,0.72,0.8333333333333334
Walker2d-v5,action_replace,klprho0p05,300,1.037265947708863,0.3119231017678433,0.032687579920476884,0.04728525368574508,0.05310199471749078,-0.0003477086151413441,0.6133333333333333,0.76,0.8433333333333334
Walker2d-v5,action_replace,vanilla,300,1.0,0.30649811134719085,0.03523466608756717,0.04518075883392112,0.04650144348862443,0.01115540126020194,0.62,0.74,0.8466666666666667
Walker2d-v5,actuator_gain,klprho0,450,1.0260588269323807,0.43432403330544134,0.0021152979430293572,0.012212432972411844,0.004220221801229076,0.00029789989741265635,0.49777777777777776,0.5777777777777777,0.66
Walker2d-v5,actuator_gain,klprho0p05,450,0.9850711185088541,0.38428322313500307,0.001737411011388254,0.010516699570864504,0.004124677966945803,-0.0006541017443954112,0.5488888888888889,0.64,0.72
Walker2d-v5,actuator_gain,vanilla,450,1.0,0.41263165579561345,0.0012658284824040057,0.007347690854944291,0.0021897974243148396,0.0002544441895086154,0.5333333333333333,0.5911111111111111,0.6688888888888889
Walker2d-v5,damping,klprho0,450,1.027985425876675,0.9713143241285539,0.7963291556301209,0.8700844681219567,0.9270362953232745,0.5216365855310616,0.0,0.0,0.03333333333333333
Walker2d-v5,damping,klprho0p05,450,0.9850711185088541,0.8673263753321071,0.22270534631669187,0.4815314429112917,0.5833345660653048,0.004036400908071904,0.03333333333333333,0.1,0.14444444444444443
Walker2d-v5,damping,vanilla,450,1.0,0.9646399127023261,0.8381400082523721,0.8796123771775886,0.9136992450625872,0.7570928400522581,0.0,0.0,0.0
Walker2d-v5,foot_left_actuator_gain,klprho0,450,1.027985425876675,0.6646034899957022,0.06405805438316965,0.08262811365401855,0.0828027828293282,0.020856211679857056,0.2777777777777778,0.3422222222222222,0.4088888888888889
Walker2d-v5,foot_left_actuator_gain,klprho0p05,450,0.9839763122025894,0.6171125896159975,0.050074459392462266,0.077129185178375,0.07647277439844705,-0.0033367996373283963,0.2911111111111111,0.38666666666666666,0.48
Walker2d-v5,foot_left_actuator_gain,vanilla,450,1.0,0.6107880739080849,0.055439218102160355,0.06911133742996546,0.06708183086292913,0.03814197735089297,0.32222222222222224,0.3844444444444444,0.4533333333333333
Walker2d-v5,foot_left_damping,klprho0,450,1.0346292319648134,0.9715916768111613,0.792436538966562,0.872230568695229,0.9349757564090656,0.46495183890627,0.0,0.0022222222222222222,0.03333333333333333
Walker2d-v5,foot_left_damping,klprho0p05,450,0.9921952128314238,0.86998924276572,0.23168574237400286,0.489836050977452,0.5894717312007757,0.011912345260842868,0.03333333333333333,0.1,0.14
Walker2d-v5,foot_left_damping,vanilla,450,1.0,0.9695243803790992,0.8497417458846,0.8895311139177301,0.9181408120184172,0.7695495663901972,0.0,0.0,0.0
Walker2d-v5,foot_left_friction,klprho0,450,1.0346292319648134,0.9230157397330433,0.45775389620690543,0.6576532791962665,0.7636986707680514,0.09828860760962335,0.028888888888888888,0.051111111111111114,0.08444444444444445
Walker2d-v5,foot_left_friction,klprho0p05,450,0.9932991637727039,0.7947925608141128,0.1432956599281285,0.2728758221075085,0.30127463639822066,0.013873960035867444,0.08,0.18444444444444444,0.27555555555555555
Walker2d-v5,foot_left_friction,vanilla,450,1.0,0.900498208564838,0.3879971277522356,0.6036041912024397,0.7687855655840926,0.06878144287505239,0.035555555555555556,0.06666666666666667,0.08666666666666667
Walker2d-v5,foot_left_mass,klprho0,420,1.027985425876675,0.894800764896506,0.4345123139701878,0.5787687621955699,0.595652552444483,0.1748192195788209,0.007142857142857143,0.06666666666666667,0.15476190476190477
Walker2d-v5,foot_left_mass,klprho0p05,420,0.9850711185088541,0.7907068595218513,0.16778392982997192,0.3076755588557134,0.27244940813337787,0.0011472324720452564,0.07142857142857142,0.1595238095238095,0.2904761904761905
Walker2d-v5,foot_left_mass,vanilla,420,1.0,0.8971386458513302,0.5215588847344218,0.6441077278827047,0.6880532160131869,0.23137017687582767,0.002380952380952381,0.0380952380952381,0.1261904761904762
Walker2d-v5,friction,klprho0,450,1.027985425876675,0.6514318348373884,0.04394946410969533,0.05869114579337962,0.05311983759618362,0.030461204984909243,0.2777777777777778,0.35777777777777775,0.42444444444444446
Walker2d-v5,friction,klprho0p05,450,0.9850711185088541,0.5744918620535607,0.03803702338278595,0.048669793494237085,0.047986134898234514,0.010215450543463261,0.33555555555555555,0.4288888888888889,0.5111111111111111
Walker2d-v5,friction,vanilla,450,1.0,0.6767567766029993,0.04546844739300081,0.061117681447678276,0.05251949217820206,0.03197728220339832,0.24666666666666667,0.30444444444444446,0.37555555555555553
Walker2d-v5,friction_damping,klprho0,450,1.0260588269323807,0.654412771340936,0.04351298093305524,0.05840082847181442,0.05278588601291875,0.0303499699205868,0.27555555555555555,0.36,0.42444444444444446
Walker2d-v5,friction_damping,klprho0p05,450,0.9850711185088541,0.5720105412107553,0.034060628095002425,0.04611995827204926,0.04726776401100807,0.008425418121557322,0.3333333333333333,0.43333333333333335,0.5044444444444445
Walker2d-v5,friction_damping,vanilla,450,1.0,0.6779260392689356,0.04436171057047822,0.0596087060611569,0.05263420832418103,0.029635478792816364,0.24888888888888888,0.3,0.37555555555555553
Walker2d-v5,friction_mass,klprho0,420,1.0346292319648134,0.49174650983579743,0.012153495532778665,0.03463369020241053,0.033934978055279216,-0.0047796931511402945,0.430952380952381,0.5404761904761904,0.6142857142857143
Walker2d-v5,friction_mass,klprho0p05,420,0.9921952128314238,0.44150702172394823,0.013546801338326834,0.0307740559452985,0.027840807817389145,-0.004715103219728301,0.4857142857142857,0.5833333333333334,0.669047619047619
Walker2d-v5,friction_mass,vanilla,420,1.0,0.47861652679180616,0.013563947451601964,0.0348647435757027,0.03086929971686243,-0.0057020885115081155,0.44047619047619047,0.5261904761904762,0.6261904761904762
Walker2d-v5,friction_mass_damping,klprho0,420,1.0260588269323807,0.47805105953550026,0.009990459449359746,0.031751863107387084,0.02751962873223916,-0.005139488640957966,0.45476190476190476,0.5380952380952381,0.6357142857142857
Walker2d-v5,friction_mass_damping,klprho0p05,420,0.9850711185088541,0.43352082518516816,0.011366275148005044,0.02937586280468622,0.02509894412902819,-0.0027508141352272923,0.49523809523809526,0.5880952380952381,0.6785714285714286
Walker2d-v5,friction_mass_damping,vanilla,420,1.0,0.47057016469417545,0.010793541607370954,0.0316230537236119,0.03273397498192951,-0.004747592295299424,0.4452380952380952,0.5428571428571428,0.6357142857142857
Walker2d-v5,leg_left_actuator_gain,klprho0,450,1.027985425876675,0.8429079603890686,0.18789567755823733,0.35659678995352917,0.3241649538126942,0.04475767409260729,0.06444444444444444,0.13555555555555557,0.20666666666666667
Walker2d-v5,leg_left_actuator_gain,klprho0p05,450,0.9839763122025894,0.7406876370952008,0.09991098002778746,0.18496438503182824,0.20539831773528333,0.0006307301281308321,0.12222222222222222,0.24888888888888888,0.33111111111111113
Walker2d-v5,leg_left_actuator_gain,vanilla,450,1.0,0.8104174489004675,0.13523439253732536,0.2714246473761841,0.2473936924262585,0.006380766755851494,0.10222222222222223,0.17777777777777778,0.23333333333333334
Walker2d-v5,leg_left_damping,klprho0,450,1.025934590115505,0.969386442219027,0.7816912524359851,0.8624173889024157,0.9194110169559429,0.49408166669741305,0.0,0.0022222222222222222,0.03333333333333333
Walker2d-v5,leg_left_damping,klprho0p05,450,0.9849518445481926,0.8670254021170826,0.22547345706853017,0.4875347517600835,0.6119646936431564,0.004988901805222851,0.03333333333333333,0.1,0.14222222222222222
Walker2d-v5,leg_left_damping,vanilla,450,1.0,0.9636892577146229,0.8373192645684763,0.8756015048230471,0.8842296569093093,0.7627021385423284,0.0,0.0,0.0
Walker2d-v5,leg_left_mass,klprho0,420,1.0365719232937294,0.959662218050981,0.7268917632666201,0.8212863083521985,0.8881783073242008,0.4736070296899373,0.0,0.007142857142857143,0.05
Walker2d-v5,leg_left_mass,klprho0p05,420,0.9932991637727039,0.8571455058097088,0.20738819751893758,0.4344732610614357,0.37273411014214747,0.0016734525839739816,0.03571428571428571,0.11428571428571428,0.16904761904761906
Walker2d-v5,leg_left_mass,vanilla,420,1.0,0.9643327318565016,0.8072534521804002,0.8633880731438422,0.8945724838978709,0.5273561554181491,0.0,0.0,0.011904761904761904
Walker2d-v5,mass,klprho0,420,1.0346292319648134,0.5248375446759931,0.01489403863718317,0.04609787114557184,0.0534961393685104,-0.0052177132167755234,0.39285714285714285,0.49523809523809526,0.6047619047619047
Walker2d-v5,mass,klprho0p05,420,0.9932991637727039,0.45050159806533124,0.013195422884861443,0.03394463850425975,0.029651574528441166,-0.004470334280124537,0.4642857142857143,0.5761904761904761,0.669047619047619
Walker2d-v5,mass,vanilla,420,1.0,0.49075586238032265,0.015417570402182598,0.041116048334606206,0.046895791772050645,-0.005276057503287027,0.42857142857142855,0.5238095238095238,0.6190476190476191
Walker2d-v5,mass_damping,klprho0,420,1.0260588269323807,0.5112967916780355,0.014628197789150855,0.04343787855152717,0.0432928601282159,-0.004256958262015994,0.4,0.4976190476190476,0.6166666666666667
Walker2d-v5,mass_damping,klprho0p05,420,0.9850711185088541,0.4432395076992702,0.0097098918253353,0.03219730553474314,0.026810499354214704,-0.007997429670633665,0.4642857142857143,0.5880952380952381,0.6761904761904762
Walker2d-v5,mass_damping,vanilla,420,1.0,0.4810692080898208,0.010441300377072464,0.03630423444064915,0.033499206422479284,-0.0034744878264509225,0.44047619047619047,0.5357142857142857,0.6333333333333333
Walker2d-v5,thigh_left_actuator_gain,klprho0,450,1.0260588269323807,0.7402398388324773,0.08114341172568916,0.16663134682739245,0.15617500472762635,-0.00031345974295209425,0.1511111111111111,0.2577777777777778,0.34
Walker2d-v5,thigh_left_actuator_gain,klprho0p05,450,0.9850711185088541,0.6989769293178831,0.06663235229071535,0.13954303595194315,0.12929453386122355,-6.296727223531538e-05,0.1622222222222222,0.3022222222222222,0.39555555555555555
Walker2d-v5,thigh_left_actuator_gain,vanilla,450,1.0,0.7462549949417565,0.08740946383049943,0.16814428868390993,0.17556693034450777,-0.00017512814118945274,0.15777777777777777,0.23777777777777778,0.3377777777777778
Walker2d-v5,thigh_left_damping,klprho0,450,1.0260588269323807,0.9707294889387524,0.7879761144036341,0.8675263614302108,0.9284887469731045,0.48361836503523875,0.0,0.0022222222222222222,0.03333333333333333
Walker2d-v5,thigh_left_damping,klprho0p05,450,0.9850711185088541,0.8666497213255921,0.23244115425961376,0.48537208686213723,0.5592088587732184,0.02201223005324993,0.03333333333333333,0.1,0.14666666666666667
Walker2d-v5,thigh_left_damping,vanilla,450,1.0,0.9646768495604796,0.8397491217959484,0.8799046106743267,0.9119563138122565,0.7633983423959592,0.0,0.0,0.0
Walker2d-v5,thigh_left_mass,klprho0,420,1.027985425876675,0.9367414711642432,0.6110772803315959,0.7379910724566338,0.798166446807897,0.28259355895301447,0.0,0.02619047619047619,0.0761904761904762
Walker2d-v5,thigh_left_mass,klprho0p05,420,0.9850711185088541,0.8509837049110909,0.21985884019793742,0.43670146539682714,0.42390814332798854,0.0021925345762429174,0.03571428571428571,0.11904761904761904,0.17142857142857143
Walker2d-v5,thigh_left_mass,vanilla,420,1.0,0.9358676367902525,0.673867830640845,0.7730336333307648,0.8432795357223802,0.2729680495886248,0.0,0.01904761904761905,0.05476190476190476
