env_id,axis,model_label,n_seeds,n_factors,seed_main_variance,perturbation_main_variance,seed_perturbation_interaction_variance,total_decomposed_variance,seed_fraction,perturbation_fraction,interaction_fraction
Walker2d-v5,action_noise,klprho0,30,5,0.032787008498120565,0.03883567326787314,0.008971457487804858,0.08059413925379856,0.4068162871604246,0.48186721301875235,0.11131649982082308
Walker2d-v5,action_noise,klprho0p05,30,5,0.06846704362328801,0.02665932230717405,0.00944514359693344,0.1045715095273955,0.6547389813221651,0.2549386771565144,0.09032234152132053
Walker2d-v5,action_noise,vanilla,30,5,0.013928836765465722,0.03686277052636561,0.010349900048193363,0.06114150734002469,0.22781310719089148,0.6029090895872362,0.16927780322187236
Walker2d-v5,action_replace,klprho0,30,10,0.010992660784180592,0.0958503415182034,0.011928975582866971,0.11877197788525097,0.09255264566530093,0.8070114114863624,0.10043594284833665
Walker2d-v5,action_replace,klprho0p05,30,10,0.02008004662636034,0.07303665569948059,0.016585819430323608,0.10970252175616454,0.18304088461149687,0.6657700710091145,0.15118904437938863
Walker2d-v5,action_replace,vanilla,30,10,0.006226165766971099,0.08723197432767714,0.007384020089644165,0.1008421601842924,0.061741693708192824,0.8650347649064419,0.07322354138536524
Walker2d-v5,actuator_gain,klprho0,30,15,0.010177555871623575,0.15604941955038068,0.024255768252683312,0.19048274367468757,0.053430330093339716,0.8192312675676637,0.12733840233899654
Walker2d-v5,actuator_gain,klprho0p05,30,15,0.021141391320881057,0.11711105989735274,0.028867416920184318,0.16711986813841812,0.12650435616291034,0.7007608443081988,0.1727347995288908
Walker2d-v5,actuator_gain,vanilla,30,15,0.006199743243857345,0.14989418246088354,0.01715032020678911,0.17324424591153,0.03578614234046967,0.865218822548539,0.09899503511099123
Walker2d-v5,damping,klprho0,30,15,0.023519370373938,1.4168198787109183e-05,0.00040291811475477284,0.023936456687479884,0.9825752692226981,0.0005919087763110716,0.01683282200099072
Walker2d-v5,damping,klprho0p05,30,15,0.07566908403899929,2.6503719751965463e-05,0.0006342102416559826,0.07632979800040723,0.9913439576847246,0.0003472263840109214,0.00830881593126447
Walker2d-v5,damping,vanilla,30,15,0.010031397454076992,9.677821906967137e-06,0.0003286835239538889,0.010369758799937848,0.9673703745295518,0.0009332735788440075,0.03169635189160416
Walker2d-v5,foot_left_actuator_gain,klprho0,30,15,0.0441774794926689,0.10713066716032064,0.03397668787788364,0.18528483453087316,0.23843008848793723,0.5781944724810705,0.18337543903099235
Walker2d-v5,foot_left_actuator_gain,klprho0p05,30,15,0.05827076225102428,0.06720818070439873,0.039717855356367265,0.16519679831179027,0.3527354213066818,0.4068370657980362,0.24042751289528208
Walker2d-v5,foot_left_actuator_gain,vanilla,30,15,0.035061608623395316,0.10008908580094127,0.03544047922815912,0.1705911736524957,0.20553002756647823,0.5867190175080725,0.20775095492544923
Walker2d-v5,foot_left_damping,klprho0,30,15,0.024934502035741164,3.807822987289878e-05,0.0005184179021283725,0.025490998167742435,0.9781689156172202,0.0014937912443571883,0.020337293138422648
Walker2d-v5,foot_left_damping,klprho0p05,30,15,0.07608323672961187,1.7006633117630292e-05,0.0004440851818557927,0.07654432854458529,0.9939761465840693,0.00022218018553424667,0.005801673230396468
Walker2d-v5,foot_left_damping,vanilla,30,15,0.010292039509933518,9.844693147348552e-06,0.00024453750646870776,0.010546421709549576,0.9758797621959571,0.0009334628766488996,0.02318677492739399
Walker2d-v5,foot_left_friction,klprho0,30,15,0.02702896670454894,0.013145823385191775,0.014977632429590071,0.055152422519330786,0.49007759713683213,0.23835441463308701,0.2715679882300809
Walker2d-v5,foot_left_friction,klprho0p05,30,15,0.07092622987277111,0.01675138101370565,0.016498234908227168,0.10417584579470393,0.6808318121317989,0.1607990881755553,0.15836909969264584
Walker2d-v5,foot_left_friction,vanilla,30,15,0.015004536647619336,0.019167157762951727,0.015417309878260496,0.04958900428883156,0.3025778973141967,0.3865203191278546,0.3109017835579486
Walker2d-v5,foot_left_mass,klprho0,30,14,0.027029445392041027,0.015554775245812532,0.013087974396621896,0.05567219503447546,0.4855106822230168,0.2793993525166398,0.23508996526034337
Walker2d-v5,foot_left_mass,klprho0p05,30,14,0.06486960169875182,0.010457933285796762,0.016718045894997664,0.09204558087954624,0.7047551993141553,0.1136168970401995,0.18162790364564516
Walker2d-v5,foot_left_mass,vanilla,30,14,0.007230670469513773,0.00857657523603086,0.015433093507560426,0.03124033921310506,0.2314530076062864,0.27453527881134715,0.4940117135823664
Walker2d-v5,friction,klprho0,30,15,0.025190486210802842,0.13183355201883284,0.037516654736719425,0.1945406929663551,0.12948697687202862,0.677665685305402,0.19284733782256935
Walker2d-v5,friction,klprho0p05,30,15,0.04128092817338778,0.09840666574990121,0.04015521013717167,0.17984280406046066,0.2295389486893771,0.5471815581613054,0.22327949314931744
Walker2d-v5,friction,vanilla,30,15,0.007464299077118515,0.11464282603270834,0.034116766954512934,0.1562238920643398,0.04777949760747474,0.7338367039626272,0.21838379842989808
Walker2d-v5,friction_damping,klprho0,30,15,0.02525068215010279,0.13237410244343653,0.03841299606420664,0.19603778065774596,0.12880518268153057,0.675247913944419,0.1959469033740504
Walker2d-v5,friction_damping,klprho0p05,30,15,0.041573786653863645,0.09866306228351801,0.04069606089295681,0.18093290983033844,0.2297745981803286,0.5453019153676066,0.22492348645206492
Walker2d-v5,friction_damping,vanilla,30,15,0.007287225595582046,0.11564007519501922,0.03440876643280532,0.1573360672234066,0.046316307024724834,0.734987706479393,0.21869598649588207
Walker2d-v5,friction_mass,klprho0,30,14,0.0131230550603598,0.15212046831801543,0.023296554815929824,0.18854007819430504,0.06960353037954871,0.8068335908996686,0.12356287872078282
Walker2d-v5,friction_mass,klprho0p05,30,14,0.026030665621684067,0.11447131854590682,0.02952482027002711,0.170026804437618,0.153097423125626,0.6732545431559045,0.17364803371846949
Walker2d-v5,friction_mass,vanilla,30,14,0.007137318119594764,0.13891128699472943,0.01883408248549697,0.16488268759982116,0.04328725000478768,0.8424855818209025,0.11422716817430989
Walker2d-v5,friction_mass_damping,klprho0,30,14,0.012997566540905723,0.14716321063598684,0.022584943971226627,0.18274572114811918,0.07112378040507404,0.8052895012338375,0.12358671836108853
