env_id,model_label,n_model_seeds,n_baseline_seeds,bootstrap_replicates,delta__reliability_auc,delta__reliability_auc__ci95_low,delta__reliability_auc__ci95_high,prob_delta__reliability_auc__gt_0,prob_random_seed__reliability_auc__improves,delta__catastrophe_prob_t0p5,delta__catastrophe_prob_t0p5__ci95_low,delta__catastrophe_prob_t0p5__ci95_high,prob_delta__catastrophe_prob_t0p5__gt_0,prob_random_seed__catastrophe_prob_t0p5__improves,delta__nominal_retention,delta__nominal_retention__ci95_low,delta__nominal_retention__ci95_high,prob_delta__nominal_retention__gt_0,prob_random_seed__nominal_retention__improves
Walker2d-v5,klprho0,30,30,5000,0.010767479176541639,-0.02288628478314291,0.043627146258227265,0.7492,0.5744444444444444,-0.0017142857142856682,-0.02778769841269837,0.026174801587301594,0.4382,0.5322222222222223,0.04661636128928581,-0.020943202295051578,0.11555826965210708,0.9158,0.6022222222222222
Walker2d-v5,klprho0p05,30,30,5000,-0.06765781937898008,-0.13931832040675507,-0.004745164101628367,0.016,0.43,0.07892063492063495,0.006131746031746111,0.16697519841269834,0.9864,0.41333333333333333,-0.0897504160338406,-0.1975328654349361,0.008956661815572824,0.038,0.4266666666666667
