env_id,model_label,seed,reliability_auc,catastrophe_prob_t0p5,nominal_retention
Walker2d-v5,klprho0,6,0.7752111443162659,0.23190476190476192,1.0869705407092662
Walker2d-v5,klprho0,7,0.7584362765278766,0.24119047619047618,1.1037375358924764
Walker2d-v5,klprho0,8,0.829284459682752,0.1819047619047619,1.145577763734189
Walker2d-v5,klprho0,9,0.7394037892188214,0.23976190476190476,0.9777784338114605
Walker2d-v5,klprho0,10,0.45977141401928384,0.464047619047619,0.576508384347565
Walker2d-v5,klprho0,11,0.7531785750669359,0.255,0.996379903049198
Walker2d-v5,klprho0,12,0.8546355964157721,0.1607142857142857,1.3780902641053674
Walker2d-v5,klprho0,13,0.7213247917571194,0.2711904761904762,1.0017543870144343
Walker2d-v5,klprho0,14,0.7862194937917163,0.22666666666666666,1.143608724054217
Walker2d-v5,klprho0,15,0.8103276344265661,0.18738095238095237,1.2080092897673496
Walker2d-v5,klprho0,16,0.7989204001740905,0.1926190476190476,1.1481539869315525
Walker2d-v5,klprho0,17,0.7544525893867137,0.24666666666666667,1.020567034564717
Walker2d-v5,klprho0,18,0.7282794800693584,0.2888095238095238,1.0388170289729282
Walker2d-v5,klprho0,19,0.7171599026439999,0.2645238095238095,0.9575878533169359
Walker2d-v5,klprho0,20,0.7460905978295594,0.25547619047619047,1.0003521223267768
Walker2d-v5,klprho0,21,0.7785294999056347,0.23523809523809525,1.3992392881878013
Walker2d-v5,klprho0,22,0.8145382211306492,0.18571428571428572,1.25957596730433
Walker2d-v5,klprho0,23,0.731645677844041,0.29523809523809524,1.011708812227713
Walker2d-v5,klprho0,24,0.667613739929606,0.27380952380952384,0.8801250101238111
Walker2d-v5,klprho0,25,0.6609917111626105,0.3097619047619048,0.9145525259657599
Walker2d-v5,klprho0,26,0.7239902324257583,0.2733333333333333,1.0321686910664238
Walker2d-v5,klprho0,27,0.6730944232325011,0.3392857142857143,0.9711319381943583
Walker2d-v5,klprho0,28,0.7464368231234481,0.24833333333333335,1.045858214438533
Walker2d-v5,klprho0,29,0.7259588746831968,0.28809523809523807,1.0630390127855731
Walker2d-v5,klprho0,30,0.7858152294446722,0.19452380952380952,1.0153820747518627
Walker2d-v5,klprho0,31,0.7347480458076454,0.22857142857142856,0.956416171145683
Walker2d-v5,klprho0,32,0.7718279454372123,0.22119047619047622,1.08260932700234
Walker2d-v5,klprho0,33,0.7347037577582245,0.2552380952380952,0.9980926977458666
Walker2d-v5,klprho0,34,0.6002801130136401,0.3645238095238095,0.9290874614049824
Walker2d-v5,klprho0,35,0.8133754988943108,0.19976190476190475,1.3698278059083784
Walker2d-v5,klprho0p05,6,0.7217793336718892,0.2835714285714286,1.024170482912567
Walker2d-v5,klprho0p05,7,0.03301908001670889,1.0,0.04347988489763862
