env_id,axis,stress_factor,best_model_by_reliability_auc_0_to_1x_nominal,best_reliability_auc_0_to_1x_nominal,vanilla_reliability_auc_0_to_1x_nominal,best_minus_vanilla_reliability_auc
Walker2d-v5,action_noise,0.5,tvc400,0.5999000000000001,0.5318333333333333,0.06806666666666683
Walker2d-v5,action_replace,0.5,tvc100,0.07286666666666666,0.044333333333333336,0.028533333333333327
Walker2d-v5,actuator_gain,0.5,tvc300,0.09016666666666666,0.08566666666666668,0.004499999999999976
Walker2d-v5,damping,0.5,tvc400,0.9401000000000002,0.9370666666666667,0.0030333333333334433
Walker2d-v5,foot_left_actuator_gain,0.5,tvc400,0.4816000000000001,0.4771000000000001,0.004500000000000004
Walker2d-v5,foot_left_damping,0.5,tvc400,0.9447666666666668,0.9423666666666668,0.0023999999999999577
Walker2d-v5,foot_left_friction,0.5,tvc400,0.9260666666666668,0.9211666666666668,0.0049000000000000155
Walker2d-v5,foot_left_mass,0.5,tvc400,0.8860333333333335,0.8807666666666668,0.005266666666666642
Walker2d-v5,friction,0.5,tvc300,0.8025333333333333,0.7583666666666667,0.044166666666666576
Walker2d-v5,friction_damping,0.5,tvc400,0.7983666666666667,0.7652333333333334,0.03313333333333324
Walker2d-v5,friction_mass,0.5,tvc300,0.5417333333333334,0.5258,0.015933333333333355
Walker2d-v5,friction_mass_damping,0.5,tvc400,0.5352000000000001,0.5180666666666666,0.017133333333333556
Walker2d-v5,leg_left_actuator_gain,0.5,tvc400,0.9210000000000003,0.9061333333333335,0.014866666666666806
Walker2d-v5,leg_left_damping,0.5,tvc400,0.9480333333333335,0.9446000000000001,0.0034333333333333993
Walker2d-v5,leg_left_mass,0.5,vanilla,0.9335000000000002,0.9335000000000002,0.0
Walker2d-v5,mass,0.5,vanilla,0.5731999999999999,0.5731999999999999,0.0
Walker2d-v5,mass_damping,0.5,vanilla,0.5649333333333333,0.5649333333333333,0.0
Walker2d-v5,thigh_left_actuator_gain,0.5,tvc400,0.8220666666666668,0.7839666666666668,0.03810000000000002
Walker2d-v5,thigh_left_damping,0.5,tvc400,0.9464000000000001,0.9418000000000002,0.0045999999999999375
Walker2d-v5,thigh_left_mass,0.5,tvc400,0.9026666666666668,0.8936666666666668,0.009000000000000008
