env_id,axis,stress_factor,seed,best_model,best_return,vanilla_return,best_minus_vanilla,num_models_above_vanilla
Walker2d-v5,action_noise,0.5,1,tvc275,1344.2950608783535,1235.7728511094926,108.52220976886088,2
Walker2d-v5,action_noise,0.5,2,vanilla,2068.9201480954102,2068.9201480954102,0.0,0
Walker2d-v5,action_noise,0.5,3,tvc275,3108.497160061784,723.0258131313961,2385.471346930388,4
Walker2d-v5,action_noise,0.5,4,tvc275,2158.2137199634176,1331.7526746574358,826.4610453059818,1
Walker2d-v5,action_noise,0.5,5,tvc250,1379.563153438899,1077.6723418662282,301.8908115726708,1
Walker2d-v5,action_noise,0.5,6,vanilla,3705.314722364882,3705.314722364882,0.0,0
Walker2d-v5,action_noise,0.5,7,vanilla,4679.767785389586,4679.767785389586,0.0,0
Walker2d-v5,action_noise,0.5,8,tvc300,3248.7843363653105,2469.6292712642057,779.1550651011048,1
Walker2d-v5,action_noise,0.5,9,tvc400,3440.094872022187,2966.713145179373,473.3817268428138,1
Walker2d-v5,action_noise,0.5,10,tvc400,3430.097627018467,2794.842653130924,635.2549738875427,1
Walker2d-v5,action_noise,0.5,11,tvc400,4120.38084031554,3324.582045155536,795.7987951600039,1
Walker2d-v5,action_noise,0.5,12,tvc400,3432.750932723163,788.869847699618,2643.881085023545,3
Walker2d-v5,action_noise,0.5,13,tvc500,3939.959201838996,3284.124681401998,655.834520436998,2
Walker2d-v5,action_noise,0.5,14,vanilla,3827.724855557978,3827.724855557978,0.0,0
Walker2d-v5,action_noise,0.5,15,tvc400,3218.119429613367,2388.1172679781766,830.0021616351905,1
Walker2d-v5,action_noise,0.5,16,tvc275,3813.968587148754,2137.7319669535486,1676.2366201952054,5
Walker2d-v5,action_noise,0.5,17,tvc300,2853.821836902812,2626.799843742704,227.02199316010774,1
Walker2d-v5,action_noise,0.5,18,tvc400,4520.023798388223,885.3040771215486,3634.7197212666747,3
Walker2d-v5,action_noise,0.5,19,vanilla,2141.0125162321115,2141.0125162321115,0.0,0
Walker2d-v5,action_noise,0.5,20,tvc500,2525.16071865028,820.1523320269823,1705.0083866232978,4
Walker2d-v5,action_noise,0.5,21,tvc500,4012.232589364584,3307.883228658113,704.3493607064711,1
Walker2d-v5,action_noise,0.5,22,tvc400,2891.460226120139,2562.527528538443,328.9326975816957,1
Walker2d-v5,action_noise,0.5,23,tvc500,2084.079374032586,2019.3195490308656,64.75982500172063,1
