model_label,seed,cap,event_path,final__eval/episodic_return,max__eval/episodic_return,mean__eval/episodic_return,first_step__eval/episodic_return__ge_0p01,final__losses/qf1_values,max__losses/qf1_values,mean__losses/qf1_values,first_step__losses/qf1_values__ge_0p01,final__losses/qf2_values,max__losses/qf2_values,mean__losses/qf2_values,first_step__losses/qf2_values__ge_0p01,final__losses/qf_loss,max__losses/qf_loss,mean__losses/qf_loss,first_step__losses/qf_loss__ge_0p01,final__losses/actor_loss,max__losses/actor_loss,mean__losses/actor_loss,first_step__losses/actor_loss__ge_0p01,final__targets/min_q_next_mean_pre_clip,max__targets/min_q_next_mean_pre_clip,mean__targets/min_q_next_mean_pre_clip,first_step__targets/min_q_next_mean_pre_clip__ge_0p01,final__targets/min_q_next_p95_pre_clip,max__targets/min_q_next_p95_pre_clip,mean__targets/min_q_next_p95_pre_clip,first_step__targets/min_q_next_p95_pre_clip__ge_0p01,final__targets/min_q_next_p99_pre_clip,max__targets/min_q_next_p99_pre_clip,mean__targets/min_q_next_p99_pre_clip,first_step__targets/min_q_next_p99_pre_clip__ge_0p01,final__targets/min_q_next_mean_post_clip,max__targets/min_q_next_mean_post_clip,mean__targets/min_q_next_mean_post_clip,first_step__targets/min_q_next_mean_post_clip__ge_0p01,final__targets/td_target_mean,max__targets/td_target_mean,mean__targets/td_target_mean,first_step__targets/td_target_mean__ge_0p01,final__robust/td3_q_target_clip_fraction,max__robust/td3_q_target_clip_fraction,mean__robust/td3_q_target_clip_fraction,first_step__robust/td3_q_target_clip_fraction__ge_0p01,final__robust/td3_q_target_excess_mean,max__robust/td3_q_target_excess_mean,mean__robust/td3_q_target_excess_mean,first_step__robust/td3_q_target_excess_mean__ge_0p01,final__charts/SPS,max__charts/SPS,mean__charts/SPS,first_step__charts/SPS__ge_0p01,max_step,training_return_auc,final_q_p95_over_cap,cap_active_final,cap_active_ever
tvc100,1,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__1__1783618005/events.out.tfevents.1783618008.linux46.96579.0,,,,,92.6513442993164,96.27104949951172,89.00963201195671,25300.0,92.66246795654297,96.45184326171875,89.01087627668117,25300.0,16.074188232421875,87.95649719238281,19.45517609019208,25100.0,-93.87284851074219,-0.49314582347869873,-90.73063231075173,,92.69064331054688,96.31104278564453,89.2900877940354,25400.0,101.92174530029297,102.62266540527344,99.59297022959474,25100.0,102.4903564453125,116.85020446777344,100.84775425195205,25100.0,92.20125579833984,95.88031005859375,88.93241083204092,25400.0,92.65945434570312,96.49247741699219,89.00959873347878,25300.0,0.45703125,0.62890625,0.34903940468253153,58700.0,0.4854089915752411,0.9426149129867554,0.357676919004418,45400.0,48.0,2425.0,55.0235921632988,25100.0,999900,,1.0192174530029297,1.0,1.0
tvc100,2,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__2__1783618005/events.out.tfevents.1783618009.linux47.3309723.0,,,,,91.65393829345703,96.79158020019531,89.30630732389756,25400.0,91.64840698242188,96.77482604980469,89.30196642271845,25400.0,15.277006149291992,88.80023193359375,18.689890165156307,25100.0,-92.81294250488281,-0.2705549895763397,-90.98431093986065,,91.73756408691406,96.42010498046875,89.63750056775586,25500.0,101.54573059082031,102.90318298339844,99.37041019151098,25100.0,102.17981719970703,122.35261535644531,100.70177552455165,25100.0,91.38497161865234,96.0302734375,89.31946084513521,25500.0,91.66754150390625,96.58062744140625,89.30504815183436,25400.0,0.39453125,0.5546875,0.33141379885116423,72700.0,0.3375331461429596,0.8444412350654602,0.31803970906609497,59400.0,48.0,2425.0,55.86634526618115,25100.0,999900,,1.015457305908203,1.0,1.0
tvc100,3,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__3__1783618005/events.out.tfevents.1783618008.linux47.3309727.0,,,,,93.41698455810547,96.30027770996094,88.15344044396646,25100.0,93.41053771972656,96.45478057861328,88.15061622638882,25400.0,14.518915176391602,88.15678405761719,18.66462444225421,25100.0,-94.5269546508789,-0.42100346088409424,-89.89320230359284,,93.49097442626953,96.28144836425781,88.48221715129067,25400.0,101.74842834472656,102.39138793945312,99.10800929666819,25100.0,102.57379913330078,117.65840148925781,100.67035653550131,25100.0,93.12518310546875,95.80232238769531,88.2173618303423,25400.0,93.43424987792969,96.51301574707031,88.1523599089654,25300.0,0.35546875,0.46875,0.22944180172325368,65500.0,0.36653631925582886,0.8045446276664734,0.26485528099694633,60300.0,46.0,2435.0,52.730844189147604,25100.0,999900,,1.0174842834472657,1.0,1.0
tvc100,4,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__4__1783618095/events.out.tfevents.1783618098.linux47.3309895.0,,,,,91.88592529296875,95.85484313964844,88.57433744806883,25300.0,91.87220001220703,96.14924621582031,88.57687441301655,25300.0,16.166034698486328,74.9665298461914,21.211088201722916,25100.0,-93.20445251464844,-0.4760929346084595,-90.43591088381214,,91.88818359375,96.10814666748047,88.92703338495485,25400.0,101.89775848388672,102.87130737304688,100.1168691704453,25100.0,102.62174224853516,126.93780517578125,101.30138615579106,25100.0,91.4615249633789,95.54898834228516,88.51525301536617,25400.0,91.86930847167969,95.93972778320312,88.57566881308966,25300.0,0.43359375,0.5625,0.374013119935378,53700.0,0.42610296607017517,0.9864412546157837,0.411780400451776,53300.0,48.0,2346.0,55.95312339727152,25100.0,999900,,1.0189775848388671,1.0,1.0
tvc100,5,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__5__1783618095/events.out.tfevents.1783618098.linux54.3302757.0,,,,,88.93309020996094,93.27885437011719,85.75999258934736,25100.0,88.90900421142578,93.31644439697266,85.75845260442478,25100.0,16.815662384033203,92.95576477050781,22.351291707671887,25100.0,-90.44790649414062,-0.4892343580722809,-87.81053216487142,,88.97978210449219,92.4627685546875,86.12452950185427,25100.0,102.1214599609375,103.15568542480469,100.13293387872376,25100.0,102.92597198486328,129.48681640625,101.5283569027117,25100.0,88.52003479003906,91.95093536376953,85.78409293639524,25100.0,88.90341186523438,92.44743347167969,85.75949601349414,25100.0,0.44140625,0.55078125,0.2798127532311006,52300.0,0.4595460891723633,1.0518813133239746,0.34043647547736144,50500.0,50.0,2910.0,58.46804800492358,25100.0,999900,,1.021214599609375,1.0,1.0
tvc100,6,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__6__1783899450/events.out.tfevents.1783899453.linux60.860549.0,402.4995422363281,534.66455078125,427.2069793701172,0.0,93.76406860351562,96.9891586303711,90.07701066233591,25200.0,93.78946685791016,96.46839141845703,90.07398844820179,25200.0,15.087923049926758,85.56631469726562,21.25099870338784,25100.0,-94.96827697753906,-0.37972313165664673,-91.86685678895675,,93.89813232421875,96.9255142211914,90.43907241324544,25300.0,101.81083679199219,102.58003234863281,100.21474464349116,25100.0,102.51156616210938,135.3411102294922,101.3780037598043,25100.0,93.419921875,96.3878173828125,90.0373710756383,25300.0,93.77130126953125,96.44255065917969,90.07450762092368,25200.0,0.546875,0.65234375,0.388603558698328,56300.0,0.4637901186943054,0.9467886686325073,0.401701386206724,56100.0,50.0,3026.0,58.86952507949533,25100.0,999900,,1.0181083679199219,1.0,1.0
tvc100,7,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__7__1783899450/events.out.tfevents.1783899453.linux45.1621533.0,371.0137634277344,432.72149658203125,378.9649658203125,0.0,94.3828353881836,97.77890014648438,90.86280592009678,25100.0,94.38092803955078,97.54671478271484,90.86451207369899,25100.0,19.574127197265625,87.89334869384766,22.416351501770215,25100.0,-95.61756134033203,-0.6487441062927246,-92.63420601419479,,94.48013305664062,97.4239730834961,91.19642864995363,25100.0,102.10575866699219,103.15902709960938,100.12481705426974,25100.0,103.01927947998047,136.2695770263672,101.59163349432167,25100.0,93.88504028320312,96.68852233886719,90.70598720838099,25100.0,94.39688873291016,97.66462707519531,90.86387063221866,25100.0,0.59375,0.70703125,0.4482086303723459,59700.0,0.5852254033088684,1.2017581462860107,0.4904414488696015,55400.0,49.0,2426.0,56.834752282285365,25100.0,999900,,1.0210575866699219,1.0,1.0
tvc100,8,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__8__1783899451/events.out.tfevents.1783899454.linux47.858720.0,358.4906311035156,418.2121276855469,360.7293670654297,0.0,94.2914047241211,97.78701782226562,91.08086259363293,25100.0,94.26673889160156,97.44231414794922,91.08284419807718,25100.0,15.949443817138672,81.0744857788086,20.362205883206247,25100.0,-95.47941589355469,-0.5469927787780762,-92.86131305277121,,94.39181518554688,97.64950561523438,91.44423389282673,25200.0,102.05903625488281,103.2627182006836,100.46818201840749,25100.0,102.79169464111328,120.24348449707031,101.66874784321978,25100.0,93.77706909179688,96.89601135253906,90.94520700179119,25200.0,94.25346374511719,97.13619995117188,91.08395055189602,25100.0,0.6328125,0.7265625,0.4491113671915068,51200.0,0.605687141418457,1.1770806312561035,0.4990269264321117,51200.0,47.0,2419.0,54.682326392450506,25100.0,999900,,1.0205903625488282,1.0,1.0
tvc100,9,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__9__1783899451/events.out.tfevents.1783899454.linux47.858724.0,576.5897216796875,935.4551391601562,649.4769439697266,0.0,93.29003143310547,97.05198669433594,89.49824962280469,25200.0,93.28768920898438,97.34376525878906,89.49475711172242,25200.0,14.874345779418945,88.49703979492188,18.468328299875342,25100.0,-94.50010681152344,-0.4659469723701477,-91.23504285468653,,93.40792846679688,97.04779052734375,89.86792039099544,25400.0,101.8541488647461,102.62123107910156,99.78945040696247,25100.0,102.48483276367188,128.4448699951172,101.3009163530402,25100.0,92.90647888183594,96.46759033203125,89.49882972056935,25400.0,93.30918884277344,97.2289810180664,89.50324509609007,25200.0,0.515625,0.66015625,0.3571712483331624,54800.0,0.4924778938293457,1.2978264093399048,0.36909062216276756,40100.0,44.0,2074.0,50.09621499640989,25100.0,999900,,1.0185414886474609,1.0,1.0
tvc100,10,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260710_td3_tvcap_full30/Walker2d-v4__td3_tvcap_tvc100__10__1783899450/events.out.tfevents.1783899453.linux51.662662.0,413.1859436035156,462.6334228515625,405.9298431396484,0.0,93.12547302246094,97.04749298095703,89.40381230189648,25100.0,93.1226806640625,96.7684097290039,89.39780705247992,25100.0,17.55898666381836,85.89795684814453,21.32453492575761,25100.0,-94.34675598144531,-0.4646185338497162,-91.2071246401978,,93.09624481201172,96.71665954589844,89.7179583237839,25300.0,101.8265380859375,103.6254653930664,100.15474021708383,25100.0,102.57030487060547,120.54954528808594,101.4293600795287,25100.0,92.677734375,96.19681549072266,89.36051377541914,25300.0,93.07293701171875,96.5886459350586,89.39687605610187,25100.0,0.44921875,0.6328125,0.34231475664170685,53000.0,0.4145708680152893,1.067157506942749,0.3574445547874383,50300.0,50.0,2813.0,58.34526618114678,25100.0,999900,,1.018265380859375,1.0,1.0
