model_label,n_seeds,training_return_auc__median,training_return_auc__q25,training_return_auc__q75,final__eval/episodic_return__median,final__eval/episodic_return__q25,final__eval/episodic_return__q75,final__losses/qf_loss__median,final__losses/qf_loss__q25,final__losses/qf_loss__q75,final__losses/actor_loss__median,final__losses/actor_loss__q25,final__losses/actor_loss__q75,final__losses/qf1_values__median,final__losses/qf1_values__q25,final__losses/qf1_values__q75,final__targets/min_q_next_p95_pre_clip__median,final__targets/min_q_next_p95_pre_clip__q25,final__targets/min_q_next_p95_pre_clip__q75,final__targets/td_target_mean__median,final__targets/td_target_mean__q25,final__targets/td_target_mean__q75,final__robust/td3_q_target_clip_fraction__median,final__robust/td3_q_target_clip_fraction__q25,final__robust/td3_q_target_clip_fraction__q75,mean__robust/td3_q_target_clip_fraction__median,mean__robust/td3_q_target_clip_fraction__q25,mean__robust/td3_q_target_clip_fraction__q75,max__robust/td3_q_target_clip_fraction__median,max__robust/td3_q_target_clip_fraction__q25,max__robust/td3_q_target_clip_fraction__q75,first_step__robust/td3_q_target_clip_fraction__ge_0p01__median,first_step__robust/td3_q_target_clip_fraction__ge_0p01__q25,first_step__robust/td3_q_target_clip_fraction__ge_0p01__q75,final__robust/td3_q_target_excess_mean__median,final__robust/td3_q_target_excess_mean__q25,final__robust/td3_q_target_excess_mean__q75,final_q_p95_over_cap__median,final_q_p95_over_cap__q25,final_q_p95_over_cap__q75,cap_active_final_fraction,cap_active_ever_fraction
vanilla,30,,,,,,,46.92814636230469,41.59640979766846,51.25020790100098,-171.20872497558594,-181.60885620117188,-160.07900619506836,168.51041412353516,157.80001068115234,178.77326583862305,225.6061019897461,208.1473731994629,245.17114639282227,168.44034576416016,157.8004035949707,178.8428840637207,,,,,,,,,,,,,,,,,,,,
tvc100,30,,,,402.4995422363281,376.78973388671875,420.52171325683594,16.242780685424805,15.074011325836182,17.69029998779297,-94.3202133178711,-95.00532722473145,-93.11101722717285,93.15067291259766,91.8578052520752,93.87154197692871,101.82710647583008,101.75173759460449,102.01605224609375,93.15315628051758,91.8239860534668,93.85108757019043,0.494140625,0.44140625,0.544921875,0.35941346548363934,0.3409495324841009,0.3877839634193251,0.638671875,0.599609375,0.6552734375,54050.0,52775.0,59075.0,0.45962828397750854,0.42588481307029724,0.5116393566131592,1.0182710647583009,1.017517375946045,1.0201605224609376,1.0,1.0
tvc150,30,,,,422.68255615234375,390.875732421875,484.9811248779297,38.97879600524902,33.862060546875,42.430603981018066,-131.1878433227539,-132.96027755737305,-129.21129989624023,129.31354522705078,127.22526550292969,130.74874877929688,151.41143035888672,151.2279052734375,151.6337547302246,129.34561157226562,127.17577743530273,130.7559928894043,0.193359375,0.1484375,0.234375,0.11431741396553494,0.08317900393630116,0.12921187028797826,0.296875,0.251953125,0.33984375,128900.0,108125.0,150425.0,0.20409634709358215,0.1518673151731491,0.2865263670682907,1.0094095357259114,1.0081860351562502,1.0108916982014975,1.0,1.0
tvc200,30,,,,570.7456970214844,463.6537170410156,701.0083312988281,46.95613479614258,42.92751598358154,54.03294563293457,-161.28797149658203,-165.46852493286133,-151.68840789794922,158.7718963623047,149.54605102539062,162.8873405456543,199.80243682861328,188.31917572021484,200.80378341674805,158.7251968383789,149.58646392822266,162.92799758911133,0.046875,0.0,0.080078125,0.011355331316032414,0.000397877346394502,0.025033216547851064,0.099609375,0.0166015625,0.154296875,443100.0,353600.0,710100.0,0.04938453435897827,0.0,0.11253030598163605,0.9990121841430664,0.9415958786010742,1.0040189170837404,0.6,0.8333333333333334
tvc225,30,,,,708.7882690429688,575.1751098632812,820.3730163574219,46.01999282836914,36.992441177368164,52.400718688964844,-168.6875762939453,-176.3357925415039,-156.7816390991211,166.01175689697266,154.21057510375977,173.94957733154297,214.65070343017578,198.70465087890625,224.12892150878906,166.0546875,154.23677825927734,173.89731979370117,0.00390625,0.0,0.033203125,0.0009029371602215612,7.612960303620883e-05,0.010359936756333982,0.021484375,0.0078125,0.080078125,582900.0,453400.0,790000.0,0.002339661121368408,0.0,0.056648269295692444,0.9540031263563369,0.8831317816840278,0.9961285400390625,0.4,0.7
tvc250,30,,,,658.9412536621094,538.3815307617188,965.0090637207031,44.18526840209961,34.273658752441406,52.166903495788574,-168.09434509277344,-181.42044830322266,-155.38508224487305,165.25537109375,152.85126495361328,178.42377090454102,221.91388702392578,197.33334350585938,239.41512298583984,165.20501708984375,152.89517211914062,178.41356658935547,0.0,0.0,0.00390625,3.445866242691558e-05,1.1018758334188122e-05,0.0008860083405990357,0.005859375,0.00390625,0.025390625,636000.0,595200.0,730700.0,0.0,0.0,0.008451536297798157,0.8876555480957031,0.7893333740234375,0.9576604919433593,0.2,0.43333333333333335
tvc275,30,,,,667.5408630371094,487.8527526855469,830.1643676757812,47.91475296020508,41.139726638793945,55.702980041503906,-172.26338958740234,-186.42296600341797,-155.4607048034668,169.41314697265625,153.15819549560547,183.51737594604492,224.21178436279297,198.61620712280273,252.3271598815918,169.4288330078125,153.18329620361328,183.48974227905273,0.0,0.0,0.0,2.5443314698943483e-05,5.809890758026464e-06,0.000237203815775977,0.00390625,0.00390625,0.0146484375,648100.0,629900.0,750700.0,0.0,0.0,0.0,0.8153155795010654,0.7222407531738281,0.9175533086603338,0.13333333333333333,0.3
tvc300,30,,,,814.6051330566406,619.1770935058594,1058.3912963867188,47.65793991088867,40.79210090637207,53.57021713256836,-172.8843231201172,-179.65399932861328,-160.83771514892578,170.08233642578125,158.35249710083008,177.3865623474121,228.2175064086914,202.80924606323242,241.1208953857422,170.10681915283203,158.34358978271484,177.32604217529297,0.0,0.0,0.0,3.806480151810442e-06,8.013642424864088e-07,1.0718246743255718e-05,0.00390625,0.00390625,0.00390625,922000.0,922000.0,922000.0,0.0,0.0,0.0,0.7607250213623047,0.6760308202107748,0.8037363179524739,0.0,0.03333333333333333
