env_id,axis,stress_factor,model_label,threshold_fraction_of_vanilla_nominal_median,threshold_return,reliability
Walker2d-v5,action_noise,0.5,vanilla,0.0,0.0,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.008333333333333333,32.23160259411563,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.016666666666666666,64.46320518823126,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.025,96.69480778234689,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.03333333333333333,128.9264103764625,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.041666666666666664,161.1580129705781,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.05,193.38961556469377,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.058333333333333334,225.6212181588094,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.06666666666666667,257.852820752925,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.075,290.0844233470406,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.08333333333333333,322.3160259411562,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.09166666666666666,354.5476285352719,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.1,386.77923112938754,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.10833333333333334,419.01083372350314,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.11666666666666667,451.2424363176188,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.125,483.4740389117344,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.13333333333333333,515.70564150585,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.14166666666666666,547.9372440999656,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.15,580.1688466940813,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.15833333333333333,612.4004492881969,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.16666666666666666,644.6320518823125,1.0
Walker2d-v5,action_noise,0.5,vanilla,0.175,676.8636544764281,0.9333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.18333333333333332,709.0952570705438,0.9
Walker2d-v5,action_noise,0.5,vanilla,0.19166666666666665,741.3268596646593,0.8666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.2,773.5584622587751,0.8666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.20833333333333334,805.7900648528907,0.8666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.21666666666666667,838.0216674470063,0.8666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.225,870.2532700411219,0.8333333333333334
Walker2d-v5,action_noise,0.5,vanilla,0.23333333333333334,902.4848726352376,0.8333333333333334
Walker2d-v5,action_noise,0.5,vanilla,0.24166666666666667,934.7164752293531,0.8333333333333334
Walker2d-v5,action_noise,0.5,vanilla,0.25,966.9480778234688,0.8
Walker2d-v5,action_noise,0.5,vanilla,0.2583333333333333,999.1796804175843,0.8
Walker2d-v5,action_noise,0.5,vanilla,0.26666666666666666,1031.4112830117,0.7666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.275,1063.6428856058158,0.7666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.2833333333333333,1095.8744881999312,0.7666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.2916666666666667,1128.106090794047,0.7666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.3,1160.3376933881625,0.7666666666666667
Walker2d-v5,action_noise,0.5,vanilla,0.30833333333333335,1192.5692959822782,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.31666666666666665,1224.8008985763938,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.325,1257.0325011705095,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.3333333333333333,1289.264103764625,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.3416666666666667,1321.4957063587408,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.35,1353.7273089528562,0.7333333333333333
Walker2d-v5,action_noise,0.5,vanilla,0.35833333333333334,1385.9589115469719,0.7
