model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
klprho0,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klprho0,action_noise,0.05,action_noise_0p05,30,-7.2210829317843945,46.16769709982571,-5.568001691447322,8.589014855414655,2.296504731985715,15.83210332719569,-0.002012473356968033,0.012416760161372335
klprho0,action_noise,0.1,action_noise_0p1,30,46.20953549944143,104.90571367412396,48.49950579534532,109.42438883913836,49.16340511145116,109.27740439038409,0.011338694142267788,0.028122377065399856
klprho0,action_noise,0.2,action_noise_0p2,30,106.88861180710627,130.3840166060864,85.72699509799514,145.77066874139496,87.31267733340682,141.4369813780891,0.026536743906476715,0.034981395009751094
klprho0,action_noise,0.3,action_noise_0p3,30,547.1969704781479,195.82978112250728,317.94176211831,235.37248057151325,370.0283404700047,220.11894218338387,0.1335685031517907,0.04962636434515066
klprho0,action_noise,0.5,action_noise_0p5,30,2014.4378503763533,318.88976509331076,2032.3363286296158,387.8434817903708,1989.0394724174216,369.3692065958264,0.48802229017589066,0.08258855783696226
klprho0p05,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klprho0p05,action_noise,0.05,action_noise_0p05,30,81.52257988961864,53.73673039313431,16.79390009476258,23.34994789749485,23.74755855634238,34.15414010881507,0.02737298118774358,0.023811288748027806
klprho0p05,action_noise,0.1,action_noise_0p1,30,77.00219639973675,88.15872032745743,17.155642332493873,41.87776399364303,38.53399613902764,69.34178301949694,0.009141038422236512,0.029710890800299223
klprho0p05,action_noise,0.2,action_noise_0p2,30,149.81319053838936,108.09719055378642,88.54264211031153,110.8550885132996,84.1619178422615,113.12134478955844,0.05581371762554765,0.048526227529768345
klprho0p05,action_noise,0.3,action_noise_0p3,30,410.1293439934725,179.7030205382159,230.31540791767935,195.52614147181,269.85614780335794,198.38164764677634,0.12323749513005873,0.06222518650970018
klprho0p05,action_noise,0.5,action_noise_0p5,30,1728.7764558414433,323.27709953960544,1678.9088184820127,393.2207887618873,1691.6681989970073,373.7000703654218,0.4775766925957265,0.08823593677726115
vanilla,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,action_noise,0.05,action_noise_0p05,30,-1.533141752458126,65.06358202093705,-4.456709519041351,7.364594785211663,14.929939720114362,43.560319976737,-0.0008201859739353008,0.016938319476733448
vanilla,action_noise,0.1,action_noise_0p1,30,5.602923764991844,67.37991583719753,6.95797094507678,44.76962271887913,8.099887945254235,46.96285269574912,0.0009240620986064876,0.017724288218091508
vanilla,action_noise,0.2,action_noise_0p2,30,84.85736833771662,118.97503350896183,73.56266788827102,165.70584085801067,77.51644145799396,163.88906676844093,0.02027902060436459,0.029873545883884748
vanilla,action_noise,0.3,action_noise_0p3,30,339.14915265465606,198.59617899733828,219.38047369239368,237.8462844064947,254.66664766936853,243.28849225682734,0.08459114605989693,0.0504261755644526
vanilla,action_noise,0.5,action_noise_0p5,30,1937.612299002826,337.0488636991764,2045.7118475557456,408.0188387560764,1996.487690510923,392.4828044307057,0.49357678662175897,0.08628788857480536
