scenario_label,model_label,seed,gain_over_vanilla,vanilla_return,cap_return
actuator_gain_0p5,a2p95,1,0.7013077599360713,348.247802414773,348.94911017470906
actuator_gain_0p5,a2p95,2,-32.60788102061417,274.0009822584707,241.3931012378565
actuator_gain_0p5,a2p95,3,4.450344318338779,250.2171688451953,254.66751316353407
actuator_gain_0p5,a2p95,4,82.34173314668092,251.25406164832336,333.5957947950043
actuator_gain_0p5,a2p95,5,-66.85588877574918,326.2804066571632,259.42451788141403
actuator_gain_0p5,a2p95,6,-3.4684926704343866,321.3911427579933,317.9226500875589
actuator_gain_0p5,a2p95,7,61.08730196409482,308.3271332726503,369.41443523674513
actuator_gain_0p5,a2p95,8,-66.6317320055764,332.89945025477846,266.26771824920206
actuator_gain_0p5,a2p95,9,2.503488015766152,336.51171217930187,339.015200195068
actuator_gain_0p5,a2p95,10,-29.61136323262764,356.63271286194976,327.0213496293221
actuator_gain_0p5,a2p95,11,27.14399360292299,298.587895613945,325.731889216868
actuator_gain_0p5,a2p95,12,172.04854293415997,236.5744978243851,408.6230407585451
actuator_gain_0p5,a2p95,13,-30.735680094244515,331.32422521211294,300.5885451178684
actuator_gain_0p5,a2p95,14,124.72146485364522,229.9278495949864,354.6493144486316
actuator_gain_0p5,a2p95,15,4.48000809057649,236.7130760907788,241.1930841813553
actuator_gain_0p5,a2p95,16,29.10891242118896,328.552678678232,357.66159109942095
actuator_gain_0p5,a2p95,17,109.24496800096856,250.72693704346185,359.9719050444304
actuator_gain_0p5,a2p95,18,-65.30502026573862,388.39726192915583,323.0922416634172
actuator_gain_0p5,a2p95,19,26.07846640292331,314.3346704642931,340.4131368672164
actuator_gain_0p5,a2p95,20,-27.291439184403657,375.07823218824495,347.7867930038413
actuator_gain_0p5,a2p95,21,-147.65554806133082,376.7317656794263,229.07621761809548
actuator_gain_0p5,a2p95,22,-85.69209577138452,410.34244772547777,324.65035195409325
actuator_gain_0p5,a2p95,23,-49.07409092537574,340.4666595016294,291.39256857625367
actuator_gain_0p5,a2p95,24,-52.373494039019874,369.1296207466909,316.756126707671
actuator_gain_0p5,a2p95,25,-11.53771950124974,234.3756754780165,222.83795597676675
actuator_gain_0p5,a2p95,26,-149.69880654889815,353.59380282929175,203.8949962803936
actuator_gain_0p5,a2p95,27,95.07614774497199,271.8714581914249,366.9476059363969
actuator_gain_0p5,a2p95,28,18.524056499677613,360.5657455364222,379.0898020360998
actuator_gain_0p5,a2p95,29,137.5292492711201,223.35361670491093,360.88286597603104
actuator_gain_0p5,a2p95,30,-160.73439146001203,351.1670182275208,190.4326267675088
actuator_gain_0p5,a3p00,1,93.74505623714958,348.247802414773,441.9928586519226
actuator_gain_0p5,a3p00,2,39.766537558844675,274.0009822584707,313.76751981731536
actuator_gain_0p5,a3p00,3,133.66104153104354,250.2171688451953,383.8782103762388
actuator_gain_0p5,a3p00,4,-18.147362402900967,251.25406164832336,233.1066992454224
actuator_gain_0p5,a3p00,5,12.092787777358069,326.2804066571632,338.3731944345213
actuator_gain_0p5,a3p00,6,72.70904310944542,321.3911427579933,394.1001858674387
actuator_gain_0p5,a3p00,7,91.72463394051516,308.3271332726503,400.0517672131655
actuator_gain_0p5,a3p00,8,-85.34603978054199,332.89945025477846,247.55341047423647
actuator_gain_0p5,a3p00,9,9.462528280013942,336.51171217930187,345.9742404593158
actuator_gain_0p5,a3p00,10,-35.211923371916384,356.63271286194976,321.42078949003337
actuator_gain_0p5,a3p00,11,33.65893654480385,298.587895613945,332.2468321587489
actuator_gain_0p5,a3p00,12,85.06999680992215,236.5744978243851,321.64449463430725
actuator_gain_0p5,a3p00,13,-2.2220900627754645,331.32422521211294,329.10213514933747
actuator_gain_0p5,a3p00,14,146.97807205934402,229.9278495949864,376.9059216543304
actuator_gain_0p5,a3p00,15,61.967313778320516,236.7130760907788,298.6803898690993
actuator_gain_0p5,a3p00,16,24.635971121276327,328.552678678232,353.1886497995083
actuator_gain_0p5,a3p00,17,144.85920090775235,250.72693704346185,395.5861379512142
actuator_gain_0p5,a3p00,18,-121.30286859071765,388.39726192915583,267.0943933384382
actuator_gain_0p5,a3p00,19,-42.66850842383968,314.3346704642931,271.6661620404534
actuator_gain_0p5,a3p00,20,-103.83634555490477,375.07823218824495,271.2418866333402
actuator_gain_0p5,a3p00,21,24.5796297938424,376.7317656794263,401.3113954732687
actuator_gain_0p5,a3p00,22,-109.19086876782734,410.34244772547777,301.15157895765043
actuator_gain_0p5,a3p00,23,-3.7363842578228628,340.4666595016294,336.73027524380655
actuator_gain_0p5,a3p00,24,10.58180268002593,369.1296207466909,379.7114234267168
actuator_gain_0p5,a3p00,25,129.98728384356093,234.3756754780165,364.3629593215774
actuator_gain_0p5,a3p00,26,-61.543071251228525,353.59380282929175,292.0507315780632
actuator_gain_0p5,a3p00,27,99.15246613128141,271.8714581914249,371.0239243227063
actuator_gain_0p5,a3p00,28,-27.25975750623178,360.5657455364222,333.3059880301904
actuator_gain_0p5,a3p00,29,24.188016388538216,223.35361670491093,247.54163309344915
actuator_gain_0p5,a3p00,30,-74.2138616541389,351.1670182275208,276.95315657338193
actuator_gain_0p5,a3p05,1,2.6414895016699234,348.247802414773,350.8892919164429
actuator_gain_0p5,a3p05,2,-40.4340968366175,274.0009822584707,233.5668854218532
actuator_gain_0p5,a3p05,3,82.49506680277673,250.2171688451953,332.712235647972
actuator_gain_0p5,a3p05,4,89.35137666758115,251.25406164832336,340.6054383159045
actuator_gain_0p5,a3p05,5,-144.37269730939272,326.2804066571632,181.9077093477705
actuator_gain_0p5,a3p05,6,33.533584784340405,321.3911427579933,354.9247275423337
actuator_gain_0p5,a3p05,7,29.846642640763775,308.3271332726503,338.1737759134141
actuator_gain_0p5,a3p05,8,-8.893101827080159,332.89945025477846,324.0063484276983
actuator_gain_0p5,a3p05,9,-23.892127218553583,336.51171217930187,312.6195849607483
actuator_gain_0p5,a3p05,10,-48.432283092916634,356.63271286194976,308.2004297690331
actuator_gain_0p5,a3p05,11,53.8809039353892,298.587895613945,352.4687995493342
actuator_gain_0p5,a3p05,12,93.13641542390707,236.5744978243851,329.7109132482922
actuator_gain_0p5,a3p05,13,-86.17813734433662,331.32422521211294,245.14608786777632
actuator_gain_0p5,a3p05,14,36.2067568584049,229.9278495949864,266.1346064533913
actuator_gain_0p5,a3p05,15,117.84751018801879,236.7130760907788,354.5605862787976
actuator_gain_0p5,a3p05,16,-57.406699239822274,328.552678678232,271.1459794384097
actuator_gain_0p5,a3p05,17,79.15419644086424,250.72693704346185,329.8811334843261
actuator_gain_0p5,a3p05,18,-42.59893372949398,388.39726192915583,345.79832819966185
actuator_gain_0p5,a3p05,19,-74.53955404166385,314.3346704642931,239.79511642262923
actuator_gain_0p5,a3p05,20,-38.756145171438106,375.07823218824495,336.32208701680685
actuator_gain_0p5,a3p05,21,-63.83873013456804,376.7317656794263,312.89303554485826
actuator_gain_0p5,a3p05,22,-58.79083692894625,410.34244772547777,351.5516107965315
actuator_gain_0p5,a3p05,23,5.31886571888964,340.4666595016294,345.78552522051905
actuator_gain_0p5,a3p05,24,-11.342182964591302,369.1296207466909,357.7874377820996
actuator_gain_0p5,a3p05,25,184.20157248763059,234.3756754780165,418.5772479656471
actuator_gain_0p5,a3p05,26,2.3108010120623135,353.59380282929175,355.90460384135406
actuator_gain_0p5,a3p05,27,80.34466320872127,271.8714581914249,352.21612140014616
actuator_gain_0p5,a3p05,28,-80.78582651485817,360.5657455364222,279.779919021564
actuator_gain_0p5,a3p05,29,4.466916728358257,223.35361670491093,227.8205334332692
actuator_gain_0p5,a3p05,30,-127.24252386702992,351.1670182275208,223.9244943604909
actuator_gain_0p5,a3p10,1,-120.42700936422148,348.247802414773,227.82079305055152
actuator_gain_0p5,a3p10,2,-13.182635035781345,274.0009822584707,260.81834722268934
actuator_gain_0p5,a3p10,3,94.62529303284603,250.2171688451953,344.8424618780413
actuator_gain_0p5,a3p10,4,105.69885985402888,251.25406164832336,356.95292150235224
actuator_gain_0p5,a3p10,5,-47.06955785998696,326.2804066571632,279.21084879717625
actuator_gain_0p5,a3p10,6,10.913847264420156,321.3911427579933,332.30499002241345
actuator_gain_0p5,a3p10,7,44.176087318068824,308.3271332726503,352.50322059071914
actuator_gain_0p5,a3p10,8,1.0782142711431675,332.89945025477846,333.9776645259216
actuator_gain_0p5,a3p10,9,-29.070195717714228,336.51171217930187,307.44151646158764
actuator_gain_0p5,a3p10,10,-4.988049429817011,356.63271286194976,351.64466343213275
actuator_gain_0p5,a3p10,11,9.559559550551796,298.587895613945,308.1474551644968
actuator_gain_0p5,a3p10,12,12.98650257604001,236.5744978243851,249.56100040042512
actuator_gain_0p5,a3p10,13,7.746699741136638,331.32422521211294,339.0709249532496
actuator_gain_0p5,a3p10,14,119.41754147473603,229.9278495949864,349.34539106972244
actuator_gain_0p5,a3p10,15,93.81032299280346,236.7130760907788,330.52339908358226
actuator_gain_0p5,a3p10,16,20.527373968220957,328.552678678232,349.08005264645294
actuator_gain_0p5,a3p10,17,111.65402103934085,250.72693704346185,362.3809580828027
actuator_gain_0p5,a3p10,18,-155.33171616325464,388.39726192915583,233.0655457659012
actuator_gain_0p5,a3p10,19,48.55789621015413,314.3346704642931,362.8925666744472
actuator_gain_0p5,a3p10,20,-143.30326415285245,375.07823218824495,231.7749680353925
actuator_gain_0p5,a3p10,21,40.8715051087006,376.7317656794263,417.6032707881269
actuator_gain_0p5,a3p10,22,-35.48245006399594,410.34244772547777,374.8599976614818
actuator_gain_0p5,a3p10,23,7.300595592011405,340.4666595016294,347.7672550936408
actuator_gain_0p5,a3p10,24,-89.06780314060319,369.1296207466909,280.0618176060877
actuator_gain_0p5,a3p10,25,72.9592133152529,234.3756754780165,307.3348887932694
