model_label,auc
tv_a4000,4870.307144042373
vanilla,4715.25171475424
tv_a3600,4354.461212698993
tv_p95,4229.680566225818
tv_a4400,4158.904770023902
tv_a4800,3926.75425067297
tv_a3200,3760.66145370662
