kind,model_label,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95
group,tv,mass_0p5,5,3179.101395092389,683.3953123985252,3320.73717502925,980.1161597724241,3333.9951751070125,880.9854183453374
group,tv,mass_0p6,5,3138.4877664911082,685.842174368772,3303.8636917124613,915.9536833951528,3310.665023317501,901.7861226860824
group,tv,mass_0p7,5,3079.931795992507,693.5319967880251,3244.419246342425,971.2286847875856,3255.891239731468,943.6215043949398
group,tv,mass_0p8,5,3136.4658845263157,784.3801883242674,3206.1402486126685,1020.4133057328164,3262.8608451996843,973.5812923844462
group,tv,mass_0p9,5,3128.2440406728665,675.1381965047425,3293.441520403105,955.0818735666415,3277.474505471039,893.9312824680796
group,tv,mass_1p1,5,3127.0359669398435,720.1127051255269,3329.7261368260115,922.2574079911047,3295.5720297485773,897.7810463019985
group,tv,mass_1p3,5,3133.1256847284967,681.943350188797,3369.831003407545,949.8676919982238,3333.1138630448636,923.8245529565166
group,tv,mass_1p5,5,3070.0231470921544,654.3401580500965,3214.352340582887,978.0097818472059,3256.6120284042954,931.2889716846155
group,tv,mass_1p7,5,3034.0588376337314,727.2328866629953,3172.3579218294326,1025.9177015484754,3201.454794222842,988.9643224061248
group,tv,mass_2p0,5,3149.665146976487,709.9123305265374,3291.475648086792,988.354536080068,3317.006025725184,927.1524301050714
group,tv,nominal,5,3090.8913177058334,767.6869511994336,3158.7713303420915,1037.781208116425,3191.300188338726,965.8470513240877
group,vanilla,mass_0p5,5,3088.0494065242024,634.1860603674286,3215.2755967376193,946.6241482555758,3239.3564928225833,883.0800240461411
group,vanilla,mass_0p6,5,3198.4125629843884,699.495272299296,3371.0134997723167,918.7454515888368,3378.246251335443,860.6288467570099
group,vanilla,mass_0p7,5,3124.0384884848513,704.3179648107806,3368.3952783804716,961.6915986920053,3314.039189738441,918.9260677177584
group,vanilla,mass_0p8,5,3184.087871131728,753.1546206396076,3338.899986774868,929.7040035553923,3300.5707006983503,884.6078748431337
group,vanilla,mass_0p9,5,3077.8717192162762,596.0394624828003,3311.021099649307,869.0488468807921,3302.6582599166677,776.5435355899656
group,vanilla,mass_1p1,5,3166.0422865686605,762.3934094484837,3276.7875075217426,962.3809072702886,3279.7726278944137,946.6188614092351
group,vanilla,mass_1p3,5,3120.733773983286,666.7665923160965,3253.31415625839,921.6071665686526,3277.880234366964,853.68834062886
group,vanilla,mass_1p5,5,3200.271998095058,710.77127644372,3448.519246315016,897.7581259933521,3390.3655911526957,881.6059125642001
group,vanilla,mass_1p7,5,3141.5863114176927,705.3060978776917,3321.6776341081118,948.2085485938769,3323.8319692512437,919.1052948560306
group,vanilla,mass_2p0,5,3096.887264690692,646.9066400898341,3299.80874685971,913.1220063123691,3271.0563340499866,852.4143744573042
group,vanilla,nominal,5,3143.1062067238063,603.7157178434816,3365.3404925558702,848.9399811119555,3378.992973418568,824.6809415148608
drop,tv,nominal->mass_0p5,5,-88.21007738655526,97.38596773646395,-161.96584468715946,238.3628592499158,-0.037189324087394164,0.03651136343202666
drop,vanilla,nominal->mass_0p5,5,55.05680019960364,147.86748168250398,150.06489581825136,163.13192574351032,0.0181100591486282,0.0442433724483214
gain,vanilla_vs_tv,nominal->mass_0p5,5,143.2668775861589,212.8850572057851,312.0307405054108,288.7123443354812,203.4185433143413,146.34581210650222
drop,tv,nominal->mass_0p6,5,-47.596448785274426,127.17287162016628,-145.0923613703701,128.52561552701354,-0.02289534303479226,0.03748902774063407
drop,vanilla,nominal->mass_0p6,5,-55.306356260581836,189.32883846914828,-5.673007216446149,308.23774262511756,-0.013471253307952407,0.0629819589779159
gain,vanilla_vs_tv,nominal->mass_0p6,5,-7.709907475307409,305.3057844551381,139.41935415392396,357.3560123190284,50.26949678442512,304.726283246413
drop,tv,nominal->mass_0p7,5,10.959521713326376,173.74837708043322,-85.64791600033418,87.23305001647071,-0.0016385192611594324,0.043691500380905406
drop,vanilla,nominal->mass_0p7,5,19.067718238954786,198.48740239650908,-3.054785824600958,431.4442579970787,0.010865793167524966,0.06742533352212197
gain,vanilla_vs_tv,nominal->mass_0p7,5,8.10819652562841,326.7160587384779,82.59313017573322,403.55706970039944,74.75860880104499,274.3336002142337
drop,tv,nominal->mass_0p8,5,-45.57456682048205,248.5215750552779,-47.368918270577254,348.22247280154556,-0.016166129038521222,0.09289018124775843
drop,vanilla,nominal->mass_0p8,5,-40.98166440792174,243.75513171872115,26.440505781002184,319.1780144240591,-0.006503457671225688,0.06913705344460215
gain,vanilla_vs_tv,nominal->mass_0p8,5,4.592902412560306,424.9314527326324,73.80942405157944,628.0970077619415,-6.454497109633091,426.36351254361136
drop,tv,nominal->mass_0p9,5,-37.35272296703361,106.68375067223019,-134.67019006101395,137.90206623538194,-0.02025014613890251,0.034538293016195466
drop,vanilla,nominal->mass_0p9,5,65.23448750752986,201.67449849572228,54.319392906563095,55.90561212985078,0.017926886473297942,0.056308360878457496
gain,vanilla_vs_tv,nominal->mass_0p9,5,102.58721047456348,268.31259024262397,188.98958296757706,147.4041726217561,111.41929622572054,165.8181460312915
drop,tv,nominal->mass_1p1,5,-36.14464923400992,71.49766164986322,-170.95480648392018,162.46772998284507,-0.016363637303507185,0.026296038739092684
drop,vanilla,nominal->mass_1p1,5,-22.936079844854156,182.66120065130363,88.55298503412777,179.3748093160509,0.0016525852377410554,0.05357372387008011
gain,vanilla_vs_tv,nominal->mass_1p1,5,13.208569389155764,245.01166653520343,259.50779151804795,275.47026913494966,29.586143414082017,173.2015331665911
drop,tv,nominal->mass_1p3,5,-42.234367022662994,170.41606331458354,-211.05967306545313,241.41335544332452,-0.02074145870032661,0.04523581654664274
drop,vanilla,nominal->mass_1p3,5,22.372432740520253,153.70199124551843,112.02633629748061,145.67197018822577,0.009599621439391484,0.04100541342372952
gain,vanilla_vs_tv,nominal->mass_1p3,5,64.60679976318325,312.98644470681546,323.08600936293374,313.4293856686035,147.71066862059556,73.90478722742643
drop,tv,nominal->mass_1p5,5,20.868170613679194,161.77094600478748,-55.58101024079574,105.33243522341013,-0.002393568091557716,0.046868837076456754
drop,vanilla,nominal->mass_1p5,5,-57.165791371251906,186.39595056984413,-83.17875375914555,400.03137901693214,-0.013036288891072847,0.0648010812266385
gain,vanilla_vs_tv,nominal->mass_1p5,5,-78.0339619849311,334.913492740779,-27.59774351834981,460.3398912351878,-44.53603525985758,297.3609491213445
drop,tv,nominal->mass_1p7,5,56.83248007210223,145.0434055551141,-13.586591487341547,50.8936384504437,0.016957254519540117,0.03993399381185991
drop,vanilla,nominal->mass_1p7,5,1.519895306113085,124.49581446279736,43.66285844775889,223.33528684577746,0.00711691456673115,0.04632913723050788
gain,vanilla_vs_tv,nominal->mass_1p7,5,-55.31258476598914,207.56070429936844,57.24944993510044,249.73502605085505,11.939787352555413,161.13285507094193
drop,tv,nominal->mass_2p0,5,-58.77382927065382,134.6221952884404,-132.70431774470012,158.6533365034123,-0.024547035841199192,0.042356500726916456
drop,vanilla,nominal->mass_2p0,5,46.21894203311376,172.895436665712,65.53174569616094,232.03588704571987,0.016247973544451625,0.053335216611394294
gain,vanilla_vs_tv,nominal->mass_2p0,5,104.99277130376758,296.8054481907282,198.23606344086107,164.174923728381,132.01117946416252,316.2766676369382
