env_id,axis,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,action_noise,tvc100,tvc100_minus_vanilla,-0.7125,0.0,0.7125,0.09950248756218906,0.0,-0.9666666666666667,0.19,0.0,0.0
Walker2d-v5,action_noise,tvc150,tvc150_minus_vanilla,-0.6827666666666667,0.0,0.6827666666666667,0.06467661691542288,0.0,-0.9266666666666666,0.295,0.0,0.0
Walker2d-v5,action_noise,tvc200,tvc200_minus_vanilla,-0.5493333333333333,0.0,0.5493333333333333,0.1044776119402985,0.0,-0.8333333333333334,0.625,0.0,0.0
Walker2d-v5,action_noise,tvc225,tvc225_minus_vanilla,-0.4551333333333334,0.0,0.4551333333333334,0.11442786069651742,0.0,-0.7533333333333334,0.785,0.0,0.0
Walker2d-v5,action_noise,tvc250,tvc250_minus_vanilla,-0.2516,0.00019999999999999914,0.25179999999999997,0.18407960199004975,0.024875621890547265,-0.5800000000000001,0.91,0.013333333333333308,0.16
Walker2d-v5,action_noise,tvc275,tvc275_minus_vanilla,-0.16906666666666664,0.0,0.16906666666666664,0.13432835820895522,0.0,-0.5,0.935,0.0,0.0
Walker2d-v5,action_noise,tvc300,tvc300_minus_vanilla,-0.08484999999999998,0.003999999999999998,0.08884999999999998,0.32338308457711445,0.1691542288557214,-0.42000000000000004,0.935,0.046666666666666745,0.24
Walker2d-v5,action_noise,tvc400,tvc400_minus_vanilla,0.01355,0.013716666666666667,0.0001666666666666668,0.9800995024875622,0.6915422885572139,-0.013333333333333308,0.855,0.06666666666666671,0.975
Walker2d-v5,action_noise,tvc500,tvc500_minus_vanilla,-0.05883333333333332,0.0,0.05883333333333332,0.1791044776119403,0.0,-0.19333333333333336,0.98,0.0,0.0
Walker2d-v5,action_noise,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
