env_id,model_label,n_axes,n_model_seeds_min,n_baseline_seeds_min,bootstrap_replicates,reliability_auc_delta,reliability_auc_delta__ci95_low,reliability_auc_delta__ci95_high,probability_reliability_auc_improves,catastrophe_recovery_area,catastrophe_recovery_area__ci95_low,catastrophe_recovery_area__ci95_high,catastrophe_harm_area,catastrophe_harm_area__ci95_low,catastrophe_harm_area__ci95_high,worst_survival_delta,worst_survival_delta__ci95_low,worst_survival_delta__ci95_high,probability_curve_empirically_dominates
Walker2d-v5,tvc100,20,30,30,5000,-0.5833467261904761,-0.6210449880952382,-0.5348688655753968,0.0,0.0014530952380952384,0.0011094241071428622,0.0018473149801587266,0.5847998214285715,0.536399126984127,0.6222653253968254,-0.7793968253968254,-0.8169611111111109,-0.7417932539682542,0.0
Walker2d-v5,tvc150,20,30,30,5000,-0.5473469841269841,-0.5863925778769842,-0.4966935342261905,0.0,0.00020857142857142857,0.0,0.0006202886904761885,0.5475555555555556,0.4970844558531747,0.5865623834325396,-0.727047619047619,-0.778388888888889,-0.6650228174603176,0.0
Walker2d-v5,tvc200,20,30,30,5000,-0.4262364484126984,-0.4758153561507936,-0.3679852361111112,0.0,0.0,0.0,4.912847222222287e-05,0.4262364484126984,0.36798711855158733,0.47581535615079357,-0.6526269841269842,-0.7020561507936509,-0.5952378968253969,0.0
Walker2d-v5,tvc225,20,30,30,5000,-0.34933117063492064,-0.409448841765873,-0.28527397123015874,0.0,7.65873015873014e-06,0.0,0.00022123462301587265,0.3493388293650793,0.2854270634920635,0.40944884176587293,-0.5959603174603174,-0.6523900793650793,-0.5313319444444444,0.0
Walker2d-v5,tvc250,20,30,30,5000,-0.1898011507936508,-0.25071572867063496,-0.12705302380952388,0.0,4.162698412698395e-05,0.0,0.0034281696428571443,0.18984277777777778,0.12894028670634916,0.25078559126984123,-0.4630873015873016,-0.5481476190476191,-0.3764257936507936,0.0
Walker2d-v5,tvc275,20,30,30,5000,-0.1355147619047619,-0.20015583878968254,-0.07108518204365083,0.0,0.0,0.0,0.007107283730158734,0.1355147619047619,0.07632337202380957,0.20015583878968252,-0.38064285714285717,-0.4838666666666666,-0.29272182539682545,0.0
Walker2d-v5,tvc300,20,30,30,5000,-0.0529107738095238,-0.0990623308531746,0.003146727182539671,0.0304,0.005322142857142857,3.391567460317571e-05,0.03951051934523801,0.05823291666666666,0.032690688988095226,0.09927603720238093,-0.3202936507936508,-0.4358994047619046,-0.21880019841269843,0.0
Walker2d-v5,tvc400,20,30,30,5000,0.007687916666666664,-0.056046012896825405,0.07194276785714285,0.5992,0.007783908730158728,5.550595238098214e-06,0.07195002480158728,9.599206349206347e-05,1.5664682539667175e-06,0.0564714399801587,-0.002642857142857147,-0.12114126984126997,-0.0004761904761904051,0.011
Walker2d-v5,tvc500,20,30,30,5000,-0.045941527777777776,-0.11151099206349208,0.019514710317460347,0.0852,1.2698412698412814e-06,0.0,0.02572754365079365,0.04594279761904761,0.0028835744047619027,0.11173707986111112,-0.13014285714285714,-0.27809642857142863,-0.03812738095238112,0.0006
