version,model_label,seed,axis,nominal_retention,reliability_auc,cvar20,catastrophe_prob_t0p50
Walker2d-v4,vanilla,1,friction,3.6137209151478653,0.8642104592724459,0.3210522963622295,0.2
Walker2d-v4,vanilla,2,friction,2.1228781430305688,0.8380931432275712,0.274805361750087,0.2
Walker2d-v4,vanilla,3,friction,2.745826743884179,0.8807988955177148,0.40399447758857393,0.13333333333333333
Walker2d-v4,vanilla,4,friction,0.49489015143370935,0.3881419732946921,0.2135826662479898,0.6666666666666666
Walker2d-v4,vanilla,5,friction,0.5545733705865586,0.3705017328902339,0.2153550566083081,0.8666666666666667
Walker2d-v4,vanilla,6,friction,1.8057396854793946,0.8022835756849703,0.3584782710995181,0.2
Walker2d-v4,vanilla,7,friction,1.651609472681508,0.8287576256260453,0.3089385816236974,0.2
Walker2d-v4,vanilla,8,friction,0.8140329993086609,0.6303568584190274,0.2937978682050811,0.26666666666666666
Walker2d-v4,vanilla,9,friction,0.9516539742795086,0.714419942798973,0.3223745861738941,0.3333333333333333
Walker2d-v4,vanilla,10,friction,0.8836521084255137,0.7082505310868404,0.35174813472158095,0.2
Walker2d-v4,vanilla,11,friction,0.8152739034600653,0.6676436538509164,0.3310771496266453,0.2
Walker2d-v4,vanilla,12,friction,3.7253455790109555,0.8574280351359138,0.28714017567956873,0.2
Walker2d-v4,vanilla,13,friction,0.5593825124611727,0.39271364460968017,0.20814745300035042,0.8666666666666667
Walker2d-v4,vanilla,14,friction,0.6756379273512589,0.43539906568874365,0.22491516329596295,0.6666666666666666
Walker2d-v4,vanilla,15,friction,4.3036436258386255,0.8980685677326647,0.4903428386633239,0.13333333333333333
Walker2d-v4,vanilla,16,friction,0.8286940500787375,0.601199011004623,0.2167720021675068,0.4
Walker2d-v4,vanilla,17,friction,1.3505680548583225,0.821549366159299,0.26205307043563814,0.2
Walker2d-v4,vanilla,18,friction,1.1273021530092389,0.6720613604278918,0.25827323123099166,0.3333333333333333
Walker2d-v4,vanilla,19,friction,2.926161687011787,0.7997026690692831,0.3793127851869193,0.13333333333333333
Walker2d-v4,vanilla,20,friction,0.9356646787279742,0.6324785258455122,0.34036459042063516,0.26666666666666666
Walker2d-v4,vanilla,21,friction,0.9763650083603153,0.7172897997846158,0.2793376681610615,0.26666666666666666
Walker2d-v4,vanilla,22,friction,1.172312015672858,0.7729693685657696,0.34419170201600796,0.26666666666666666
Walker2d-v4,vanilla,23,friction,0.7565133861172473,0.6239437802003053,0.30108327646002925,0.26666666666666666
Walker2d-v4,vanilla,24,friction,1.023634991639685,0.7156421979554869,0.3011973110144675,0.26666666666666666
Walker2d-v4,vanilla,25,friction,3.031639604364993,0.7436137874770705,0.2829093477028843,0.3333333333333333
Walker2d-v4,vanilla,26,friction,0.9361016051590977,0.7269592295787904,0.3421983942916675,0.3333333333333333
Walker2d-v4,vanilla,27,friction,0.6898022030784403,0.4751025159025088,0.22827267662618264,0.4666666666666667
Walker2d-v4,vanilla,28,friction,1.099939858555405,0.7092829084198513,0.29013331603550907,0.3333333333333333
Walker2d-v4,vanilla,29,friction,0.6020717761893082,0.5032321570328455,0.2570764298667716,0.4
Walker2d-v4,vanilla,30,friction,3.8516298984548767,0.8270332466928065,0.40176386900091665,0.26666666666666666
Walker2d-v4,vanilla,11,actuator_gain,0.8152739034600653,0.6013906866416879,0.2537606623605852,0.4
Walker2d-v4,vanilla,12,actuator_gain,3.7253455790109555,0.6606880754909918,0.25561305037733584,0.4666666666666667
Walker2d-v4,vanilla,13,actuator_gain,0.5593825124611727,0.5723501320155296,0.2909079194349783,0.4
Walker2d-v4,vanilla,14,actuator_gain,0.6756379273512589,0.38190641120480956,0.05973102461530929,0.8
Walker2d-v4,vanilla,15,actuator_gain,4.3036436258386255,0.6033782709121609,0.04807028536519409,0.3333333333333333
Walker2d-v4,vanilla,16,actuator_gain,0.8286940500787375,0.5013127349648046,0.09428439159910935,0.4666666666666667
Walker2d-v4,vanilla,17,actuator_gain,1.3505680548583225,0.6521393069824577,0.12037636499710831,0.4
Walker2d-v4,vanilla,18,actuator_gain,1.1273021530092389,0.6511459175784388,0.10372816530218786,0.3333333333333333
Walker2d-v4,vanilla,19,actuator_gain,2.926161687011787,0.6261610049757657,0.25433612952622103,0.4666666666666667
Walker2d-v4,vanilla,20,actuator_gain,0.9356646787279742,0.527138866119772,0.05296867956992565,0.4
Walker2d-v4,vanilla,21,actuator_gain,0.9763650083603153,0.5459529206999403,0.054318577778597076,0.4666666666666667
Walker2d-v4,vanilla,22,actuator_gain,1.172312015672858,0.6758940913050883,0.2346336114109072,0.3333333333333333
Walker2d-v4,vanilla,23,actuator_gain,0.7565133861172473,0.5957012398880637,0.17010902492329083,0.4
Walker2d-v4,vanilla,24,actuator_gain,1.023634991639685,0.5182313368970435,0.14211007367843445,0.6
Walker2d-v4,vanilla,25,actuator_gain,3.031639604364993,0.6027220477571154,0.04753209020291388,0.4
Walker2d-v4,vanilla,26,actuator_gain,0.9361016051590977,0.6351728941480291,0.23557254349004922,0.4
Walker2d-v4,vanilla,27,actuator_gain,0.6898022030784403,0.46902357206384765,0.06426337086917548,0.6
Walker2d-v4,vanilla,28,actuator_gain,1.099939858555405,0.6298760938638165,0.04858740669628267,0.4
Walker2d-v4,vanilla,29,actuator_gain,0.6020717761893082,0.5102169276573275,0.2651950616228745,0.4666666666666667
Walker2d-v4,vanilla,30,actuator_gain,3.8516298984548767,0.6785252872674065,0.2658436063403114,0.4
Walker2d-v4,vanilla,1,actuator_gain,3.6137209151478653,0.6694892444423864,0.05124267100158453,0.4
Walker2d-v4,vanilla,2,actuator_gain,2.1228781430305688,0.5426343869325753,0.011501228081222675,0.4666666666666667
Walker2d-v4,vanilla,3,actuator_gain,2.745826743884179,0.6980219809025703,0.308800291705871,0.3333333333333333
Walker2d-v4,vanilla,4,actuator_gain,0.49489015143370935,0.4589742355126578,0.14680891769834006,0.6
