version,model_label,axis,delta_reliability_auc_vs_vanilla,delta_cvar20_vs_vanilla,delta_catastrophe_prob_t0p50_vs_vanilla
Walker2d-v4,tvc300,action_noise,0.010242402140206774,0.01870664610940187,-0.0066666666666666645
Walker2d-v4,tvc300,action_replace,0.015782499265320715,0.013213606128854916,-0.013333333333333197
Walker2d-v4,tvc300,actuator_gain,0.0026391030946927296,0.011932473074894728,0.028888888888888964
Walker2d-v4,tvc300,damping,0.024743506672028737,-0.06236783980185967,-0.013333333333333334
Walker2d-v4,tvc300,foot_left_actuator_gain,0.042958674506712535,-0.0007937284500955655,-0.07333333333333342
Walker2d-v4,tvc300,foot_left_damping,0.028928039349138124,-0.0349190789447118,-0.015555555555555555
Walker2d-v4,tvc300,foot_left_friction,0.0417056126254608,0.10543448924283261,-0.08666666666666667
Walker2d-v4,tvc300,foot_left_mass,0.027772988789113273,-0.012508769058070301,-0.01904761904761905
Walker2d-v4,tvc300,friction,0.007400852675014558,0.030593892775245157,-0.046666666666666745
Walker2d-v4,tvc300,friction_damping,0.007063097543633878,0.025349802305515146,-0.04444444444444445
Walker2d-v4,tvc300,friction_mass,0.01527885941723972,-0.006231001892174265,-0.03333333333333338
Walker2d-v4,tvc300,friction_mass_damping,0.01594871130874498,-0.006084447325256065,-0.030952380952380953
Walker2d-v4,tvc300,leg_left_actuator_gain,0.012496699961378144,0.13519898011596532,0.0
Walker2d-v4,tvc300,leg_left_damping,0.026978042543478464,-0.07267492707520584,-0.028888888888888888
Walker2d-v4,tvc300,leg_left_mass,0.02054834977015252,-0.03752010517636939,-0.016666666666666666
Walker2d-v4,tvc300,mass,0.010519123956535759,0.00041638400274054965,0.007142857142857284
Walker2d-v4,tvc300,mass_damping,0.00784978309305473,0.0006091506526719748,0.011904761904761807
Walker2d-v4,tvc300,thigh_left_actuator_gain,0.020529269242304693,0.0635000879375407,0.0
Walker2d-v4,tvc300,thigh_left_damping,0.02921499360903368,-0.07679845554349307,-0.024444444444444442
Walker2d-v4,tvc300,thigh_left_mass,0.021392059510129235,0.01430116400924386,-0.009523809523809521
Walker2d-v5,tvc400,action_noise,0.013526195755128256,0.0765156108617927,-0.006666666666666668
Walker2d-v5,tvc400,action_replace,0.02705080396075238,-0.00039187022114703374,-0.04000000000000015
Walker2d-v5,tvc400,actuator_gain,0.009803356187701617,-0.0008487605523351937,-0.011111111111111072
Walker2d-v5,tvc400,damping,0.0015117262792285757,0.012927930484888939,0.0
Walker2d-v5,tvc400,foot_left_actuator_gain,-0.013190864154292048,-0.012675819870183402,0.024444444444444546
Walker2d-v5,tvc400,foot_left_damping,0.0016424597813375907,0.01448412456229764,0.0
Walker2d-v5,tvc400,foot_left_friction,0.004233038939567946,0.022708988666697794,0.00888888888888889
Walker2d-v5,tvc400,foot_left_mass,0.011579702520472468,0.043628562259424464,-0.019047619047619077
Walker2d-v5,tvc400,friction,0.01989998906310697,0.016224372228209438,-0.01777777777777778
Walker2d-v5,tvc400,friction_damping,0.018557029564431837,0.018366976519945677,-0.01333333333333342
Walker2d-v5,tvc400,friction_mass,0.00812190759284609,0.0016656731574911376,0.004761904761904856
Walker2d-v5,tvc400,friction_mass_damping,0.008982344105259665,-0.0027445591205126074,0.004761904761904745
Walker2d-v5,tvc400,leg_left_actuator_gain,-0.00048181854847828554,-0.021192803690018636,0.017777777777777753
Walker2d-v5,tvc400,leg_left_damping,0.002096670169422943,0.015576590548274871,0.0
Walker2d-v5,tvc400,leg_left_mass,-0.0008837948315284505,0.005223030159872133,-0.004761904761904759
Walker2d-v5,tvc400,mass,0.003328496385881896,-0.0017303851490870423,0.0071428571428572285
Walker2d-v5,tvc400,mass_damping,0.002469781989037856,-0.002044842078158547,0.011904761904761973
Walker2d-v5,tvc400,thigh_left_actuator_gain,0.026754491097749078,0.018100997357098275,-0.024444444444444463
Walker2d-v5,tvc400,thigh_left_damping,0.002778500517594762,0.016331422314843302,0.0
Walker2d-v5,tvc400,thigh_left_mass,0.005461388487695951,0.026186524373433717,-0.007142857142857145
