version,model_label,n_model_seeds,n_vanilla_seeds,nominal_retention_median,delta_reliability_auc_vs_vanilla,delta_reliability_auc_vs_vanilla_ci95_low,delta_reliability_auc_vs_vanilla_ci95_high,delta_cvar20_vs_vanilla,delta_cvar20_vs_vanilla_ci95_low,delta_cvar20_vs_vanilla_ci95_high,delta_catastrophe_prob_t0p50_vs_vanilla,delta_catastrophe_prob_t0p50_vs_vanilla_ci95_low,delta_catastrophe_prob_t0p50_vs_vanilla_ci95_high
Walker2d-v4,tvc300,30,30,1.0705830682867061,0.019499633453668785,-0.040141308802258184,0.07954140697794844,0.005467916154383579,-0.18948497199092537,0.2009155928200727,-0.020746031746031762,-0.06700039682539688,0.020794444444444445
Walker2d-v5,tvc400,30,30,1.022379688808284,0.007662070243146135,-0.05498124581418763,0.06987692921225669,0.012315588140641376,-0.03308097014664978,0.05777169596688294,-0.0032301587301586943,-0.0770878968253969,0.0715597222222222
