model_label,radius,n_seeds,paired_nominal_retention__median,paired_nominal_retention__min,paired_nominal_retention__max,paired_training_auc_retention__median,paired_training_auc_retention__min,paired_training_auc_retention__max,paired_q_loss_ratio__median,paired_q_loss_ratio__min,paired_q_loss_ratio__max,final__eval/episodic_return__median,final__eval/episodic_return__min,final__eval/episodic_return__max,training_return_auc__median,training_return_auc__min,training_return_auc__max,final__losses/qf_loss__median,final__losses/qf_loss__min,final__losses/qf_loss__max,final__kl_physical/effective_beta_median__median,final__kl_physical/effective_beta_median__min,final__kl_physical/effective_beta_median__max,final__kl_physical/worst_case_saturation_fraction__median,final__kl_physical/worst_case_saturation_fraction__min,final__kl_physical/worst_case_saturation_fraction__max,final__kl_physical/joint_return_std_across_dynamics__median,final__kl_physical/joint_return_std_across_dynamics__min,final__kl_physical/joint_return_std_across_dynamics__max,final__kl_physical/pessimism_gap_mean__median,final__kl_physical/pessimism_gap_mean__min,final__kl_physical/pessimism_gap_mean__max,final__kl_physical/pessimism_gap_p95__median,final__kl_physical/pessimism_gap_p95__min,final__kl_physical/pessimism_gap_p95__max,final__kl_physical/implicit_kl_radius_mean__median,final__kl_physical/implicit_kl_radius_mean__min,final__kl_physical/implicit_kl_radius_mean__max,final__kl_physical/worst_member_adversarial_weight_mean__median,final__kl_physical/worst_member_adversarial_weight_mean__min,final__kl_physical/worst_member_adversarial_weight_mean__max,final__kl_physical/effective_num_dynamics_mean__median,final__kl_physical/effective_num_dynamics_mean__min,final__kl_physical/effective_num_dynamics_mean__max,numerically_finite,promotion_gate
vanilla,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3920.462890625,3105.150390625,4821.61328125,2400.824796827905,1324.3843366279445,2975.7010843530297,17.64699935913086,8.479721069335938,41.13376235961914,,,,,,,,,,,,,,,,,,,,,,,,,False,False
klprho0,0.0,30,1.0360463568234977,0.8137144210678966,1.4772910682038474,1.0506611769247474,0.4515623759197762,1.8314480852581516,1.1477266194151974,0.5219313151182388,2.9645924139296125,4182.05419921875,3401.419677734375,5565.427490234375,2628.209580606847,1107.625787282231,3821.9518199198774,16.812345504760742,10.998743057250977,45.46442794799805,,,,0.0,0.0,0.0,0.6399482488632202,0.49817436933517456,0.8992918133735657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,5.000000476837158,5.000000476837158,5.000000476837158,False,False
klprho0p05,0.05,30,0.9889255029916091,0.002774079315242352,1.2576795215484355,0.9767695552009916,0.36535090159651357,2.0159471056876024,0.9615231273690817,0.3707892878854565,2.440726708605046,4021.6889038085938,10.290245056152344,5368.583251953125,2445.2577830164346,1038.4278633421418,3806.928909089078,16.882627487182617,6.271782875061035,37.99394989013672,0.8749822974205017,0.5803217887878418,1.2839207649230957,0.0,0.0,0.0,0.5917319655418396,0.4087466299533844,0.7833044528961182,0.18612463027238846,0.12853476405143738,0.24573905766010284,0.6749978065490723,0.488861083984375,0.8656005859375,0.049999963492155075,0.049999963492155075,0.049999963492155075,0.2856522500514984,0.2846278250217438,0.287109911441803,4.756147384643555,4.756147384643555,4.756147384643555,True,True
