model_label,auc
tv_a4000,4916.23034277993
vanilla,4686.546713992569
tv_a3900,4343.9034159064895
tv_p95,4204.362452983267
tv_a4100,4115.193303075264
tv_a4200,3936.3399241909915
tv_a3800,3715.756208276979
