model_label,damping_scale,mean_return,std_return,n,ci95
tv_a3800,0.5,2549.6352420338817,614.6823209901547,5,538.7928100861221
tv_a3800,0.6,2514.951286310765,616.5430562008993,5,540.423816410508
tv_a3800,0.7,2435.5362505356707,565.0484574871624,5,495.2868105168964
tv_a3800,0.8,2582.260579095216,705.6601441939458,5,618.5383881605468
tv_a3800,0.9,2492.406192473516,605.0545783910649,5,530.3537216129193
tv_a3800,1.0,2486.4680013063553,654.8848616737233,5,574.0318907100929
tv_a3800,1.1,2536.49386964723,689.2872222010968,5,604.1868892665526
tv_a3800,1.3,2475.471184911682,618.1173255239248,5,541.8037243132098
tv_a3800,1.5,2451.2250013587754,683.7378183425894,5,599.3226223157615
tv_a3800,1.7,2480.860888898803,581.4792941753267,5,509.6890738795741
tv_a3800,2.0,2340.557835181705,513.6581231294425,5,450.24119636085703
tv_a3900,0.5,2962.727268440722,1035.8100469904427,5,907.9275373243694
tv_a3900,0.6,2952.1736792869583,1066.540771836832,5,934.8642053080818
tv_a3900,0.7,2898.501339250746,1066.1886609430794,5,934.5555665016146
tv_a3900,0.8,2924.1172646281075,1038.97282515841,5,910.6998346210496
tv_a3900,0.9,2941.019415143371,956.2012298525348,5,838.1473324467141
tv_a3900,1.0,2871.364146626242,1002.9691249033289,5,879.1411999059895
tv_a3900,1.1,2871.384498072952,878.3717592103786,5,769.9267935393095
tv_a3900,1.3,2864.737129318119,944.3565288208929,5,827.7649942281882
tv_a3900,1.5,2922.8976634308574,1020.8436166005007,5,894.8088826772572
tv_a3900,1.7,2906.7509254256083,980.0646319484537,5,859.0645266369813
tv_a3900,2.0,2814.1806891584756,1046.409033126835,5,917.2179582938414
tv_a4000,0.5,3320.7498612128693,709.2096132252062,5,621.6496349434148
tv_a4000,0.6,3342.523542346056,782.0174804223504,5,685.4685443604548
tv_a4000,0.7,3347.4967943142847,778.4496697971638,5,682.3412204616594
tv_a4000,0.8,3291.3993193622096,709.0283688508883,5,621.4907672447413
tv_a4000,0.9,3230.631502351405,823.7050063269111,5,722.009271921116
tv_a4000,1.0,3329.834017087789,792.7636530563279,5,694.8879799834032
tv_a4000,1.1,3299.3246211296528,660.7602588655184,5,579.1819034162336
tv_a4000,1.3,3322.3555328612115,768.6826042418924,5,673.7800100329242
tv_a4000,1.5,3213.95546783677,710.1638760205492,5,622.4860831630988
tv_a4000,1.7,3177.6073447916306,781.7355688947374,5,685.2214380114164
tv_a4000,2.0,3329.610684441067,668.9348944360072,5,586.3472874203787
tv_a4100,0.5,2777.2417774309292,528.9036170596412,5,463.604460986023
tv_a4100,0.6,2834.08619222065,600.152445436653,5,526.0568126247631
tv_a4100,0.7,2799.2528306150075,670.9834508898659,5,588.1429263231157
tv_a4100,0.8,2745.2433028781456,508.9537104407262,5,446.1175968269136
tv_a4100,0.9,2807.9950400650378,669.778923402483,5,587.0871114288341
tv_a4100,1.0,2865.7150370340446,469.764920962046,5,411.7671083126527
tv_a4100,1.1,2774.869016759325,623.5499067995295,5,546.5655917552232
