env_id,model_label,seed,axis,nominal_normalized_return,nominal_competent,nominal_failure,deployment_failure,reliability_auc
Walker2d-v5,vanilla,6,friction,1.001367350002122,True,0.0,0.4,0.5981081543554472
Walker2d-v5,vanilla,7,friction,0.9545799865306925,True,0.0,0.4,0.6105642207753975
Walker2d-v5,vanilla,8,friction,0.7650523431046979,True,0.0,0.3333333333333333,0.5583159449234375
Walker2d-v5,vanilla,9,friction,0.9300775753041176,True,0.0,0.26666666666666666,0.6871794387210106
Walker2d-v5,vanilla,10,friction,1.130827220815627,True,0.0,0.3333333333333333,0.7138078603573449
Walker2d-v5,vanilla,11,friction,1.0523390527826393,True,0.0,0.4,0.6453245030851079
Walker2d-v5,vanilla,12,friction,0.9779582405620568,True,0.0,0.3333333333333333,0.671228683534579
Walker2d-v5,vanilla,13,friction,1.0557048044352382,True,0.0,0.26666666666666666,0.7667158885587851
Walker2d-v5,vanilla,14,friction,1.0075217086725545,True,0.0,0.3333333333333333,0.6714512863863825
Walker2d-v5,vanilla,15,friction,0.9011559084304668,True,0.0,0.3333333333333333,0.64001943222107
Walker2d-v5,vanilla,16,friction,0.9532369291456481,True,0.0,0.4,0.6143153718225793
Walker2d-v5,vanilla,17,friction,0.9331314355769768,True,0.0,0.2,0.7383591414113693
Walker2d-v5,vanilla,18,friction,1.2175187073722284,True,0.0,0.26666666666666666,0.7073468227226003
Walker2d-v5,vanilla,19,friction,0.8840995330125787,True,0.0,0.4,0.5851816884361646
Walker2d-v5,vanilla,20,friction,1.0522249037830245,True,0.0,0.26666666666666666,0.7001877027472048
Walker2d-v5,vanilla,21,friction,0.9986326499978779,True,0.0,0.2,0.7602679240342155
Walker2d-v5,vanilla,22,friction,1.0699044311219812,True,0.0,0.26666666666666666,0.6495939639897041
Walker2d-v5,vanilla,23,friction,0.9862504359636118,True,0.0,0.13333333333333333,0.7716055838145944
Walker2d-v5,vanilla,24,friction,0.8611550681660697,True,0.0,0.2,0.6291286468990892
Walker2d-v5,vanilla,25,friction,1.2184545655843149,True,0.0,0.2,0.7613611789067851
Walker2d-v5,vanilla,26,friction,1.1231674440545558,True,0.0,0.4,0.6139521088282807
Walker2d-v5,vanilla,27,friction,0.8781415705921685,True,0.0,0.4,0.6015971860916409
Walker2d-v5,vanilla,28,friction,1.2219795673765916,True,0.0,0.26666666666666666,0.7558770737784094
Walker2d-v5,vanilla,29,friction,1.045159747810223,True,0.0,0.2,0.783132478150513
Walker2d-v5,vanilla,30,friction,1.030972526065455,True,0.0,0.4666666666666667,0.5677208866586255
