model_label,seed,cap,event_path,final__charts/episodic_return,max__charts/episodic_return,mean__charts/episodic_return,first_step__charts/episodic_return__ge_0p01,final__charts/episodic_length,max__charts/episodic_length,mean__charts/episodic_length,first_step__charts/episodic_length__ge_0p01,final__eval/episodic_return,max__eval/episodic_return,mean__eval/episodic_return,first_step__eval/episodic_return__ge_0p01,final__losses/qf1_values,max__losses/qf1_values,mean__losses/qf1_values,first_step__losses/qf1_values__ge_0p01,final__losses/qf2_values,max__losses/qf2_values,mean__losses/qf2_values,first_step__losses/qf2_values__ge_0p01,final__losses/qf_loss,max__losses/qf_loss,mean__losses/qf_loss,first_step__losses/qf_loss__ge_0p01,final__losses/actor_loss,max__losses/actor_loss,mean__losses/actor_loss,first_step__losses/actor_loss__ge_0p01,final__targets/min_q_next_mean_pre_clip,max__targets/min_q_next_mean_pre_clip,mean__targets/min_q_next_mean_pre_clip,first_step__targets/min_q_next_mean_pre_clip__ge_0p01,final__targets/min_q_next_p95_pre_clip,max__targets/min_q_next_p95_pre_clip,mean__targets/min_q_next_p95_pre_clip,first_step__targets/min_q_next_p95_pre_clip__ge_0p01,final__targets/min_q_next_p99_pre_clip,max__targets/min_q_next_p99_pre_clip,mean__targets/min_q_next_p99_pre_clip,first_step__targets/min_q_next_p99_pre_clip__ge_0p01,final__targets/min_q_next_mean_post_clip,max__targets/min_q_next_mean_post_clip,mean__targets/min_q_next_mean_post_clip,first_step__targets/min_q_next_mean_post_clip__ge_0p01,final__targets/td_target_mean,max__targets/td_target_mean,mean__targets/td_target_mean,first_step__targets/td_target_mean__ge_0p01,final__robust/td3_q_target_clip_fraction,max__robust/td3_q_target_clip_fraction,mean__robust/td3_q_target_clip_fraction,first_step__robust/td3_q_target_clip_fraction__ge_0p01,final__robust/td3_q_target_excess_mean,max__robust/td3_q_target_excess_mean,mean__robust/td3_q_target_excess_mean,first_step__robust/td3_q_target_excess_mean__ge_0p01,final__charts/SPS,max__charts/SPS,mean__charts/SPS,first_step__charts/SPS__ge_0p01,max_step,training_return_auc,final_q_p95_over_cap,cap_active_final,cap_active_ever
tvc100,1,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__1__1784796862/events.out.tfevents.1784796866.linux57.312932.0,609.6138305664062,1246.6585693359375,354.9263148359428,16.0,284.0,1000.0,185.8024530756365,16.0,683.6537170410156,996.5184936523438,706.5268005371094,0.0,93.34423065185547,97.85254669189453,89.0679985489511,25300.0,93.377685546875,97.84333801269531,89.06772036487209,25300.0,2.4157803058624268,39.650779724121094,4.140523007163829,25100.0,-93.89996337890625,-0.4543216824531555,-90.19257019171776,,93.47242736816406,97.82498931884766,89.50981431534875,25400.0,102.03153991699219,102.61566162109375,100.2343658196497,25100.0,102.94688415527344,106.11060333251953,101.45305012032757,25100.0,92.88055419921875,97.23463439941406,89.09478171854346,25400.0,93.36194610595703,98.04441833496094,89.06680671730929,25300.0,0.734375,0.828125,0.5318522252282285,49500.0,0.6011651754379272,0.7499680519104004,0.4150325865063964,49700.0,51.0,2357.0,59.04923581905837,25100.0,999900,452.2875470924072,1.0203153991699219,1.0,1.0
tvc100,2,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__2__1784797281/events.out.tfevents.1784797284.compsci-cluster-fitz-02.3267297.0,550.4214782714844,1417.2806396484375,381.7304868437649,13.0,234.0,1000.0,200.16836836836836,13.0,509.7964782714844,664.846435546875,516.8407806396484,0.0,93.74311828613281,97.53621673583984,89.88400997335647,25400.0,93.76762390136719,97.4855728149414,89.8850207268024,25400.0,3.3226544857025146,37.836692810058594,4.774485261665468,25100.0,-94.5148696899414,-0.26639217138290405,-91.23104608972349,,93.78744506835938,97.69440460205078,90.31117571893678,25500.0,102.04041290283203,102.593505859375,100.2662210178942,25100.0,102.85456848144531,107.79582214355469,101.4270766051684,25100.0,93.22860717773438,97.04661560058594,89.89901513292703,25500.0,93.74491119384766,97.550537109375,89.88715586284131,25400.0,0.62890625,0.765625,0.49471981100625706,53100.0,0.5677316188812256,0.7346034049987793,0.41216056752735586,49000.0,43.0,2359.0,50.20196943276233,25100.0,999900,516.7198698635285,1.0204041290283203,1.0,1.0
tvc100,3,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__3__1784797281/events.out.tfevents.1784797284.compsci-cluster-fitz-02.3267290.0,632.8381652832031,1647.805908203125,403.1948475270347,27.0,278.5,1000.0,196.17049244653717,27.0,646.6188659667969,832.4729614257812,639.4654602050781,0.0,94.21016693115234,97.99185180664062,90.95018580793747,25400.0,94.2077407836914,97.97452545166016,90.94835457934629,25400.0,3.4525840282440186,43.08534240722656,4.873900656553889,25100.0,-94.88098907470703,-0.30421799421310425,-92.19089798828139,,94.33807373046875,98.42298889160156,91.39258371272528,25400.0,102.49948120117188,103.1540756225586,100.82307238634556,25100.0,103.36778259277344,105.85971069335938,101.97736166985582,25100.0,93.63056945800781,97.654541015625,90.82604031400894,25400.0,94.1850814819336,97.86441802978516,90.94684829413188,25400.0,0.7265625,0.82421875,0.5484669100676992,50800.0,0.7341886758804321,0.9484122395515442,0.5665433687642362,51000.0,46.0,2273.0,52.90747769001949,25100.0,999900,523.170506666104,1.0249948120117187,1.0,1.0
tvc100,4,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__4__1784797365/events.out.tfevents.1784797367.compsci-cluster-fitz-12.1081036.0,526.7555541992188,1484.6785888671875,400.3018417668421,21.0,225.0,1000.0,200.34441995592067,21.0,516.0540771484375,541.810791015625,514.4188568115235,0.0,95.57228088378906,98.6973876953125,92.15332550496736,25300.0,95.57412719726562,98.8271484375,92.15874371262673,25200.0,2.187572956085205,49.49346160888672,4.082537188401897,25100.0,-96.228515625,-0.40911540389060974,-93.38581067744018,,95.776611328125,99.15914916992188,92.62093558291531,25400.0,102.227783203125,103.80755615234375,100.89980922172725,25100.0,103.05754089355469,106.41511535644531,101.97315293440899,25100.0,95.08432006835938,98.48037719726562,92.04444972260546,25400.0,95.586181640625,99.02090454101562,92.15391183427221,25300.0,0.71484375,0.828125,0.5949043651913016,46800.0,0.6984723806381226,0.9140580296516418,0.5764858778996007,47500.0,47.0,2647.0,55.480151810442095,25100.0,999918,524.6398065330891,1.02227783203125,1.0,1.0
tvc100,5,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__5__1784797460/events.out.tfevents.1784797463.compsci-cluster-fitz-20.1395968.0,684.8540649414062,1751.9439697265625,410.01085154829747,26.0,321.0,1000.0,204.3646216768916,26.0,946.8932800292969,1384.5286865234375,910.9766967773437,0.0,93.89549255371094,97.92422485351562,88.78909772994999,25100.0,93.88752746582031,97.68167877197266,88.7909422992788,25100.0,5.227522850036621,49.62792205810547,6.552960300192364,25100.0,-94.71678161621094,-0.4120614230632782,-90.16872495870454,,93.96298217773438,97.66093444824219,89.2441109737905,25200.0,102.40164184570312,103.15179443359375,100.33152928730746,25100.0,103.60114288330078,106.65862274169922,101.65820151785726,25100.0,93.27799987792969,96.96123504638672,88.75788134929026,25200.0,93.92273712158203,97.63412475585938,88.79739992752066,25100.0,0.6796875,0.78515625,0.48491471881731457,61300.0,0.6858785152435303,0.8799012899398804,0.4862296246867239,52100.0,45.0,2650.0,54.08216227305365,25100.0,999900,549.4448226919541,1.0240164184570313,1.0,1.0
tvc100,6,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__6__1784797546/events.out.tfevents.1784797549.compsci-cluster-fitz-22.436899.0,592.5804443359375,1552.0025634765625,398.7832397838674,17.0,256.0,1000.0,183.5486417033774,17.0,623.3812255859375,1166.846923828125,729.5481689453125,0.0,93.340087890625,97.78524780273438,90.11551167186285,25200.0,93.34538269042969,97.83690643310547,90.11774515450125,25200.0,4.292184829711914,40.134971618652344,5.345461180823967,25100.0,-94.03169250488281,-0.33034729957580566,-91.41690320154376,,93.37781524658203,97.97660064697266,90.54124988539088,25400.0,102.80177307128906,103.71878814697266,101.0532851840841,25100.0,103.8506088256836,106.5051040649414,102.38513991083227,25100.0,92.58844757080078,97.15438842773438,89.90498696686714,25400.0,93.31303405761719,97.80850982666016,90.11239605987171,25200.0,0.7109375,0.80859375,0.5471250256436557,52000.0,0.7982292771339417,1.0682945251464844,0.6362630029570349,52000.0,46.0,2304.0,53.221561185762646,25100.0,999972,493.20620273053646,1.0280177307128906,1.0,1.0
tvc100,7,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__7__1784797761/events.out.tfevents.1784797764.compsci-cluster-fitz-23.1017546.0,519.1174621582031,2121.909423828125,394.61674786482877,59.0,226.0,1000.0,203.74220501324638,11.0,604.2942810058594,672.5453491210938,559.817007446289,0.0,94.114990234375,98.1711654663086,90.83785026787517,25100.0,94.10316467285156,98.23846435546875,90.83744663074926,25100.0,3.331132411956787,45.00248718261719,4.662687402625156,25100.0,-94.82538604736328,-0.5818972587585449,-92.06010887206841,,94.31411743164062,97.85707092285156,91.30006825619523,25100.0,102.19027709960938,102.84425354003906,100.23606513600335,25100.0,103.1159439086914,105.50894165039062,101.41205339126556,25100.0,93.67254638671875,97.15633392333984,90.85117939670708,25100.0,94.11857604980469,98.03352355957031,90.83989429351139,25100.0,0.72265625,0.8125,0.5395621506051903,52100.0,0.6276397705078125,0.7967380285263062,0.4488888558197882,44000.0,46.0,2265.0,53.42722330495435,25100.0,999900,535.7622455606858,1.0219027709960937,1.0,1.0
tvc100,8,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__8__1784797821/events.out.tfevents.1784797824.compsci-cluster-fitz-14.1584363.0,556.8375244140625,1531.95166015625,385.89443163926086,51.0,238.0,1000.0,196.4869325997249,13.0,612.8394165039062,704.3008422851562,618.7036071777344,0.0,93.71670532226562,97.66656494140625,90.03383564388561,25100.0,93.72526550292969,97.74925231933594,90.03693499669382,25100.0,3.1812973022460938,44.278472900390625,5.087554754488914,25100.0,-94.45276641845703,-0.4155019223690033,-91.28643794294345,,93.84783935546875,97.52278137207031,90.47435346689302,25200.0,102.07949829101562,102.76522064208984,100.41458496920316,25100.0,102.98345947265625,107.16291809082031,101.6748032628854,25100.0,93.21659851074219,96.7994155883789,90.00853596386337,25200.0,93.72480773925781,97.64561462402344,90.04055084486421,25100.0,0.6015625,0.78515625,0.5207921966355523,49200.0,0.6247899532318115,0.805893063545227,0.46581748695003766,48800.0,45.0,2346.0,53.165042568468564,25100.0,999921,507.04772045597053,1.0207949829101564,1.0,1.0
tvc100,9,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__9__1784797851/events.out.tfevents.1784797854.compsci-cluster-fitz-15.1685403.0,711.5837707519531,1732.6248779296875,440.2687152819129,27.0,315.0,1000.0,224.06094555231905,27.0,662.1414184570312,903.5486450195312,696.139306640625,0.0,95.15703582763672,98.89752960205078,91.72293973007649,25300.0,95.16389465332031,98.97895050048828,91.72193540895242,25300.0,5.5277204513549805,123.41842651367188,6.307584405701207,25100.0,-95.96373748779297,-0.4145891070365906,-92.99721849556519,,95.21891784667969,98.73737335205078,92.1633718336881,25400.0,102.34239196777344,103.65762329101562,100.33558953569869,25100.0,104.13581848144531,107.2127914428711,102.04535171308876,25100.0,94.58123779296875,98.14720916748047,91.66280571954475,25400.0,95.16870880126953,98.87621307373047,91.72461192137291,25300.0,0.6640625,0.78515625,0.5640530439019387,53600.0,0.6469972133636475,0.8333415985107422,0.5005661106522921,47900.0,45.0,2372.0,52.567442814647656,25100.0,999983,585.6134852033395,1.0234239196777344,1.0,1.0
tvc100,10,100.0,/home/users/am1015/rl_runs_td3_tvcap_20260722_walker_v5_full30/Walker2d-v5__td3_tvcap_tvc100__10__1784797880/events.out.tfevents.1784797883.compsci-cluster-fitz-15.1685535.0,587.67626953125,1253.2061767578125,365.08630299104044,25.0,232.0,1000.0,188.89495560173813,25.0,411.18316650390625,990.1259155273438,476.62278442382814,0.0,92.75558471679688,96.74040985107422,88.15950968205861,25200.0,92.75253295898438,96.47137451171875,88.15938826805102,25200.0,4.124789237976074,65.46495819091797,4.959359782087716,25100.0,-93.62467956542969,-0.3737124800682068,-89.49904409717054,,92.9026870727539,96.64906311035156,88.63595396964442,25300.0,102.31216430664062,103.19476318359375,99.74405043034392,25100.0,103.50044250488281,106.49584197998047,101.0977942505113,25100.0,92.31243896484375,95.99320983886719,88.1943474623201,25300.0,92.76181030273438,96.47073364257812,88.16254175314981,25200.0,0.55859375,0.71484375,0.4730352952866961,59900.0,0.5936518907546997,0.7876365184783936,0.4416065652201219,60000.0,44.0,2612.0,52.77382295620063,25100.0,999900,474.7098530003658,1.0231216430664063,1.0,1.0
