model_label,auc
tv_a4000,4906.615334047797
vanilla,4693.778977284042
tv_a3900,4387.316437750609
tv_p95,4252.730274737839
tv_a4100,4155.6930973840745
tv_a4200,3967.978467202025
tv_a3800,3811.320330403348
