model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a1e9,friction_damping,0.5,friction_damping_0p5,5,1834.8473454008981,584.2750354874373,2352.4156761374675,857.0420020581536,2209.9270038177524,801.1095596951895,0.651737871518885,0.15105942186338653
a1e9,friction_damping,0.6,friction_damping_0p6,5,1443.880679732823,390.03120682066856,1883.61033763608,650.6924352912728,1757.1220530925286,522.2125161603224,0.5306507022739266,0.14261776734234596
a1e9,friction_damping,0.7,friction_damping_0p7,5,1213.7483878819903,457.2521652652767,1571.9663223520947,851.0901373155451,1523.1937311503182,633.7535515587248,0.4494062617765076,0.15438410450351892
a1e9,friction_damping,0.8,friction_damping_0p8,5,844.6380133006999,358.6277557403542,1223.4487163927556,539.8730772048311,1054.6442144503465,437.7494653392166,0.3134863981636535,0.13868560834324686
a1e9,friction_damping,0.9,friction_damping_0p9,5,159.89021572954675,507.56182974472466,-40.42391282797589,892.9228571174804,118.47629624436536,720.1951282051554,0.04477028891472483,0.2061184030807861
a1e9,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1e9,friction_damping,1.1,friction_damping_1p1,5,-300.8462971802013,624.3548483379592,-366.3482580512611,1098.636362885811,-354.6547254307085,805.1670015737639,-0.14061339731058903,0.22828854885113456
a1e9,friction_damping,1.3,friction_damping_1p3,5,9.884870014468834,1312.6356091903838,-155.9924641723269,1711.789880653752,-49.91183965326145,1550.2356158983728,-0.07090551418265616,0.44484228464115255
a1e9,friction_damping,1.5,friction_damping_1p5,5,1265.1414146840457,881.339229905068,1740.1487479551881,1144.0195569142343,1565.0743698895012,1024.4697077302208,0.41857528115095766,0.2236811182457182
a1e9,friction_damping,1.7,friction_damping_1p7,5,1867.3984423757634,694.6911276035609,2180.992554469315,1012.3375826658638,2072.0263073742476,888.343855317684,0.6544373539261998,0.11979727301638499
a1e9,friction_damping,2.0,friction_damping_2,5,2228.953278414673,705.0003968434864,2458.7609174137415,967.6407657174663,2367.245430058547,867.1967159586643,0.7867858222840971,0.09997867370583845
a1e9,friction_mass,0.5,friction_mass_0p5,5,1366.8749555672034,920.7615238874096,1649.9251668259972,1264.3327740487566,1636.4269652389169,1108.5181273369076,0.45368687813255015,0.24386949287544604
a1e9,friction_mass,0.6,friction_mass_0p6,5,1080.5523812192516,797.3634128565152,1251.808113208639,1309.4438593572434,1271.1027467128195,1074.3672566161952,0.3542321507048739,0.21078612290462437
a1e9,friction_mass,0.7,friction_mass_0p7,5,325.81751036141645,910.6451369269096,471.2472949421273,1492.5808972878788,529.3886527623732,1262.3938557082092,0.0523899902058777,0.3092313188099904
a1e9,friction_mass,0.8,friction_mass_0p8,5,394.8051224217671,787.0582095693203,753.8739385778179,1084.8661775422268,677.9715104220219,1075.3764494357292,0.08058509588168351,0.29644215781891115
