env_id,axis,stress_factor,best_model_by_reliability_auc_0_to_1x_nominal,best_reliability_auc_0_to_1x_nominal,vanilla_reliability_auc_0_to_1x_nominal,best_minus_vanilla_reliability_auc
Walker2d-v4,action_noise,0.5,vanilla,0.7529666666666667,0.7529666666666667,0.0
Walker2d-v4,action_replace,0.5,tvc100,0.3102666666666667,0.22146666666666667,0.08880000000000002
Walker2d-v4,actuator_gain,0.5,tvc100,0.45580000000000004,0.453,0.0028000000000000247
Walker2d-v4,damping,0.5,tvc300,0.9184000000000001,0.8814666666666666,0.036933333333333485
Walker2d-v4,foot_left_actuator_gain,0.5,tvc300,0.6659333333333334,0.6060333333333333,0.059900000000000064
Walker2d-v4,foot_left_damping,0.5,tvc300,0.9170333333333334,0.8766666666666666,0.04036666666666677
Walker2d-v4,foot_left_friction,0.5,tvc300,0.8939666666666667,0.8644000000000001,0.02956666666666663
Walker2d-v4,foot_left_mass,0.5,tvc300,0.8895000000000001,0.8727333333333334,0.016766666666666707
Walker2d-v4,friction,0.5,vanilla,0.8143,0.8143,0.0
Walker2d-v4,friction_damping,0.5,tvc300,0.8184333333333333,0.8083000000000001,0.010133333333333217
Walker2d-v4,friction_mass,0.5,tvc250,0.7906666666666669,0.7684333333333335,0.022233333333333327
Walker2d-v4,friction_mass_damping,0.5,tvc250,0.8112666666666668,0.7091666666666667,0.10210000000000008
Walker2d-v4,leg_left_actuator_gain,0.5,tvc300,0.9275333333333333,0.9087333333333334,0.018799999999999928
Walker2d-v4,leg_left_damping,0.5,tvc300,0.9047666666666667,0.8778666666666667,0.026900000000000035
Walker2d-v4,leg_left_mass,0.5,tvc300,0.8901,0.8591666666666666,0.030933333333333368
Walker2d-v4,mass,0.5,tvc250,0.8028333333333335,0.7726666666666668,0.030166666666666675
Walker2d-v4,mass_damping,0.5,tvc250,0.8042666666666668,0.7388333333333332,0.06543333333333357
Walker2d-v4,thigh_left_actuator_gain,0.5,tvc300,0.8905333333333333,0.8888333333333334,0.0016999999999999238
Walker2d-v4,thigh_left_damping,0.5,tvc300,0.9118333333333334,0.8754,0.03643333333333343
Walker2d-v4,thigh_left_mass,0.5,tvc300,0.9252666666666667,0.9003333333333334,0.024933333333333252
