env_id,axis,stress_factor,best_model_by_median_return,best_median_return,vanilla_median_return,best_minus_vanilla_median
Walker2d-v4,action_noise,0.5,vanilla,586.334132844084,586.334132844084,0.0
Walker2d-v4,action_replace,0.5,tvc100,243.04635976846677,167.2835783304468,75.76278143801997
Walker2d-v4,actuator_gain,0.5,tvc100,351.4979540909795,347.6724178309637,3.825536260015781
Walker2d-v4,damping,0.5,tvc300,877.0726969908947,755.7062493517597,121.366447639135
Walker2d-v4,foot_left_actuator_gain,0.5,tvc300,516.1861785383657,469.8018630487104,46.38431548965525
Walker2d-v4,foot_left_damping,0.5,tvc300,840.8103566369463,767.8210943403155,72.98926229663073
Walker2d-v4,foot_left_friction,0.5,vanilla,908.4128198347944,908.4128198347944,0.0
Walker2d-v4,foot_left_mass,0.5,tvc300,762.2109858419433,758.6227423193604,3.588243522582843
Walker2d-v4,friction,0.5,vanilla,752.4288840038341,752.4288840038341,0.0
Walker2d-v4,friction_damping,0.5,vanilla,727.0265835257653,727.0265835257653,0.0
Walker2d-v4,friction_mass,0.5,tvc250,680.6746059725234,658.5455543358804,22.129051636643
Walker2d-v4,friction_mass_damping,0.5,tvc250,742.7280763627577,579.7490691752445,162.97900718751328
Walker2d-v4,leg_left_actuator_gain,0.5,vanilla,937.525056311403,937.525056311403,0.0
Walker2d-v4,leg_left_damping,0.5,tvc300,813.9947834969789,808.5227346628981,5.4720488340808515
Walker2d-v4,leg_left_mass,0.5,tvc300,904.7194054889426,733.004954572957,171.7144509159856
Walker2d-v4,mass,0.5,tvc250,676.3193839514895,644.3123491079944,32.00703484349515
Walker2d-v4,mass_damping,0.5,tvc250,706.8567063169514,631.2722940759379,75.58441224101352
Walker2d-v4,thigh_left_actuator_gain,0.5,tvc300,763.4787757007198,734.4172465266699,29.061529174049838
Walker2d-v4,thigh_left_damping,0.5,tvc300,823.4362872589592,773.450915660554,49.98537159840521
Walker2d-v4,thigh_left_mass,0.5,vanilla,949.7808612631679,949.7808612631679,0.0
