seed,vanilla_nominal,best_menu_model,best_menu_gain,fixed_gain,group
1,2908.3041134287378,tvc225,146.7352344266542,63.42319382684536,elite vanilla
2,1687.2436141852252,tvc250,788.5479573027435,788.5479573027435,elite vanilla
3,2207.0773238188817,tvc250,453.3732670668744,453.3732670668744,elite vanilla
4,390.4274966104551,tvc275,782.987518286043,158.7231814973145,weak vanilla
5,437.8715660281883,tvc250,189.39961517834803,189.39961517834803,weak vanilla
6,1401.3375589252494,tvc275,-69.64181390235342,-460.2694779107205,elite vanilla
7,1303.982116632303,tvc275,45.417806779415514,-199.39785397187586,elite vanilla
8,642.7241912682885,tvc200,250.21128689754994,-80.64671001325269,weak vanilla
9,750.8504735190833,tvc300,141.7848896059407,-64.9588216820564,middle
10,702.1760420036675,tvc225,-117.96721161123446,-265.3033815261547,middle
11,643.4786151909269,tvc225,63.62195399446938,-41.402355035007645,weak vanilla
12,2910.8832886946093,tvc275,171.7236210148758,42.241738541541054,elite vanilla
13,442.08552868687025,tvc250,189.53034982767537,189.53034982767537,weak vanilla
14,534.2200581548112,tvc250,249.3894653203439,249.3894653203439,weak vanilla
15,3407.035568488341,tvc300,-13.732433452054465,-1044.5157605382228,elite vanilla
16,654.8019013452937,tvc225,124.90437244114861,48.40751822898869,weak vanilla
17,1066.871992210077,tvc300,86.11455941630481,-263.29392820820954,middle
18,892.3219855533981,tvc300,77.74621899141994,-152.65516503757516,middle
19,2370.6055331340117,tvc300,-402.5404201336901,-440.8114156193909,elite vanilla
20,740.4842349660817,tvc300,1336.7484024790365,480.1263352452967,middle
21,766.8809879756041,tvc250,364.65436364474454,364.65436364474454,middle
22,916.6643123604798,tvc300,-3.0146531500565743,-128.25236426934538,middle
23,595.5801113925776,tvc250,306.12885941117685,306.12885941117685,weak vanilla
24,809.3547181639182,tvc250,748.5355433633176,748.5355433633176,middle
25,2394.978601438172,tvc300,-199.29980035677954,-382.92855810245294,elite vanilla
26,736.7233039007366,tvc300,-13.06388708136376,-160.22475662378378,middle
27,543.5540962968497,tvc275,111.91352855223022,79.21213169267986,weak vanilla
28,869.745752601541,tvc300,-5.720143795827653,-130.88062430807156,middle
29,475.9569356227842,tvc250,249.58337988307187,249.58337988307187,weak vanilla
30,3046.636560067674,tvc275,-734.9054846548918,-995.1774666785786,elite vanilla
