model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p40,gravity,0.5,gravity_0p5,5,1567.2559038157447,589.7853154776963,1654.0343427610605,576.1292724605552,1657.6457500608299,579.9882301904545,1285.5977828420018
a2p40,gravity,0.6,gravity_0p6,5,1593.9038631310912,570.2970909097619,1626.306445791688,570.4620874813548,1622.7345001780918,569.0908455288982,1319.255235681631
a2p40,gravity,0.7,gravity_0p7,5,1485.8134551616279,555.3893125395269,1582.3018602771192,551.0219812001369,1580.1169775635135,548.3690845874236,1265.5813030598922
a2p40,gravity,0.8,gravity_0p8,5,1339.496308016824,547.4714448514175,1492.7642080134128,489.38881458562065,1495.149903236567,495.2174412217567,1115.5729051156266
a2p40,gravity,0.9,gravity_0p9,5,1290.0193000380286,522.2955306042776,1457.122742255494,461.82855209501923,1455.2636190758271,465.4338837428399,1125.6346253293711
a2p40,gravity,1.0,gravity_1,5,1296.1893292984234,419.2919181610064,1397.565949782637,412.8084831344928,1394.9964698024646,409.4454837047526,1133.8825458543465
a2p40,gravity,1.1,gravity_1p1,5,1216.121483560422,430.8102782341676,1332.0218606805395,369.64192782296965,1327.622567843394,366.06752251462007,1081.0124456652932
a2p40,gravity,1.3,gravity_1p3,5,872.3639137404332,565.5350224784027,854.9883637180483,790.5888430458485,955.1481675303373,616.4098884051564,838.8051150653318
a2p40,gravity,1.5,gravity_1p5,5,668.6269284118281,474.98496533934883,692.1606188109824,746.3234823041454,781.5602825830699,506.8517614764447,603.2774888667553
a2p40,gravity,1.7,gravity_1p7,5,530.2814152105441,356.56649617286,758.0744783168832,379.18560562552705,703.5541448523041,367.6157743052963,487.7029702788991
a2p40,gravity,2.0,gravity_2,5,175.53829064050768,458.2642984823394,331.6977106548773,622.8425307452038,244.5288314356722,611.0461917100735,265.88798220339885
a2p40,mass,0.5,mass_0p5,5,881.9444902113717,189.89825653768602,963.4206038873535,180.7049706413148,938.4102071697456,210.966662433833,909.1519200923349
a2p40,mass,0.6,mass_0p6,5,1178.6713711144002,108.47811205485348,1143.703227415894,175.90876021198088,1166.919097562865,136.2826891772844,1183.5821659463854
a2p40,mass,0.7,mass_0p7,5,1544.274542804896,416.3860956506987,1600.7931779409269,460.1790882863316,1579.0033945375417,427.1459432594152,1366.5947180368828
a2p40,mass,0.8,mass_0p8,5,1686.1171521835731,492.9569749804178,1756.0681600282828,608.3274127864051,1740.1301143853302,576.2341070026969,1457.8697501045372
a2p40,mass,0.9,mass_0p9,5,1801.6108448005677,626.2347753006286,1894.893606465137,796.9061130916195,1870.7664611262585,738.4545217545337,1494.4257805895625
a2p40,mass,1.0,mass_1,5,1870.6472579364818,698.5144769572795,1903.674457790615,760.4339230866223,1901.2511719125862,754.9368369349653,1536.372024768263
a2p40,mass,1.1,mass_1p1,5,1808.2915488615658,691.1194933290946,1806.8846309754063,697.7523805440856,1809.4305016294043,698.6487838098236,1481.1751076060893
a2p40,mass,1.3,mass_1p3,5,1541.895903838049,564.1262397397312,1554.5732808677878,573.0446658123145,1549.4468472741123,567.9571132196461,1305.7201773440283
a2p40,mass,1.5,mass_1p5,5,1259.9067699536567,502.8610825850792,1335.343773282571,473.4428070089982,1333.9602812363596,474.2940534182488,1044.337216245918
a2p40,mass,1.7,mass_1p7,5,928.9626796508189,526.6372434026324,839.0349315402631,673.9169705398301,930.4210350921987,555.4630262424404,824.1768481726959
