percentile,n_seeds,shared_cap_median_across_seeds,shared_cap_tag,mean_seed_cap,std_seed_cap,ci95_seed_cap,min_seed_cap,max_seed_cap
75,5,4196.322998046875,4196p323,3924.6668701171875,770.1549400680746,675.0705692862006,2692.5028076171875,4746.817138671875
85,5,4267.100830078125,4267p101,4114.940224609375,584.0420236904993,511.93540534189157,3274.583154296875,4797.447216796875
90,5,4292.89404296875,4292p894,4218.707939453125,498.98400469025427,437.3787644356131,3600.14599609375,4833.107421875
95,5,4324.865234375,4324p865,4275.495454101563,479.244084585164,420.0759615712576,3727.263891601562,4891.36669921875
