kind,model_label,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95
group,tv,damping_0p5,5,3192.2468718063974,652.3845308615051,3462.0951018605374,889.8012818503963,3400.818732953696,873.3201425100979
group,tv,damping_0p6,5,3190.741262180463,652.1714005986561,3437.7906099648653,876.00767903585,3415.357848741615,825.7446226994151
group,tv,damping_0p7,5,3205.2783012827085,637.9968950396425,3350.8388126489544,869.1258177819057,3420.6836446073576,807.9462538162275
group,tv,damping_0p8,5,3120.5596781945446,780.5238600563869,3236.1375452876396,990.6226246971496,3238.3931925517772,968.7644351623471
group,tv,damping_0p9,5,3061.327628093179,753.9433240414176,3174.4823210115005,1026.0398968394209,3195.0330681958517,975.6070307320063
group,tv,damping_1p1,5,3190.3754185965886,685.647788371888,3406.9164312259622,922.5567333850887,3372.749435447996,873.5517814254264
group,tv,damping_1p3,5,3098.16203552307,703.9009821189244,3301.8894199527012,934.3078989830537,3272.8251878177557,874.8578646003714
group,tv,damping_1p5,5,2997.982559430896,707.0590065895326,3129.3886883650143,1060.11179549202,3150.9507284541082,984.5889977982199
group,tv,damping_1p7,5,3060.4265487912717,750.5312085146267,3171.083180564658,1025.8020274966736,3205.4202783626133,997.6699469378715
group,tv,damping_2p0,5,3094.3012188150315,677.7887832283209,3216.7544154521943,1006.6984820700633,3251.2445651516155,914.8077961023406
group,tv,nominal,5,3167.2072350524836,659.1703263204205,3388.6228083566484,868.0795111836043,3350.153765180689,858.4569095531399
group,vanilla,damping_0p5,5,3185.453485672382,674.0393472555525,3369.7770938010667,895.0020503009936,3382.7395719004926,847.6137104087038
group,vanilla,damping_0p6,5,3186.772327572316,571.3582201179624,3498.8707992888535,709.1109419757762,3416.1841501417825,691.8747203157974
group,vanilla,damping_0p7,5,3157.139667603026,721.5532933361508,3223.284323205503,962.9743156538519,3288.551368896581,922.5014525657833
group,vanilla,damping_0p8,5,3129.56633122085,697.4230604826704,3305.5689138031316,1014.2754285322852,3314.431812281716,960.618486492113
group,vanilla,damping_0p9,5,3169.502992833492,699.7150724099203,3316.924540034134,922.5376259060823,3326.3669259678513,900.7691048306633
group,vanilla,damping_1p1,5,3177.398708141539,688.9744224765984,3380.147897415381,929.2269985959969,3367.1545989437445,906.4791006096144
group,vanilla,damping_1p3,5,3056.423991446075,649.957868638633,3249.824208698214,937.6581824147365,3242.4659056838877,936.3151100496863
group,vanilla,damping_1p5,5,3147.456445628109,764.9604344541539,3286.335586426269,980.2207370847252,3281.6181282761872,916.5712304883541
group,vanilla,damping_1p7,5,3088.560614331211,773.6261356265597,3209.0910407802994,1002.5055982883512,3209.9489716460503,973.6075243350452
group,vanilla,damping_2p0,5,3098.019141696021,675.5519947945843,3197.3618010514256,981.6769573302329,3254.3255999355465,914.423978957271
group,vanilla,nominal,5,3046.226060275153,704.0543090791155,3339.2753699508585,959.6699008267024,3234.2415500485295,950.8440774881639
drop,tv,nominal->damping_0p5,5,-25.039636753913783,69.35159794806331,-73.47229350388834,176.79861856209675,-0.008170038603573952,0.0232617134585944
drop,vanilla,nominal->damping_0p5,5,-139.22742539722927,105.88903212109084,-30.5017238502086,124.61879879843877,-0.053469816826494876,0.052130059963336646
gain,vanilla_vs_tv,nominal->damping_0p5,5,-114.18778864331549,159.59009681740372,42.97056965367974,283.60847699629323,-85.6404779676747,171.1526177305721
drop,tv,nominal->damping_0p6,5,-23.534027127979243,40.66855251916943,-49.16780160821618,111.30419620328432,-0.008387213161174458,0.012556296404070954
drop,vanilla,nominal->damping_0p6,5,-140.54626729716296,238.84197478029174,-159.59542933799565,335.69217064162063,-0.06587397269570436,0.10845982188548636
gain,vanilla_vs_tv,nominal->damping_0p6,5,-117.01224016918373,220.29684060345613,-110.42762772977949,412.25083775213096,-75.51156636798653,52.95900993940244
drop,tv,nominal->damping_0p7,5,-38.071066230225185,107.84066687901083,37.78399570769443,137.68634402397745,-0.014839082932838485,0.039042926884543666
drop,vanilla,nominal->damping_0p7,5,-110.91360732787311,133.11450681279163,115.9910467453551,324.6393201400486,-0.03965540007938827,0.051464896062450326
gain,vanilla_vs_tv,nominal->damping_0p7,5,-72.84254109764792,104.2258829692279,78.20705103766068,207.86702554040195,-72.69728298900365,91.15807811906507
drop,tv,nominal->damping_0p8,5,46.64755685793889,181.53264488171544,152.4852630690094,146.28265441493483,0.023034160289154497,0.05745683621309311
drop,vanilla,nominal->damping_0p8,5,-83.3402709456966,116.66445146305821,33.70645614772707,209.36068232940315,-0.030807930716152974,0.04406729554300155
gain,vanilla_vs_tv,nominal->damping_0p8,5,-129.9878278036355,218.6518143166865,-118.77880692128232,159.31993567673922,-177.85940301883366,94.5599178730647
drop,tv,nominal->damping_0p9,5,105.8796069593046,101.12008230983892,214.140487345148,166.58857517856936,0.041154507553510494,0.03695235792944841
drop,vanilla,nominal->damping_0p9,5,-123.27693255833879,107.15887778678419,22.35082991672416,213.48147774706948,-0.04535973698037124,0.046252956696892514
gain,vanilla_vs_tv,nominal->damping_0p9,5,-229.15653951764338,163.57358567692194,-191.78965742842382,273.25955900914846,-222.5278594105201,159.1312197727066
drop,tv,nominal->damping_1p1,5,-23.168183544104885,61.29281053925972,-18.293622869313094,152.37892704293657,-0.005672845545583877,0.021674938685767586
drop,vanilla,nominal->damping_1p1,5,-131.17264786638594,78.68110735586545,-40.872527464522776,93.42732899584026,-0.046874987102086325,0.028151157832007716
gain,vanilla_vs_tv,nominal->damping_1p1,5,-108.00446432228105,125.82843125102544,-22.57890459520968,231.76259524170212,-116.75106679301712,156.43186917976107
drop,tv,nominal->damping_1p3,5,69.04519952941364,125.01994966632869,86.7333884039479,73.28122667565574,0.02516975874036175,0.04002117828619218
drop,vanilla,nominal->damping_1p3,5,-10.197931170921994,100.44150644295024,89.4511612526444,309.664690345261,-0.00994146170794604,0.04463584693424501
gain,vanilla_vs_tv,nominal->damping_1p3,5,-79.24313070033563,207.47431001112795,2.7177728486964954,308.74598149532886,-56.2407528355252,234.87015655762517
drop,tv,nominal->damping_1p5,5,169.22467562158735,87.3864201344755,259.2341199916348,241.11702225410102,0.05883754413957247,0.036859613999360955
drop,vanilla,nominal->damping_1p5,5,-101.23038535295605,175.4314539651176,52.93978352458962,189.33676488475106,-0.034698488933264215,0.05795371684199639
gain,vanilla_vs_tv,nominal->damping_1p5,5,-270.4550609745434,193.99067703849752,-206.29433646704518,299.3924890141545,-304.1910143051729,177.05936477625778
drop,tv,nominal->damping_1p7,5,106.78068626121213,117.14326645239117,217.539627791991,214.54268779211404,0.041707342276384944,0.049420954269715885
drop,vanilla,nominal->damping_1p7,5,-42.33455405605773,119.05110918208484,130.18432917055853,275.99917745214447,-0.010433939816691192,0.036622824492943316
gain,vanilla_vs_tv,nominal->damping_1p7,5,-149.11524031726987,101.49741589519543,-87.35529862143248,177.19408832455045,-133.33142984935026,67.36972623248911
drop,tv,nominal->damping_2p0,5,72.90601623745178,26.32309074073412,171.86839290445437,147.19173790133988,0.025218704672762403,0.011306622642753254
drop,vanilla,nominal->damping_2p0,5,-51.79308142086779,135.0622363023051,141.91356889943262,332.3886751604803,-0.023993482718126482,0.06115282160480894
gain,vanilla_vs_tv,nominal->damping_2p0,5,-124.69909765831957,136.5292789868439,-29.954824005021738,307.6995592114047,-107.31844765795267,16.75846410513904
