scenario_label,model_label,n_paired_seeds,mean_gain_over_vanilla,median_gain_over_vanilla,std_gain,ci95_gain,fraction_seeds_beating_vanilla
actuator_gain_0p5,a2p95,30,-2.807788617656248,-1.3835924552491576,82.51739623516426,29.528471012333004,0.5
actuator_gain_0p5,a3p00,30,18.47137456227307,18.140402082948142,77.3521693604734,27.68011831338494,0.6
actuator_gain_0p5,a3p05,30,-0.4255704607310292,-3.2911504075089226,75.59725146158235,27.052129008454035,0.5
actuator_gain_0p5,a3p10,30,10.363312927604472,10.38697475721014,79.2672900265739,28.36543544230775,0.6666666666666666
actuator_gain_0p5,a3p20,30,-0.5589924082432939,-6.74781804413476,67.19030836332901,24.043743057064567,0.4666666666666667
mass_0p5,a2p95,30,154.976132041307,125.26315953513924,1128.8686122320717,403.96044487431783,0.5666666666666667
mass_0p5,a3p00,30,-18.59070126134454,-51.97642708610533,938.6168701540614,335.87973332367426,0.4666666666666667
mass_0p5,a3p05,30,-96.44703373874817,24.115413401120634,1148.9792904421613,411.1569586478817,0.5666666666666667
mass_0p5,a3p10,30,57.284074291069075,24.195884295330075,983.2549238575351,351.8532556955337,0.5333333333333333
mass_0p5,a3p20,30,406.8086044944326,478.61281972460534,1152.6081867300509,412.4555425069547,0.6333333333333333
