scenario_label,model_label,n,mean_return,std_return,median_return,sem_return,ci95
actuator_gain_0p5,a2p95,30,310.1114683293773,56.943083282456435,325.19112058548063,10.396337069232233,20.376820655695177
actuator_gain_0p5,a3p00,30,331.3906315093066,53.34410439586284,332.7764100944696,9.739256429174855,19.088942601182715
actuator_gain_0p5,a3p05,30,312.4936864863026,53.61906440855346,331.29668456614905,9.789457029629041,19.18733577807292
actuator_gain_0p5,a3p10,30,323.28256987463806,53.38334079134242,336.52429473958557,9.746419982134643,19.1029831649839
actuator_gain_0p5,a3p20,30,312.36026453879026,43.35690332977165,323.1549359802542,7.91585132576226,15.515068598494029
actuator_gain_0p5,vanilla,30,312.91925694703355,54.178125749848505,327.4165426676976,9.89152719884784,19.387393309741764
mass_0p5,a2p95,30,1203.4932362577379,772.671073686135,986.8083141820232,141.0697921965441,276.4967927052265
mass_0p5,a3p00,30,1029.9264029550861,711.8436446326921,761.9181097521833,129.96427386067225,254.72997676691762
mass_0p5,a3p05,30,952.0700704776826,695.5571434248055,781.1299574102466,126.99077916254066,248.9019271585797
mass_0p5,a3p10,30,1105.8011785074998,691.4638196917194,1036.749977461026,126.24344391461321,247.43715007264188
mass_0p5,a3p20,30,1455.3257087108634,757.0588813254838,1318.1236984480188,138.21940888719803,270.9100414189081
mass_0p5,vanilla,30,1048.5171042164307,722.9240238549615,955.6939275726847,131.98726507592178,258.6950395488067
