env_id,axis,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,action_noise,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,action_noise,klprho0p05,klprho0p05_minus_klprho0,-0.07866666666666666,0.0,0.07866666666666666,0.004975124378109453,0.0,-0.16000000000000003,1.0,0.0,0.0
Walker2d-v5,action_noise,vanilla,vanilla_minus_klprho0,-0.015350000000000008,0.0008666666666666654,0.01621666666666667,0.4577114427860697,0.09950248756218906,-0.23333333333333334,1.0,0.01333333333333342,0.84
Walker2d-v5,action_replace,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,action_replace,klprho0p05,klprho0p05_minus_klprho0,-0.019491666666666668,0.0011166666666666668,0.020608333333333333,0.16417910447761194,0.14427860696517414,-0.050000000000000044,0.365,0.026666666666666727,0.065
Walker2d-v5,action_replace,vanilla,vanilla_minus_klprho0,-0.02503333333333333,0.0,0.02503333333333333,0.014925373134328358,0.0,-0.06333333333333335,0.125,0.0,0.0
Walker2d-v5,actuator_gain,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,actuator_gain,klprho0p05,klprho0p05_minus_klprho0,-0.050166666666666665,4.4444444444444216e-05,0.05021111111111111,0.009950248756218905,0.004975124378109453,-0.07555555555555554,0.8250000000000001,0.008888888888888835,0.08
Walker2d-v5,actuator_gain,vanilla,vanilla_minus_klprho0,-0.021716666666666662,0.0008333333333333346,0.02255,0.1691542288557214,0.13432835820895522,-0.07111111111111112,0.98,0.013333333333333364,0.63
Walker2d-v5,damping,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,damping,klprho0p05,klprho0p05_minus_klprho0,-0.10387222222222221,0.0,0.10387222222222221,0.004975124378109453,0.0,-0.27555555555555555,0.875,0.0,0.0
Walker2d-v5,damping,vanilla,vanilla_minus_klprho0,-0.006544444444444443,0.004855555555555553,0.011399999999999997,0.7910447761194029,0.24875621890547264,-0.19111111111111112,0.995,0.033333333333333326,0.71
Walker2d-v5,foot_left_actuator_gain,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,foot_left_actuator_gain,klprho0p05,klprho0p05_minus_klprho0,-0.04742777777777778,0.0007888888888888893,0.04821666666666667,0.12437810945273632,0.0945273631840796,-0.14666666666666667,0.835,0.020000000000000018,0.11
Walker2d-v5,foot_left_actuator_gain,vanilla,vanilla_minus_klprho0,-0.053655555555555554,5.555555555555591e-05,0.05371111111111111,0.04477611940298507,0.01990049751243781,-0.18444444444444447,0.9450000000000001,0.004444444444444473,0.035
Walker2d-v5,foot_left_damping,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,foot_left_damping,klprho0p05,klprho0p05_minus_klprho0,-0.1016,0.0,0.1016,0.014925373134328358,0.0,-0.27555555555555555,0.88,0.0,0.0
Walker2d-v5,foot_left_damping,vanilla,vanilla_minus_klprho0,-0.002005555555555554,0.006266666666666665,0.008272222222222219,0.8805970149253731,0.3482587064676617,-0.1577777777777778,1.0,0.033333333333333326,0.7000000000000001
Walker2d-v5,foot_left_friction,klprho0,klprho0_minus_klprho0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
