env_id,axis,stress_factor,best_model_by_median_return,best_median_return,vanilla_median_return,best_minus_vanilla_median
Walker2d-v4,action_noise,0.5,vanilla,777.7709677854739,777.7709677854739,0.0
Walker2d-v4,action_replace,0.5,klb20,303.0282175344722,233.95221902090825,69.07599851356397
Walker2d-v4,actuator_gain,0.5,klb1,398.0669359254822,342.6286286199459,55.438307305536284
Walker2d-v4,damping,0.5,vanilla,1933.762631807912,1933.762631807912,0.0
Walker2d-v4,foot_left_actuator_gain,0.5,klb2,727.3886429354673,405.281698646214,322.10694428925325
Walker2d-v4,foot_left_damping,0.5,vanilla,1457.615659881005,1457.615659881005,0.0
Walker2d-v4,foot_left_friction,0.5,vanilla,1843.3634482346367,1843.3634482346367,0.0
Walker2d-v4,foot_left_mass,0.5,vanilla,996.9516441521372,996.9516441521372,0.0
Walker2d-v4,friction,0.5,vanilla,1987.0056734998573,1987.0056734998573,0.0
Walker2d-v4,friction_damping,0.5,vanilla,1825.951103438688,1825.951103438688,0.0
Walker2d-v4,friction_mass,0.5,vanilla,1329.4586655785592,1329.4586655785592,0.0
Walker2d-v4,friction_mass_damping,0.5,vanilla,1218.96550852387,1218.96550852387,0.0
Walker2d-v4,leg_left_actuator_gain,0.5,vanilla,2128.934829130681,2128.934829130681,0.0
Walker2d-v4,leg_left_damping,0.5,vanilla,1925.788490508656,1925.788490508656,0.0
Walker2d-v4,leg_left_mass,0.5,vanilla,1936.5664161853765,1936.5664161853765,0.0
Walker2d-v4,mass,0.5,klb20,835.0174788800316,675.7455552171037,159.27192366292786
Walker2d-v4,mass_damping,0.5,klb20,795.305297141523,699.0155419796936,96.28975516182948
Walker2d-v4,thigh_left_actuator_gain,0.5,vanilla,1041.724271513083,1041.724271513083,0.0
Walker2d-v4,thigh_left_damping,0.5,vanilla,1903.2658437359275,1903.2658437359275,0.0
Walker2d-v4,thigh_left_mass,0.5,vanilla,3371.896816402516,3371.896816402516,0.0
