env_id,axis,stress_factor,model_label,baseline_vanilla_nominal_median,catastrophe_threshold,mean_return,median_return,reliability_at_threshold,failure_rate_at_threshold,reliability_auc_0_to_1x_nominal,reliability_auc_0_to_1p25x_nominal,median_delta_vs_same_seed_vanilla,mean_delta_vs_same_seed_vanilla,win_rate_vs_same_seed_vanilla
Walker2d-v4,action_noise,0.5,klb0p5,2400.2361206756023,1200.1180603378011,352.8270176205448,353.8341793456883,0.0,1.0,0.14700000000000002,0.11779999999999999,-536.7652913437092,-596.2493369248892,0.0
Walker2d-v4,action_noise,0.5,klb1,2400.2361206756023,1200.1180603378011,374.7916550629244,393.5064434470957,0.0,1.0,0.1562,0.125,-587.6052396299067,-574.2846994825097,0.0
Walker2d-v4,action_noise,0.5,klb10,2400.2361206756023,1200.1180603378011,424.1734991985365,487.2395173048141,0.0,1.0,0.17619999999999997,0.14140000000000003,-290.53145048065977,-524.9028553468975,0.0
Walker2d-v4,action_noise,0.5,klb100,2400.2361206756023,1200.1180603378011,484.1103617892394,450.0337064672964,0.0,1.0,0.20180000000000003,0.16099999999999998,-388.7224447537284,-464.9659927561946,0.0
Walker2d-v4,action_noise,0.5,klb2,2400.2361206756023,1200.1180603378011,578.5475741712453,520.9749421587866,0.0,1.0,0.241,0.19260000000000002,-256.7960256266873,-370.52878037418867,0.0
Walker2d-v4,action_noise,0.5,klb20,2400.2361206756023,1200.1180603378011,597.0650003252753,637.8157555375839,0.0,1.0,0.2482,0.199,-213.42806946232395,-352.01135422015875,0.2
Walker2d-v4,action_noise,0.5,klb5,2400.2361206756023,1200.1180603378011,449.44540826570835,489.7910365639997,0.0,1.0,0.18839999999999998,0.1504,-287.9799312214742,-499.6309462797256,0.0
Walker2d-v4,action_noise,0.5,klb50,2400.2361206756023,1200.1180603378011,499.34879484628084,439.78677272394646,0.0,1.0,0.20820000000000002,0.16660000000000003,-301.1848069977792,-449.72755969915323,0.2
Walker2d-v4,action_noise,0.5,vanilla,2400.2361206756023,1200.1180603378011,949.076354545434,777.7709677854739,0.2,0.8,0.39580000000000004,0.3162,0.0,0.0,0.0
Walker2d-v4,action_replace,0.5,klb0p5,1790.5302695307969,895.2651347653984,175.1836223085273,179.13657917737572,0.0,1.0,0.0978,0.0782,-77.52572505740272,-75.24105185972734,0.0
