version,model_label,axis,delta_reliability_auc_vs_vanilla,delta_cvar20_vs_vanilla,delta_catastrophe_prob_t0p50_vs_vanilla
Walker2d-v4,tvc250,action_noise,-0.03651565726797101,-0.05812115094492354,0.0066666666666666645
Walker2d-v4,tvc250,action_replace,-0.009660749555921999,0.01296914229028645,-0.0033333333333332993
Walker2d-v4,tvc250,actuator_gain,-0.004761190265315185,0.025659927561937468,0.01111111111111135
Walker2d-v4,tvc250,damping,-0.04045108969962219,-0.09866239104019336,0.019999999999999997
Walker2d-v4,tvc250,foot_left_actuator_gain,-0.013861456001969641,0.10404971163598542,0.0022222222222221255
Walker2d-v4,tvc250,foot_left_damping,-0.03913606473852427,-0.06746190216354231,0.017777777777777778
Walker2d-v4,tvc250,foot_left_friction,-0.031034658691319494,-0.028442117151577295,-0.02666666666666663
Walker2d-v4,tvc250,foot_left_mass,-0.0278722762781225,0.03262727554399025,-0.0023809523809523794
Walker2d-v4,tvc250,friction,-0.02990355741119255,0.004519921280226047,-0.013333333333333475
Walker2d-v4,tvc250,friction_damping,-0.03352359343786582,0.001897455768847478,0.0022222222222222365
Walker2d-v4,tvc250,friction_mass,0.017327156663163423,0.018904547350608036,-0.035714285714285754
Walker2d-v4,tvc250,friction_mass_damping,0.021473137106016504,0.016595251277820272,-0.02619047619047621
Walker2d-v4,tvc250,leg_left_actuator_gain,-0.03763592220291423,0.02300113502294754,0.011111111111111106
Walker2d-v4,tvc250,leg_left_damping,-0.04987621997764258,-0.10448360781806465,0.0022222222222222227
Walker2d-v4,tvc250,leg_left_mass,-0.04396321033552408,-0.10823504077968482,0.004761904761904759
Walker2d-v4,tvc250,mass,0.00665076721984903,0.014924226823152698,0.0047619047619048005
Walker2d-v4,tvc250,mass_damping,0.007418136464064418,0.015027620669168906,-0.009523809523809601
Walker2d-v4,tvc250,thigh_left_actuator_gain,-0.04374421490545044,-0.01503801454818443,0.03555555555555556
Walker2d-v4,tvc250,thigh_left_damping,-0.042995268447884816,-0.10189881103402554,0.0022222222222222227
Walker2d-v4,tvc250,thigh_left_mass,-0.02998868357023221,-0.05140110273712084,0.007142857142857149
Walker2d-v5,tvc400,action_noise,0.013526195755128256,0.0765156108617927,-0.006666666666666668
Walker2d-v5,tvc400,action_replace,0.02705080396075238,-0.00039187022114703374,-0.04000000000000015
Walker2d-v5,tvc400,actuator_gain,0.009803356187701617,-0.0008487605523351937,-0.011111111111111072
Walker2d-v5,tvc400,damping,0.0015117262792285757,0.012927930484888939,0.0
Walker2d-v5,tvc400,foot_left_actuator_gain,-0.013190864154292048,-0.012675819870183402,0.024444444444444546
Walker2d-v5,tvc400,foot_left_damping,0.0016424597813375907,0.01448412456229764,0.0
Walker2d-v5,tvc400,foot_left_friction,0.004233038939567946,0.022708988666697794,0.00888888888888889
Walker2d-v5,tvc400,foot_left_mass,0.011579702520472468,0.043628562259424464,-0.019047619047619077
Walker2d-v5,tvc400,friction,0.01989998906310697,0.016224372228209438,-0.01777777777777778
Walker2d-v5,tvc400,friction_damping,0.018557029564431837,0.018366976519945677,-0.01333333333333342
Walker2d-v5,tvc400,friction_mass,0.00812190759284609,0.0016656731574911376,0.004761904761904856
Walker2d-v5,tvc400,friction_mass_damping,0.008982344105259665,-0.0027445591205126074,0.004761904761904745
Walker2d-v5,tvc400,leg_left_actuator_gain,-0.00048181854847828554,-0.021192803690018636,0.017777777777777753
Walker2d-v5,tvc400,leg_left_damping,0.002096670169422943,0.015576590548274871,0.0
Walker2d-v5,tvc400,leg_left_mass,-0.0008837948315284505,0.005223030159872133,-0.004761904761904759
Walker2d-v5,tvc400,mass,0.003328496385881896,-0.0017303851490870423,0.0071428571428572285
Walker2d-v5,tvc400,mass_damping,0.002469781989037856,-0.002044842078158547,0.011904761904761973
Walker2d-v5,tvc400,thigh_left_actuator_gain,0.026754491097749078,0.018100997357098275,-0.024444444444444463
Walker2d-v5,tvc400,thigh_left_damping,0.002778500517594762,0.016331422314843302,0.0
Walker2d-v5,tvc400,thigh_left_mass,0.005461388487695951,0.026186524373433717,-0.007142857142857145
