metric,reference_effect,candidate_effect,candidate_minus_reference_effect,candidate_minus_reference_ci95_low,candidate_minus_reference_ci95_high,probability_candidate_effect_is_larger
reliability_auc,-0.02310273076671876,0.007662070243146135,0.030764801009864895,-0.06147369297492286,0.12264694397302438,0.7423
cvar20,-0.01817839614961725,0.012315588140641376,0.030493984290258624,-0.18897232134270783,0.24443981889917804,0.6079
catastrophe_prob_t0p50,0.0005317460317460221,-0.0032301587301586943,-0.0037619047619047163,-0.09914821428571431,0.09119087301587306,0.471
