version,model_label,seed,nominal_retention,reliability_auc,cvar20,catastrophe_prob_t0p50
Walker2d-v4,tvc100,1,0.5675747269594362,0.5248638951870287,0.41189753635281373,0.2038095238095238
Walker2d-v4,tvc100,2,0.4297507075371926,0.4040991717533918,0.317642703624666,0.9445238095238094
Walker2d-v4,tvc100,3,0.434445961671481,0.45193100970682376,0.3432448577456188,0.7914285714285715
Walker2d-v4,tvc100,4,0.5234464532399232,0.4806850751388131,0.3766660440381418,0.47833333333333333
Walker2d-v4,tvc100,5,0.5399248950950959,0.47855080249935744,0.3893498724146657,0.41452380952380957
Walker2d-v4,tvc100,6,0.570866649523674,0.5063758749437255,0.4123594259581068,0.19785714285714287
Walker2d-v4,tvc100,7,0.5011869147186356,0.46203428244320355,0.3636376078671849,0.6876190476190477
Walker2d-v4,tvc100,8,0.4597046932740403,0.4362297622463169,0.34243827149977873,0.9414285714285715
Walker2d-v4,tvc100,9,0.7783294101018627,0.6638153773119473,0.4864901582414715,0.20857142857142855
Walker2d-v4,tvc100,10,0.5084796069327154,0.4561437840127468,0.34627382357170383,0.6373809523809524
Walker2d-v4,tvc100,11,0.5363065499044221,0.5160342384136641,0.3991567076962956,0.3026190476190476
Walker2d-v4,tvc100,12,0.5649970435642994,0.537644609031193,0.43604847266949476,0.2711904761904762
Walker2d-v4,tvc100,13,0.6019270035484607,0.5213891296987472,0.393727195416617,0.2997619047619048
Walker2d-v4,tvc100,14,0.39526908693361085,0.40151846086724363,0.34383784565551095,0.9928571428571429
Walker2d-v4,tvc100,15,0.49447783909916354,0.45484361526895684,0.36491778622822824,0.7109523809523809
Walker2d-v4,tvc100,16,0.43686341469970275,0.45855358254560963,0.37437500959400016,0.8345238095238094
Walker2d-v4,tvc100,17,0.9675594313058594,0.8795484951492287,0.6722863780157861,0.07261904761904761
Walker2d-v4,tvc100,18,1.183530350430393,0.8423134306215573,0.6287185188747431,0.10952380952380951
Walker2d-v4,tvc100,19,0.5227877987227301,0.5004222007068803,0.41080215176474405,0.3061904761904762
Walker2d-v4,tvc100,20,0.5129422933547423,0.4661524029178903,0.3571495256509826,0.5676190476190477
Walker2d-v4,tvc100,21,0.5568023750064091,0.5130220669333438,0.406852930145171,0.22142857142857145
Walker2d-v4,tvc100,22,0.5175071628093062,0.4506944251184287,0.33564409530701655,0.6661904761904762
Walker2d-v4,tvc100,23,0.4905574876638855,0.47326318277486346,0.395702435201311,0.7188095238095238
Walker2d-v4,tvc100,24,0.41958616795464415,0.39115873271585877,0.30978424647909963,0.9966666666666667
Walker2d-v4,tvc100,25,0.49620944586117177,0.4566112362643005,0.3489955447958738,0.6966666666666667
Walker2d-v4,tvc100,26,0.5824733308997565,0.5278138437627554,0.4141547804981312,0.19428571428571428
Walker2d-v4,tvc100,27,0.5241176130501457,0.4845561997793089,0.3833816832043599,0.38642857142857145
