model_label,auc
tv_a4000,4897.426962204296
vanilla,4758.892779995143
tv_a3600,4335.813474512537
tv_a4400,4201.830974893187
tv_p95,4178.476272854015
tv_a4800,4022.2893389798483
tv_a3200,3758.246992095973
