model_label,mass_scale,mean_return,std_return,n,ci95
tv_a3200,0.5,2445.4189390937227,607.5866731191051,5,532.5732005003671
tv_a3200,0.6,2564.9182046926544,687.6356587335107,5,602.7392300589429
tv_a3200,0.7,2659.701075583032,712.238364941601,5,624.3044528755473
tv_a3200,0.8,2542.3967369823167,660.4400838345229,5,578.901257627704
tv_a3200,0.9,2479.752349287233,594.4924764053104,5,521.0956310269498
tv_a3200,1.0,2526.452961564422,682.4490798237122,5,598.1929931978561
tv_a3200,1.1,2463.6497262872176,601.4113191062188,5,527.1602640480547
tv_a3200,1.3,2465.551933216241,605.0240391084257,5,530.3269527514288
tv_a3200,1.5,2544.1427512347827,666.9218291725205,5,584.5827579176372
tv_a3200,1.7,2395.738575308015,525.5133060850419,5,460.6327223908285
tv_a3200,2.0,2588.2191511335354,741.1909292235622,5,649.6824944036472
tv_a3600,0.5,2865.420708616281,1004.3959261025192,5,880.3918462989226
tv_a3600,0.6,2930.5986839095667,1012.979737059014,5,887.9158883423767
tv_a3600,0.7,2834.024758370231,867.97925615632,5,760.8173629714919
tv_a3600,0.8,2851.225020649792,949.7659657839511,5,832.5065747857923
tv_a3600,0.9,2961.7719354645997,998.9955405791163,5,875.6581996779889
tv_a3600,1.0,2961.077974911889,1041.255991937988,5,912.7011185413071
tv_a3600,1.1,2888.330162340852,1033.676815613607,5,906.0576775791961
tv_a3600,1.3,2912.4227537534557,977.3456281384548,5,856.6812147156879
tv_a3600,1.5,2912.5042723806655,977.1129050195956,5,856.4772239079156
tv_a3600,1.7,2812.4969383961165,948.3476833051809,5,831.2633953805321
tv_a3600,2.0,2915.422917160893,1052.5359544520677,5,922.5884416236387
tv_a4000,0.5,3339.4575670640857,743.5374480317436,5,651.7393088253527
tv_a4000,0.6,3221.406428932176,791.3201732439705,5,693.6227141414479
tv_a4000,0.7,3196.463938432532,620.555636019524,5,543.9409976964267
tv_a4000,0.8,3181.4663346746397,804.7797554178163,5,705.4205580917177
tv_a4000,0.9,3179.0421522748793,611.6284255970146,5,536.1159527495901
tv_a4000,1.0,3273.263159268149,673.1399757638078,5,590.0332037187305
tv_a4000,1.1,3327.8339295484593,685.0230654006898,5,600.4491910333608
tv_a4000,1.3,3266.9481841412116,650.8395953664008,5,570.4860584535897
tv_a4000,1.5,3284.7642149941485,747.9828353397794,5,655.6358626025292
tv_a4000,1.7,3335.0803441472185,810.4356083254074,5,710.3781317479861
tv_a4000,2.0,3213.3481813113876,691.3654011444311,5,606.0084934261406
tv_a4400,0.5,2823.9701442429573,513.8584012534941,5,450.41674787677294
tv_a4400,0.6,2747.686146183477,581.3200698492502,5,509.54950760419695
tv_a4400,0.7,2771.5717815302596,561.3581991687879,5,492.052156482764
tv_a4400,0.8,2831.9896177458672,628.693526221589,5,551.0741729650437
tv_a4400,0.9,2805.532979267477,632.2480717365013,5,554.1898694820243
tv_a4400,1.0,2767.8282571949694,533.3322084644938,5,467.48629250494514
tv_a4400,1.1,2803.5742340278425,587.4819050695762,5,514.9505943123671
tv_a4400,1.3,2814.825760461155,680.4069547294407,5,596.4029916303513
tv_a4400,1.5,2824.45823014115,574.7441419775923,5,503.7854526836212
tv_a4400,1.7,2828.098054610259,630.134149990587,5,552.3369353746164
tv_a4400,2.0,2751.694284077546,590.832720212136,5,517.8877132843763
tv_a4800,0.5,2655.7684421942167,455.5798985188146,5,399.3333879300459
tv_a4800,0.6,2622.1447529305565,402.71123076853803,5,352.9919574220139
tv_a4800,0.7,2645.074241639192,383.9389725458537,5,336.5373475949901
tv_a4800,0.8,2724.9429837868825,444.0769180623661,5,389.25058100221344
tv_a4800,0.9,2648.039322042196,401.99482579279675,5,352.36400077374464
tv_a4800,1.0,2751.6418358452347,481.2751635144519,5,421.8562807482512
tv_a4800,1.1,2726.719567021777,467.9844492481906,5,410.2064560452477
tv_a4800,1.3,2720.310368456206,511.0687199252804,5,447.97148437927746
tv_a4800,1.5,2660.5306263601747,331.71086395503687,5,290.75739194602966
tv_a4800,1.7,2651.1830256391136,345.83537098301196,5,303.13806822841417
tv_a4800,2.0,2682.298085462731,372.3908419424829,5,326.4149648184544
tv_p95,0.5,2845.868356260243,564.3223815805527,5,494.65037692396686
tv_p95,0.6,2842.427172100005,538.591676071391,5,472.0964191259814
tv_p95,0.7,2799.9030800178475,490.3103682683673,5,429.77598690024183
tv_p95,0.8,2773.752319496565,495.11804883946024,5,433.9901047241008
tv_p95,0.9,2794.586072028663,501.9650846507872,5,439.99179623135376
tv_p95,1.0,2739.7686712448476,506.5917799283644,5,444.047273450875
tv_p95,1.1,2876.0423400737404,629.2665299529076,5,551.5764328805227
tv_p95,1.3,2782.0040330428606,508.2428237861835,5,445.4944772004425
tv_p95,1.5,2696.0121286007575,530.6339166942337,5,465.12113548694464
tv_p95,1.7,2777.5555591833936,500.1886767658363,5,438.4347060670392
tv_p95,2.0,2798.2710027771786,591.363403626281,5,518.3528778062919
vanilla,0.5,3186.8047265807686,820.5216167629344,5,719.2189079392612
vanilla,0.6,3152.0421030835187,743.5455378811786,5,651.7463998910323
vanilla,0.7,3190.2401719227355,736.145353693667,5,645.2598524544287
vanilla,0.8,3125.627660090248,721.6628645431081,5,632.5653910066
vanilla,0.9,3158.7471032168523,810.9938953441327,5,710.8674918961177
vanilla,1.0,3135.3016178516928,787.9317125960016,5,690.6525974290548
vanilla,1.1,3127.8178019039265,732.9508104845102,5,642.4597118715167
vanilla,1.3,3180.0226211926374,792.7578445598641,5,694.8828886117706
vanilla,1.5,3188.519762762838,865.1870204276757,5,758.3698604432985
vanilla,1.7,3216.9633440432567,879.411347136858,5,770.8380325340104
vanilla,2.0,3174.897966414012,804.7094076170582,5,705.358895525609
