env_id,axis,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,leg_left_actuator_gain,klprho0p05,klprho0p05_minus_vanilla,-0.06968333333333333,0.00037222222222222246,0.07005555555555557,0.01990049751243781,0.014925373134328358,-0.18444444444444452,0.87,0.0377777777777778,1.0
Walker2d-v5,leg_left_actuator_gain,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,leg_left_damping,klprho0,klprho0_minus_vanilla,0.005694444444444441,0.012094444444444439,0.006399999999999998,0.7213930348258707,0.13432835820895522,-0.033333333333333326,0.665,0.18888888888888894,1.0
Walker2d-v5,leg_left_damping,klprho0p05,klprho0p05_minus_vanilla,-0.09674444444444444,0.0,0.09674444444444444,0.009950248756218905,0.0,-0.2666666666666666,0.865,0.0,0.0
Walker2d-v5,leg_left_damping,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,leg_left_mass,klprho0,klprho0_minus_vanilla,-0.004619047619047622,0.003869047619047619,0.008488095238095239,0.5522388059701493,0.06965174129353234,-0.04285714285714293,0.73,0.11904761904761907,1.0
Walker2d-v5,leg_left_mass,klprho0p05,klprho0p05_minus_vanilla,-0.10711904761904761,0.0,0.10711904761904761,0.004975124378109453,0.0,-0.24761904761904763,0.885,0.0,0.0
Walker2d-v5,leg_left_mass,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,mass,klprho0,klprho0_minus_vanilla,0.03398809523809524,0.03413095238095239,0.00014285714285714292,0.9751243781094527,0.9651741293532339,-0.0071428571428572285,0.02,0.08095238095238097,0.995
Walker2d-v5,mass,klprho0p05,klprho0p05_minus_vanilla,-0.04025,0.0003988095238095236,0.04064880952380953,0.05970149253731343,0.05472636815920398,-0.0714285714285714,0.625,0.016666666666666663,1.0
Walker2d-v5,mass,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
