scenario_label,model_label,seed,gain_over_vanilla,vanilla_return,cap_return
actuator_gain_0p5,a2p20,1,142.05079240893429,-450.2064780274033,-308.155685618469
actuator_gain_0p5,a2p20,2,-432.1638912008347,178.1840035036802,-253.9798876971545
actuator_gain_0p5,a2p20,3,-166.2627180142848,-213.1100814144112,-379.372799428696
actuator_gain_0p5,a2p20,4,-1297.4730057217198,964.7868531798338,-332.68615254188603
actuator_gain_0p5,a2p20,5,-2.2831679957498068,-256.6231300087122,-258.90629800446203
actuator_gain_0p5,a2p20,6,200.29295591477089,-370.8885972891095,-170.5956413743386
actuator_gain_0p5,a2p20,7,-174.87121984217654,-175.2159232394221,-350.08714308159864
actuator_gain_0p5,a2p20,8,-80.08965362316647,-240.935844896671,-321.02549851983747
actuator_gain_0p5,a2p20,9,-35.94692736255402,-238.4050102121212,-274.3519375746752
actuator_gain_0p5,a2p20,10,62.24157775280713,-365.0023837609813,-302.76080600817414
actuator_gain_0p5,a2p20,11,974.856067739216,-252.09533929360487,722.7607284456111
actuator_gain_0p5,a2p20,12,-112.21832927148392,-314.5558520985922,-426.7741813700761
actuator_gain_0p5,a2p20,13,-276.580526287053,-169.44730282638747,-446.0278291134404
actuator_gain_0p5,a2p20,14,-15.318191552855808,-284.9342490782938,-300.2524406311496
actuator_gain_0p5,a2p20,15,852.9204464326049,-359.96846250333954,492.9519839292653
actuator_gain_0p5,a2p20,16,172.72606843666188,-211.7856139848805,-39.05954554821862
actuator_gain_0p5,a2p20,17,5.905838854858644,-189.82420862692064,-183.918369772062
actuator_gain_0p5,a2p20,18,19.820674361347187,-287.9109982885108,-268.09032392716364
actuator_gain_0p5,a2p20,19,86.89505565218522,-289.8239971047597,-202.9289414525745
actuator_gain_0p5,a2p20,20,-192.69880548616024,37.46364791474867,-155.23515757141158
actuator_gain_0p5,a2p20,21,203.54320154499322,-238.31956991502244,-34.776368370029225
actuator_gain_0p5,a2p20,22,-153.17777373391857,-46.95085298881813,-200.1286267227367
actuator_gain_0p5,a2p20,23,-1069.4603126865359,737.9536865346612,-331.50662615187474
actuator_gain_0p5,a2p20,24,302.12006048783894,-289.0806914533419,13.039369034497051
actuator_gain_0p5,a2p20,25,-23.341905982462464,-208.9337220994417,-232.27562808190416
actuator_gain_0p5,a2p20,26,-114.03979076498189,-195.2462319667714,-309.2860227317533
actuator_gain_0p5,a2p20,27,-75.90956690972246,-223.06883689099595,-298.9784038007184
actuator_gain_0p5,a2p20,28,123.71963578796519,-334.7391701393825,-211.01953435141732
actuator_gain_0p5,a2p20,29,-505.74463543765717,841.4175918541445,335.6729564164873
actuator_gain_0p5,a2p20,30,-388.1309865757953,34.70312479289194,-353.4278617829034
actuator_gain_0p5,a2p40,1,138.90247957813693,-450.2064780274033,-311.3039984492664
actuator_gain_0p5,a2p40,2,-519.4785468371645,178.1840035036802,-341.2945433334843
actuator_gain_0p5,a2p40,3,-87.1312319972478,-213.1100814144112,-300.241313411659
actuator_gain_0p5,a2p40,4,44.23602735060581,964.7868531798338,1009.0228805304396
actuator_gain_0p5,a2p40,5,-178.77371719058016,-256.6231300087122,-435.3968471992924
actuator_gain_0p5,a2p40,6,1329.7252925171574,-370.8885972891095,958.836695228048
actuator_gain_0p5,a2p40,7,348.3415998063,-175.2159232394221,173.12567656687787
actuator_gain_0p5,a2p40,8,-25.7957100331071,-240.935844896671,-266.7315549297781
actuator_gain_0p5,a2p40,9,-15.133597671924093,-238.4050102121212,-253.5386078840453
actuator_gain_0p5,a2p40,10,274.22720257594295,-365.0023837609813,-90.7751811850383
actuator_gain_0p5,a2p40,11,-111.71961184861107,-252.09533929360487,-363.81495114221593
actuator_gain_0p5,a2p40,12,51.01565944714639,-314.5558520985922,-263.5401926514458
actuator_gain_0p5,a2p40,13,-180.75027181705607,-169.44730282638747,-350.19757464344355
actuator_gain_0p5,a2p40,14,-281.70047782944374,-284.9342490782938,-566.6347269077376
actuator_gain_0p5,a2p40,15,104.26249008592893,-359.96846250333954,-255.7059724174106
actuator_gain_0p5,a2p40,16,-164.2373748396691,-211.7856139848805,-376.0229888245496
actuator_gain_0p5,a2p40,17,-15.928076142694351,-189.82420862692064,-205.752284769615
actuator_gain_0p5,a2p40,18,1175.9848840016232,-287.9109982885108,888.0738857131123
actuator_gain_0p5,a2p40,19,-292.5670864813233,-289.8239971047597,-582.391083586083
actuator_gain_0p5,a2p40,20,-403.11254690619796,37.46364791474867,-365.6488989914493
actuator_gain_0p5,a2p40,21,-176.02939656869165,-238.31956991502244,-414.3489664837141
actuator_gain_0p5,a2p40,22,-420.05155702882917,-46.95085298881813,-467.00241001764726
actuator_gain_0p5,a2p40,23,-1093.263234700498,737.9536865346612,-355.3095481658368
actuator_gain_0p5,a2p40,24,33.152555126460214,-289.0806914533419,-255.92813632688168
actuator_gain_0p5,a2p40,25,-127.68721872752428,-208.9337220994417,-336.620940826966
actuator_gain_0p5,a2p40,26,-183.79891540306642,-195.2462319667714,-379.0451473698378
actuator_gain_0p5,a2p40,27,-132.84422140302235,-223.06883689099595,-355.9130582940183
actuator_gain_0p5,a2p40,28,-15.502428556628388,-334.7391701393825,-350.2415986960109
actuator_gain_0p5,a2p40,29,-1026.4027896103064,841.4175918541445,-184.98519775616188
actuator_gain_0p5,a2p40,30,-285.23771962469607,34.70312479289194,-250.53459483180416
actuator_gain_0p5,a2p55,1,189.50282857950737,-450.2064780274033,-260.70364944789594
actuator_gain_0p5,a2p55,2,-428.2867531833746,178.1840035036802,-250.10274967969443
actuator_gain_0p5,a2p55,3,-120.26577584650008,-213.1100814144112,-333.3758572609113
actuator_gain_0p5,a2p55,4,-233.27629818687217,964.7868531798338,731.5105549929616
actuator_gain_0p5,a2p55,5,52.48884016017732,-256.6231300087122,-204.1342898485349
actuator_gain_0p5,a2p55,6,546.0845811802094,-370.8885972891095,175.19598389109984
actuator_gain_0p5,a2p55,7,-1.1206143869365803,-175.2159232394221,-176.33653762635868
actuator_gain_0p5,a2p55,8,-59.21624732060681,-240.935844896671,-300.1520922172778
actuator_gain_0p5,a2p55,9,37.133781569239886,-238.4050102121212,-201.2712286428813
actuator_gain_0p5,a2p55,10,110.45764913720208,-365.0023837609813,-254.5447346237792
actuator_gain_0p5,a2p55,11,-30.280958959031636,-252.09533929360487,-282.3762982526365
actuator_gain_0p5,a2p55,12,83.81874229961653,-314.5558520985922,-230.73710979897567
actuator_gain_0p5,a2p55,13,-137.59619057697032,-169.44730282638747,-307.0434934033578
actuator_gain_0p5,a2p55,14,-94.44146064518486,-284.9342490782938,-379.3757097234787
actuator_gain_0p5,a2p55,15,0.25372721942335374,-359.96846250333954,-359.7147352839162
actuator_gain_0p5,a2p55,16,-109.4603259358887,-211.7856139848805,-321.2459399207692
actuator_gain_0p5,a2p55,17,149.43792702728365,-189.82420862692064,-40.386281599637
actuator_gain_0p5,a2p55,18,1091.7147700324776,-287.9109982885108,803.8037717439668
actuator_gain_0p5,a2p55,19,129.02808277593576,-289.8239971047597,-160.79591432882395
actuator_gain_0p5,a2p55,20,-398.9975615607241,37.46364791474867,-361.5339136459754
actuator_gain_0p5,a2p55,21,-216.66200003545578,-238.31956991502244,-454.9815699504782
actuator_gain_0p5,a2p55,22,-387.0046275117637,-46.95085298881813,-433.9554805005818
actuator_gain_0p5,a2p55,23,-1025.3405890290626,737.9536865346612,-287.38690249440134
actuator_gain_0p5,a2p55,24,-3.0934182748372905,-289.0806914533419,-292.1741097281792
actuator_gain_0p5,a2p55,25,246.2205267042508,-208.9337220994417,37.2868046048091
actuator_gain_0p5,a2p55,26,-46.3285356474174,-195.2462319667714,-241.5747676141888
actuator_gain_0p5,a2p55,27,-116.5421826375387,-223.06883689099595,-339.61101952853465
actuator_gain_0p5,a2p55,28,81.63593278436562,-334.7391701393825,-253.1032373550169
actuator_gain_0p5,a2p55,29,-1071.9056314221314,841.4175918541445,-230.48803956798693
actuator_gain_0p5,a2p55,30,819.455033904751,34.70312479289194,854.1581586976429
actuator_gain_0p5,a2p65,1,242.77184096312132,-450.2064780274033,-207.434637064282
actuator_gain_0p5,a2p65,2,-526.5994787314966,178.1840035036802,-348.4154752278164
actuator_gain_0p5,a2p65,3,-279.5679079754402,-213.1100814144112,-492.6779893898514
actuator_gain_0p5,a2p65,4,485.5188538397613,964.7868531798338,1450.305707019595
actuator_gain_0p5,a2p65,5,172.48578077126547,-256.6231300087122,-84.13734923744677
actuator_gain_0p5,a2p65,6,212.321594914221,-370.8885972891095,-158.5670023748885
actuator_gain_0p5,a2p65,7,-60.04967876029869,-175.2159232394221,-235.2656019997208
actuator_gain_0p5,a2p65,8,-18.67099760041222,-240.935844896671,-259.6068424970832
actuator_gain_0p5,a2p65,9,-50.28676595179692,-238.4050102121212,-288.6917761639181
actuator_gain_0p5,a2p65,10,92.70527356156714,-365.0023837609813,-272.29711019941413
actuator_gain_0p5,a2p65,11,-131.18456850576104,-252.09533929360487,-383.2799077993659
actuator_gain_0p5,a2p65,12,533.794241772453,-314.5558520985922,219.23838967386075
actuator_gain_0p5,a2p65,13,-319.33717316850675,-169.44730282638747,-488.7844759948942
actuator_gain_0p5,a2p65,14,-37.475343750403,-284.9342490782938,-322.4095928286968
actuator_gain_0p5,a2p65,15,35.447215688704716,-359.96846250333954,-324.5212468146348
actuator_gain_0p5,a2p65,16,184.81537786393017,-211.7856139848805,-26.97023612095034
actuator_gain_0p5,a2p65,17,-765.0827809818146,-189.82420862692064,-954.9069896087352
actuator_gain_0p5,a2p65,18,165.85366460644838,-287.9109982885108,-122.05733368206243
actuator_gain_0p5,a2p65,19,-1.6332265064002058,-289.8239971047597,-291.4572236111599
actuator_gain_0p5,a2p65,20,-444.24148036738944,37.46364791474867,-406.7778324526408
actuator_gain_0p5,a2p65,21,-5.941388536359511,-238.31956991502244,-244.26095845138195
actuator_gain_0p5,a2p65,22,-267.6493720682489,-46.95085298881813,-314.60022505706706
actuator_gain_0p5,a2p65,23,-959.0937838903686,737.9536865346612,-221.1400973557074
actuator_gain_0p5,a2p65,24,-33.10963836692321,-289.0806914533419,-322.1903298202651
actuator_gain_0p5,a2p65,25,-200.52641316708116,-208.9337220994417,-409.46013526652285
actuator_gain_0p5,a2p65,26,233.58919358173037,-195.2462319667714,38.34296161495897
actuator_gain_0p5,a2p65,27,-24.402723731572138,-223.06883689099595,-247.4715606225681
actuator_gain_0p5,a2p65,28,-47.16603535577627,-334.7391701393825,-381.9052054951588
actuator_gain_0p5,a2p65,29,544.1597118977969,841.4175918541445,1385.5773037519414
actuator_gain_0p5,a2p65,30,184.4530828796447,34.70312479289194,219.15620767253665
actuator_gain_0p5,a2p75,1,58.470173510457585,-450.2064780274033,-391.7363045169457
actuator_gain_0p5,a2p75,2,-373.39353304717736,178.1840035036802,-195.20952954349715
actuator_gain_0p5,a2p75,3,-101.67327472447201,-213.1100814144112,-314.7833561388832
actuator_gain_0p5,a2p75,4,224.33777436866808,964.7868531798338,1189.1246275485018
actuator_gain_0p5,a2p75,5,757.5438690222663,-256.6231300087122,500.9207390135541
actuator_gain_0p5,a2p75,6,117.78280697137453,-370.8885972891095,-253.10579031773497
actuator_gain_0p5,a2p75,7,-22.342007186579195,-175.2159232394221,-197.5579304260013
actuator_gain_0p5,a2p75,8,424.19278710869094,-240.935844896671,183.2569422120199
actuator_gain_0p5,a2p75,9,-27.767882331373045,-238.4050102121212,-266.17289254349424
actuator_gain_0p5,a2p75,10,188.58083313030298,-365.0023837609813,-176.4215506306783
actuator_gain_0p5,a2p75,11,260.35784286649346,-252.09533929360487,8.262503572888589
actuator_gain_0p5,a2p75,12,50.4282607835554,-314.5558520985922,-264.1275913150368
actuator_gain_0p5,a2p75,13,332.05637786192966,-169.44730282638747,162.6090750355422
actuator_gain_0p5,a2p75,14,50.67456531962978,-284.9342490782938,-234.25968375866404
actuator_gain_0p5,a2p75,15,-122.67265190120304,-359.96846250333954,-482.6411144045426
actuator_gain_0p5,a2p75,16,-207.25724231551044,-211.7856139848805,-419.04285630039095
actuator_gain_0p5,a2p75,17,550.0091156510919,-189.82420862692064,360.18490702417125
actuator_gain_0p5,a2p75,18,16.440148677316074,-287.9109982885108,-271.47084961119475
actuator_gain_0p5,a2p75,19,-120.00061418469699,-289.8239971047597,-409.8246112894567
actuator_gain_0p5,a2p75,20,-266.5095054555173,37.46364791474867,-229.0458575407686
actuator_gain_0p5,a2p75,21,124.05776095418024,-238.31956991502244,-114.2618089608422
actuator_gain_0p5,a2p75,22,-383.5135788099569,-46.95085298881813,-430.464431798775
actuator_gain_0p5,a2p75,23,-1068.7642947583454,737.9536865346612,-330.81060822368414
actuator_gain_0p5,a2p75,24,-26.870690555174406,-289.0806914533419,-315.9513820085163
actuator_gain_0p5,a2p75,25,-3.8394355331755037,-208.9337220994417,-212.7731576326172
actuator_gain_0p5,a2p75,26,306.36813459898485,-195.2462319667714,111.12190263221343
actuator_gain_0p5,a2p75,27,-245.17586771314876,-223.06883689099595,-468.2447046041447
actuator_gain_0p5,a2p75,28,22.897161290700694,-334.7391701393825,-311.8420088486818
actuator_gain_0p5,a2p75,29,-255.82629711237053,841.4175918541445,585.5912947417739
actuator_gain_0p5,a2p75,30,-307.04666727981476,34.70312479289194,-272.3435424869228
actuator_gain_0p5,a2p80,1,107.30148634465729,-450.2064780274033,-342.904991682746
actuator_gain_0p5,a2p80,2,-485.48373490899337,178.1840035036802,-307.29973140531314
actuator_gain_0p5,a2p80,3,-34.443172836965715,-213.1100814144112,-247.55325425137693
actuator_gain_0p5,a2p80,4,-1235.9348649572066,964.7868531798338,-271.148011777373
actuator_gain_0p5,a2p80,5,-59.80647692070778,-256.6231300087122,-316.42960692942
actuator_gain_0p5,a2p80,6,1400.2012025342883,-370.8885972891095,1029.312605245179
actuator_gain_0p5,a2p80,7,-65.04796907223519,-175.2159232394221,-240.2638923116573
actuator_gain_0p5,a2p80,8,-121.56818933487111,-240.935844896671,-362.5040342315421
actuator_gain_0p5,a2p80,9,-172.13204450614168,-238.4050102121212,-410.5370547182629
actuator_gain_0p5,a2p80,10,165.88897294434884,-365.0023837609813,-199.11341081663244
actuator_gain_0p5,a2p80,11,-47.067489444790965,-252.09533929360487,-299.16282873839583
actuator_gain_0p5,a2p80,12,34.94413092748323,-314.5558520985922,-279.61172117110897
actuator_gain_0p5,a2p80,13,-32.27074238433076,-169.44730282638747,-201.71804521071823
actuator_gain_0p5,a2p80,14,-80.1519953304093,-284.9342490782938,-365.0862444087031
actuator_gain_0p5,a2p80,15,20.27175340004635,-359.96846250333954,-339.6967091032932
actuator_gain_0p5,a2p80,16,-96.80109498834918,-211.7856139848805,-308.5867089732297
actuator_gain_0p5,a2p80,17,-205.36253365452072,-189.82420862692064,-395.18674228144135
actuator_gain_0p5,a2p80,18,-98.89313648319103,-287.9109982885108,-386.80413477170185
actuator_gain_0p5,a2p80,19,530.4421968028178,-289.8239971047597,240.61819969805805
actuator_gain_0p5,a2p80,20,-306.71950212842967,37.46364791474867,-269.255854213681
actuator_gain_0p5,a2p80,21,-87.6744068216122,-238.31956991502244,-325.99397673663464
actuator_gain_0p5,a2p80,22,-312.77948018013103,-46.95085298881813,-359.7303331689492
actuator_gain_0p5,a2p80,23,-946.6137289964252,737.9536865346612,-208.660042461764
actuator_gain_0p5,a2p80,24,-7.895826242950989,-289.0806914533419,-296.9765176962929
actuator_gain_0p5,a2p80,25,-64.55850788857191,-208.9337220994417,-273.4922299880136
actuator_gain_0p5,a2p80,26,-137.34379849232687,-195.2462319667714,-332.5900304590983
actuator_gain_0p5,a2p80,27,74.50073459232854,-223.06883689099595,-148.5681022986674
actuator_gain_0p5,a2p80,28,873.8754402326997,-334.7391701393825,539.1362700933172
actuator_gain_0p5,a2p80,29,151.31150426157717,841.4175918541445,992.7290961157216
actuator_gain_0p5,a2p80,30,-191.09693859549606,34.70312479289194,-156.39381380260411
mass_damping_0p5,a2p20,1,-693.3789236386981,1100.716012484599,407.33708884590106
mass_damping_0p5,a2p20,2,426.33706367769287,927.164444557462,1353.501508235155
mass_damping_0p5,a2p20,3,-35.78608297575238,1112.4043452653132,1076.6182622895608
mass_damping_0p5,a2p20,4,1246.1871714787255,-169.76623649234344,1076.420934986382
mass_damping_0p5,a2p20,5,85.88923244989655,970.0019706693784,1055.891203119275
mass_damping_0p5,a2p20,6,158.87866390824718,863.5799451934612,1022.4586091017084
mass_damping_0p5,a2p20,7,454.07004869343797,341.7508211268669,795.8208698203049
mass_damping_0p5,a2p20,8,97.13240822322223,1243.3175724010528,1340.449980624275
mass_damping_0p5,a2p20,9,-379.958117637703,1453.6564248309494,1073.6983071932464
mass_damping_0p5,a2p20,10,24.940288672256884,1016.4247142773984,1041.3650029496553
mass_damping_0p5,a2p20,11,232.81537979908524,651.29983364635,884.1152134454352
mass_damping_0p5,a2p20,12,89.98695048630395,617.4020319658729,707.3889824521768
mass_damping_0p5,a2p20,13,-602.2907904589465,925.6661442560924,323.3753537971458
mass_damping_0p5,a2p20,14,-52.83693049327485,978.2841261036884,925.4471956104136
mass_damping_0p5,a2p20,15,-526.9076301658162,217.78556656115208,-309.1220636046641
mass_damping_0p5,a2p20,16,619.4953456457282,604.8657101951143,1224.3610558408425
mass_damping_0p5,a2p20,17,239.1892201113153,1179.2913327195288,1418.480552830844
mass_damping_0p5,a2p20,18,-152.32179702914982,1044.1881081729778,891.8663111438279
mass_damping_0p5,a2p20,19,-329.093332575912,1644.8628384770234,1315.7695059011114
mass_damping_0p5,a2p20,20,-196.05208670663842,1268.4958278464155,1072.443741139777
mass_damping_0p5,a2p20,21,457.5154971741,985.9732601283928,1443.4887573024928
mass_damping_0p5,a2p20,22,-72.43695088602635,1399.850547503351,1327.4135966173246
mass_damping_0p5,a2p20,23,174.65722842851983,611.2608820072743,785.9181104357941
mass_damping_0p5,a2p20,24,-292.9436658445612,1136.7753492225104,843.8316833779492
mass_damping_0p5,a2p20,25,-338.4322558044198,1230.0084202806474,891.5761644762276
