timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1777581398,eval__HalfCheetah-v4__ppo_cont__vanilla__mass_damping_0p3__seed5__pid2052759,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,mass_damping_0p3,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,0.0,0.0,0.0,0.0,0.3,1.0,,1.0,-1,,-1,,0.3,,1.0,1.0,-99.18319536375768,247.22747277602807,-63.69153804952535,-62.56605138872936,-1027.2327353241974,202.42626438424912,
1778572090,eval__HalfCheetah-v4__ppo_cont__vanilla__mass_damping_0p3__seed5__pid659502,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,mass_damping_0p3,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.3,1.0,,1.0,-1,,-1,,0.3,,1.0,1.0,-155.981142256307,125.99159039470149,-171.74259854951106,-162.59782607476376,-353.578862022874,147.04010542133327,
1778694913,eval__HalfCheetah-v4__ppo_cont__vanilla__mass_damping_0p3__seed5__pid1631916,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,mass_damping_0p3,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.3,1.0,,1.0,-1,,-1,,0.3,,1.0,1.0,-155.981142256307,125.99159039470149,-171.74259854951106,-162.59782607476376,-353.578862022874,147.04010542133327,
