timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1777597275,eval__HalfCheetah-v4__ppo_cont__a2p65__mass_damping_0p7__seed2__pid2792182,ppo_cont,HalfCheetah-v4,2,20,1,a2p65,mass_damping_0p7,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model.norm_stats.npz,1,1,0.0,0.0,0.0,0.0,0.7,1.0,,1.0,-1,,-1,,0.7,,1.0,1.0,1084.7571181564476,72.67320782558963,1099.1239143737607,1086.9947249858574,965.8001459532704,1225.96537493925,
1778593872,eval__HalfCheetah-v4__ppo_cont__a2p65__mass_damping_0p7__seed2__pid812146,ppo_cont,HalfCheetah-v4,2,20,1,a2p65,mass_damping_0p7,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.7,1.0,,1.0,-1,,-1,,0.7,,1.0,1.0,1291.2996942341297,70.46280833645156,1293.3912007553479,1290.7395513288443,1163.7521789516256,1423.1534923442837,
1778701388,eval__HalfCheetah-v4__ppo_cont__a2p65__mass_damping_0p7__seed2__pid1677540,ppo_cont,HalfCheetah-v4,2,20,1,a2p65,mass_damping_0p7,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a2p65__2__1777446511/ppo_alpha_a2p65.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.7,1.0,,1.0,-1,,-1,,0.7,,1.0,1.0,1291.2996942341297,70.46280833645156,1293.3912007553479,1290.7395513288443,1163.7521789516256,1423.1534923442837,
