timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1777581929,eval__HalfCheetah-v4__ppo_cont__a1e9__mass_0p9__seed5__pid176165,ppo_cont,HalfCheetah-v4,5,20,1,a1e9,mass_0p9,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model.norm_stats.npz,1,1,0.0,0.0,0.0,0.0,0.9,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1386.809467105702,435.4866738348137,1486.052940927947,1485.5249774583356,-458.34806532757614,1532.2497382237873,
1778572991,eval__HalfCheetah-v4__ppo_cont__a1e9__mass_0p9__seed5__pid668010,ppo_cont,HalfCheetah-v4,5,20,1,a1e9,mass_0p9,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.9,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1677.6624877054578,28.451530805702603,1672.2121760188431,1675.232853763487,1637.0521788818662,1751.0712336552572,
1778695213,eval__HalfCheetah-v4__ppo_cont__a1e9__mass_0p9__seed5__pid1623614,ppo_cont,HalfCheetah-v4,5,20,1,a1e9,mass_0p9,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_a1e9__5__1777429858/ppo_alpha_a1e9.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.9,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1677.6624877054578,28.451530805702603,1672.2121760188431,1675.232853763487,1637.0521788818662,1751.0712336552572,
