timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1777581157,eval__HalfCheetah-v4__ppo_cont__vanilla__friction_mass_0p1__seed5__pid2050406,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,friction_mass_0p1,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,0.0,0.0,0.0,0.0,0.1,1.0,,0.1,0,,-1,,1.0,,1.0,1.0,550.9672016174152,686.4144316060331,867.7928563987514,662.8301762234076,-404.2865677962736,1319.472591846246,
1778571565,eval__HalfCheetah-v4__ppo_cont__vanilla__friction_mass_0p1__seed5__pid664391,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,friction_mass_0p1,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.1,1.0,,0.1,0,,-1,,1.0,,1.0,1.0,835.1779595909086,840.2912732206106,1293.7596464719231,997.1483585646226,-316.24564844917967,1814.8788915020482,
1778694763,eval__HalfCheetah-v4__ppo_cont__vanilla__friction_mass_0p1__seed5__pid37651,ppo_cont,HalfCheetah-v4,5,20,1,vanilla,friction_mass_0p1,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model,/home/users/am1015/rl_runs_halfcheetah_eval_allcaps_20260430/HalfCheetah-v4__ppo_alpha_vanilla__5__1777425629/ppo_alpha_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,0.1,1.0,,0.1,0,,-1,,1.0,,1.0,1.0,835.1779595909086,840.2912732206106,1293.7596464719231,997.1483585646226,-316.24564844917967,1814.8788915020482,
