model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
klb0p5,friction_damping,0.0,friction_damping_0,5,214.08596983378797,47.423758702427534,209.75020423353436,43.41903071295916,209.18959394012322,43.255314739511654,219.77421763911238
klb0p5,friction_damping,0.1,friction_damping_0p1,5,251.87432244884872,52.3239059726899,226.81155373940882,27.365519607793576,225.77592254006709,25.359704874685132,237.55298698554319
klb0p5,friction_damping,0.2,friction_damping_0p2,5,325.16061374226507,80.64401861515388,284.0390947563882,68.42273030949076,290.37148209204054,73.77525404963603,311.6488039448121
klb0p5,friction_damping,0.3,friction_damping_0p3,5,316.34938194348285,46.95751722462821,302.4651039760446,32.6590479434107,306.017082026359,33.271495811384874,311.22654944096445
klb0p5,friction_damping,0.4,friction_damping_0p4,5,334.10967886313784,64.64661383593437,308.09546536280084,49.726181608076715,309.61575311125404,48.89010752870267,324.3293299431254
klb0p5,friction_damping,0.5,friction_damping_0p5,5,355.5110326073262,58.48318631099792,329.96695230063216,60.70007921465811,333.7951724864882,61.65373495015554,340.4537042110722
klb0p5,friction_damping,0.6,friction_damping_0p6,5,352.78675975553585,84.75623466203288,307.2136121216672,72.12156819703968,311.4425775861579,66.69853084067562,358.6628541288772
klb0p5,friction_damping,0.7,friction_damping_0p7,5,331.0487054118529,59.5757286934817,299.9315239879921,55.58364168378291,305.18812451305456,50.501197422298034,333.27082103323886
klb0p5,friction_damping,0.8,friction_damping_0p8,5,339.903655599966,60.79557815149357,321.0460433396875,43.63114824240986,311.4497000083432,48.68699617111482,333.5891175666862
klb0p5,friction_damping,0.9,friction_damping_0p9,5,371.05156579481735,88.42834417383469,353.0143256459393,89.13986963847759,355.7451288502217,88.23228838616687,352.60182360468275
klb0p5,friction_damping,1.0,friction_damping_1,5,368.94151974979434,53.520133744540416,353.9301670458699,53.44018057694022,351.65904731628643,52.27952561092958,353.38813165954895
klb0p5,friction_damping,1.1,friction_damping_1p1,5,347.37632900831886,66.6103041915021,338.77295206453493,65.30461003041486,334.2325479149002,59.41025651106828,338.77061513526206
klb0p5,friction_damping,1.3,friction_damping_1p3,5,360.0541124319872,90.7875245360655,349.48567190048254,88.2970860990317,340.82167568468367,83.42423530257076,336.62676017025586
klb0p5,friction_damping,1.5,friction_damping_1p5,5,342.1070211317865,74.39170849698361,343.65084231300085,75.93988104717124,340.4925188614089,72.27438991915784,333.735763682584
klb0p5,friction_damping,1.7,friction_damping_1p7,5,348.3605293371693,52.12828918751899,330.0962462049455,39.197959882260655,331.1945624890433,42.592849449471075,330.61830100396423
klb0p5,friction_damping,2.0,friction_damping_2,5,341.26192295150975,22.216035103371965,336.52901300979295,23.266333099641333,334.86643953796045,23.259480444077678,339.35424885317804
klb1,friction_damping,0.0,friction_damping_0,5,151.9288833342673,61.95729335672084,136.37188488063276,51.96533300345376,145.56385536097315,55.70939091570153,158.9273140943733
klb1,friction_damping,0.1,friction_damping_0p1,5,294.6863217143597,82.32425130497242,284.2187828402822,100.51395760095085,285.28919626457326,100.38040504621002,303.0081015290029
klb1,friction_damping,0.2,friction_damping_0p2,5,404.9137391321532,245.5994561865939,390.73655979113283,235.85413137431718,392.7550881073904,231.1133087241973,334.47794039114524
klb1,friction_damping,0.3,friction_damping_0p3,5,471.30222335714654,340.79228464213963,434.80681290364953,286.2395336448445,436.44741834567975,290.2139752163594,363.88596014354385
klb1,friction_damping,0.4,friction_damping_0p4,5,524.9314087236875,444.7482216467694,515.6484237283119,434.3207904727839,542.437113350165,477.82606307552777,364.84475279854973
klb1,friction_damping,0.5,friction_damping_0p5,5,529.1320436697933,439.0460516908141,580.9800125481986,562.5422019566754,553.912754458832,504.70852670905765,375.5733574773338
klb1,friction_damping,0.6,friction_damping_0p6,5,464.52812034138316,271.7314759724038,463.39736609980343,300.6190237443881,456.63471748240784,289.46977903972856,414.50139593044975
klb1,friction_damping,0.7,friction_damping_0p7,5,469.37429045449835,288.7458248693947,480.37092880765374,361.0584723049527,471.6412309931255,336.21538270274107,405.22541241851576
klb1,friction_damping,0.8,friction_damping_0p8,5,483.92330768877946,290.6470851479839,513.370156479159,348.4237279820211,502.20947928159285,326.3496883185591,422.86378618932486
klb1,friction_damping,0.9,friction_damping_0p9,5,534.6537420110459,256.8019749122097,550.0372246680513,272.32218695347177,548.626686129908,273.2047531623438,527.5165811365065
klb1,friction_damping,1.0,friction_damping_1,5,444.65573620782334,154.29671387681472,416.96052666362414,157.59331458793505,458.2895134858571,162.81404609582924,497.8167114449746
klb1,friction_damping,1.1,friction_damping_1p1,5,447.67377010712744,162.0067791287267,517.1324967235936,243.62878992348385,475.5681915643951,183.77615216727344,474.6359079874522
klb1,friction_damping,1.3,friction_damping_1p3,5,373.74323737848897,101.65054777722766,347.5554337658487,141.70259075526337,340.7923525105438,129.70332789725825,417.8228325390517
klb1,friction_damping,1.5,friction_damping_1p5,5,407.214391361468,112.91340223054824,375.4647249865398,123.55054083261076,406.74339521862237,111.85386315116519,450.06771967889455
