env_id,model_label,n_axes,n_seeds,competence_threshold,bootstrap_replicates,nominal_failure_probability,nominal_failure_probability__ci95_low,nominal_failure_probability__ci95_high,improvement_vs_vanilla__nominal_failure_probability,improvement_vs_vanilla__nominal_failure_probability__ci95_low,improvement_vs_vanilla__nominal_failure_probability__ci95_high,probability_improves_vs_vanilla__nominal_failure_probability,deployment_failure_probability,deployment_failure_probability__ci95_low,deployment_failure_probability__ci95_high,improvement_vs_vanilla__deployment_failure_probability,improvement_vs_vanilla__deployment_failure_probability__ci95_low,improvement_vs_vanilla__deployment_failure_probability__ci95_high,probability_improves_vs_vanilla__deployment_failure_probability,deployment_failure_given_nominal_competence,deployment_failure_given_nominal_competence__ci95_low,deployment_failure_given_nominal_competence__ci95_high,improvement_vs_vanilla__deployment_failure_given_nominal_competence,improvement_vs_vanilla__deployment_failure_given_nominal_competence__ci95_low,improvement_vs_vanilla__deployment_failure_given_nominal_competence__ci95_high,probability_improves_vs_vanilla__deployment_failure_given_nominal_competence,reliability_auc_given_nominal_competence,reliability_auc_given_nominal_competence__ci95_low,reliability_auc_given_nominal_competence__ci95_high,improvement_vs_vanilla__reliability_auc_given_nominal_competence,improvement_vs_vanilla__reliability_auc_given_nominal_competence__ci95_low,improvement_vs_vanilla__reliability_auc_given_nominal_competence__ci95_high,probability_improves_vs_vanilla__reliability_auc_given_nominal_competence
Walker2d-v5,vanilla,20,30,0.5,10000,0.033333333333333326,0.0,0.09999999999999998,0.0,-0.0,0.0,0.0,0.28218253968253965,0.24037857142857144,0.3439206349206349,0.0,-0.0,0.0,0.0,0.25743021346469613,0.23543513957307066,0.28109528061224487,0.0,-0.0,0.0,0.0,0.7248956792370662,0.6989016874453913,0.7485759064983949,0.0,0.0,0.0,0.0
Walker2d-v5,tvc100,20,30,0.5,10000,1.0,1.0,1.0,-0.9666666666666667,-1.0,-0.9,0.0,1.0,1.0,1.0,-0.7178174603174603,-0.7596214285714286,-0.656079365079365,0.0,,,,,,,,,,,,,,
Walker2d-v5,tvc150,20,30,0.5,10000,1.0,1.0,1.0,-0.9666666666666667,-1.0,-0.9,0.0,0.9983730158730159,0.9954761904761904,1.0,-0.7161904761904763,-0.7580561507936507,-0.6543567460317461,0.0,,,,,,,,,,,,,,
Walker2d-v5,tvc200,20,30,0.5,10000,0.85,0.7316666666666667,0.95,-0.8166666666666667,-0.935,-0.6783333333333333,0.0,0.8698333333333335,0.7999503968253967,0.9306751984126985,-0.5876507936507938,-0.6649700396825398,-0.4971027777777779,0.0,0.5468571428571428,0.4482142857142857,0.6649999999999999,-0.2894269293924467,-0.40934140667761365,-0.19001617112362176,0.0,0.4155664894998625,0.37196470380135316,0.45153709681684273,-0.3093291897372037,-0.35808277875702965,-0.26692842049944404,0.0
Walker2d-v5,tvc225,20,30,0.5,10000,0.5783333333333334,0.41000000000000003,0.745,-0.545,-0.72,-0.3633333333333333,0.0,0.7193650793650793,0.6215230158730158,0.8138353174603173,-0.4371825396825397,-0.5429515873015873,-0.32387261904761905,0.0,0.4323672161172162,0.37976304112554116,0.4873942598061953,-0.17493700265252005,-0.2351019305188803,-0.11748288026417478,0.0,0.48292695577607275,0.44946090340001993,0.5161619691946547,-0.24196872346099346,-0.283188205615829,-0.20013970453316293,0.0
Walker2d-v5,tvc250,20,30,0.5,10000,0.22166666666666668,0.09333333333333338,0.3666666666666667,-0.18833333333333335,-0.3466666666666667,-0.036666666666666736,0.0081,0.4487142857142857,0.3657613095238095,0.5393125,-0.16653174603174603,-0.27019682539682527,-0.0640134920634921,0.0014,0.3387668772451381,0.3044062151616499,0.3792659534963255,-0.08133666378044196,-0.1272018455613898,-0.03968253819518813,0.0,0.5721627192761325,0.5407887727522206,0.6041230657390901,-0.15273295996093372,-0.19288768644700893,-0.11195925629100717,0.0
Walker2d-v5,tvc275,20,30,0.5,10000,0.09333333333333338,0.0,0.21333333333333337,-0.06000000000000005,-0.18666666666666665,0.06666666666666665,0.1721,0.3760476190476191,0.3112220238095238,0.45473174603174593,-0.09386507936507943,-0.1845267857142857,-0.004197023809523781,0.0196,0.3182947150763243,0.286004884004884,0.35623036398467434,-0.06086450161162815,-0.10386432828559267,-0.02072534927100816,0.001,0.6045828820993957,0.5723941028969113,0.6344549650857988,-0.12031279713767051,-0.16050525750119385,-0.08059580511229268,0.0
Walker2d-v5,tvc300,20,30,0.5,10000,0.0,0.0,0.0,0.033333333333333326,-0.0,0.09999999999999998,0.6391,0.27575396825396825,0.25617460317460317,0.29564305555555553,0.006428571428571395,-0.040533730158730186,0.07087420634920633,0.5494,0.27575396825396825,0.25617460317460317,0.29564305555555553,-0.018323754789272118,-0.04749265188834152,0.011484722222222214,0.1168,0.653442382095779,0.627762191275452,0.6791563718515288,-0.07145329714128723,-0.1062732644087629,-0.035031916113418035,0.0002
Walker2d-v5,tvc400,20,30,0.5,10000,0.033333333333333326,0.0,0.09999999999999998,0.0,-0.09999999999999998,0.09999999999999998,0.3462,0.27895238095238095,0.23809384920634916,0.33790694444444436,0.0032301587301586943,-0.07039702380952376,0.07858075396825401,0.5418,0.254088669950739,0.2316658456486043,0.2779737274220033,0.003341543513957157,-0.027793007662835233,0.03517797521307372,0.5902,0.7328127422527324,0.7037447041898629,0.759272261947569,0.007917063015666193,-0.028702333521365236,0.04493061659925477,0.6684
Walker2d-v5,tvc500,20,30,0.5,10000,0.06666666666666665,0.0,0.16666666666666663,-0.033333333333333326,-0.1333333333333333,0.06666666666666665,0.1764,0.3238333333333333,0.2666023809523809,0.39921468253968256,-0.04165079365079366,-0.13066309523809522,0.04158194444444443,0.1677,0.2756632653061225,0.25461527777777776,0.2975733784893267,-0.018233051841426373,-0.04946533023170951,0.013349234693877585,0.1296,0.6934835633839208,0.6643653906238045,0.7223301543652163,-0.031412115853145406,-0.068929221377863,0.007448645645453812,0.0568
