env_id,model_label,seed,axis,nominal_normalized_return,nominal_competent,nominal_failure,deployment_failure,reliability_auc
Walker2d-v5,vanilla,1,friction,1.0038073597155999,True,0.0,0.6,0.4480777787693872
Walker2d-v5,vanilla,2,friction,0.8982429114585623,True,0.0,0.4666666666666667,0.5310940338275271
Walker2d-v5,vanilla,3,friction,0.9898164141807169,True,0.0,0.4666666666666667,0.5824030978127611
Walker2d-v5,vanilla,4,friction,0.9158184440026168,True,0.0,0.5333333333333333,0.4919241855051148
Walker2d-v5,vanilla,5,friction,0.7254128565209012,True,0.0,0.6666666666666666,0.41364627990605324
Walker2d-v5,vanilla,6,friction,1.0363601978160193,True,0.0,0.2,0.7635210662756092
Walker2d-v5,vanilla,7,friction,1.1093528083380322,True,0.0,0.13333333333333333,0.8178212035740396
Walker2d-v5,vanilla,8,friction,1.0814665068238742,True,0.0,0.26666666666666666,0.7181662715613617
Walker2d-v5,vanilla,9,friction,1.039498833362952,True,0.0,0.2,0.7773220251191485
Walker2d-v5,vanilla,10,friction,1.1012250870956848,True,0.0,0.4,0.65714147433365
Walker2d-v5,vanilla,11,friction,0.9802708353273321,True,0.0,0.3333333333333333,0.7118326384632977
Walker2d-v5,vanilla,12,friction,0.9801463588064127,True,0.0,0.3333333333333333,0.6434887721551871
Walker2d-v5,vanilla,13,friction,1.1464047754999804,True,0.0,0.13333333333333333,0.816565457886744
Walker2d-v5,vanilla,14,friction,1.196502448013211,True,0.0,0.2,0.8051292342209924
Walker2d-v5,vanilla,15,friction,1.0873206329327556,True,0.0,0.3333333333333333,0.6738166504241061
Walker2d-v5,vanilla,16,friction,0.884060337539375,True,0.0,0.3333333333333333,0.5693702880327597
Walker2d-v5,vanilla,17,friction,1.008127583377001,True,0.0,0.4,0.623736666733308
Walker2d-v5,vanilla,18,friction,0.9462700428750072,True,0.0,0.26666666666666666,0.6742472103082557
Walker2d-v5,vanilla,19,friction,0.9542579254852143,True,0.0,0.4,0.5850925262365456
Walker2d-v5,vanilla,20,friction,1.01672806847043,True,0.0,0.26666666666666666,0.6923038260827565
Walker2d-v5,vanilla,21,friction,1.058422598328117,True,0.0,0.3333333333333333,0.6913832690207956
Walker2d-v5,vanilla,22,friction,1.0237496228759049,True,0.0,0.3333333333333333,0.6114139390301699
Walker2d-v5,vanilla,23,friction,1.0905044107406723,True,0.0,0.26666666666666666,0.7152378727581292
Walker2d-v5,vanilla,24,friction,0.202863869341876,False,1.0,1.0,0.14542798856086983
Walker2d-v5,vanilla,25,friction,0.9533645328932185,True,0.0,0.26666666666666666,0.6870841610455657
Walker2d-v5,vanilla,26,friction,0.950091276269192,True,0.0,0.4666666666666667,0.5030648875385212
Walker2d-v5,vanilla,27,friction,0.9478701922793978,True,0.0,0.2,0.7194319912617938
Walker2d-v5,vanilla,28,friction,0.8922490655925271,True,0.0,0.3333333333333333,0.5825898979496549
Walker2d-v5,vanilla,29,friction,1.0207563388180634,True,0.0,0.3333333333333333,0.6132363151774116
Walker2d-v5,vanilla,30,friction,0.9961926402844002,True,0.0,0.4666666666666667,0.5543263362329764
Walker2d-v5,vanilla,11,actuator_gain,0.9802708353273321,True,0.0,0.4,0.4690368370417462
Walker2d-v5,vanilla,12,actuator_gain,0.9801463588064127,True,0.0,0.6,0.40421611627314813
