variant,metric,n,sorted_values,mean,median,iqm
vanilla,episodic_return,5,856.3664|2685.928|3999.0894|4199.578|4386.82,3225.55636,3999.0894,3628.1984666666667
vanilla,eval_episodic_return,5,1692.0947|1898.5237|2176.6533|3620.8167|4296.554,2736.92848,2176.6533,2565.331233333333
vanilla,explained_variance,5,0.42957973|0.46019924|0.68417025|0.8497809|0.9770713,0.6801602840000001,0.68417025,0.6647167966666666
vanilla,value_loss,5,0.0031751734|0.0036608882|0.0046237325|0.011389171|0.026004586,0.00977071022,0.0046237325,0.006557930566666666
vanilla,p95_pre_clip,5,2.8295147|2.8341281|2.927475|2.944858|3.3548896,2.9781730800000004,2.927475,2.9021537
vanilla,p99_pre_clip,5,2.8629873|2.866303|2.962289|2.975373|3.4136767,3.0161258,2.962289,2.934655
noop,episodic_return,5,856.3664|2685.928|3999.0894|4199.578|4386.82,3225.55636,3999.0894,3628.1984666666667
noop,eval_episodic_return,5,1692.0947|1898.5237|2176.6533|3620.8167|4296.554,2736.92848,2176.6533,2565.331233333333
noop,clip_fraction,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
noop,excess_mean,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
noop,explained_variance,5,0.42957973|0.46019924|0.68417025|0.8497809|0.9770713,0.6801602840000001,0.68417025,0.6647167966666666
noop,value_loss,5,0.0031751734|0.0036608882|0.0046237325|0.011389171|0.026004586,0.00977071022,0.0046237325,0.006557930566666666
noop,p95_pre_clip,5,2.8295147|2.8341281|2.927475|2.944858|3.3548896,2.9781730800000004,2.927475,2.9021537
noop,p99_pre_clip,5,2.8629873|2.866303|2.962289|2.975373|3.4136767,3.0161258,2.962289,2.934655
2.95,episodic_return,5,1340.8292|1363.1455|3350.0293|4119.3013|4873.592,3009.37946,3350.0293,2944.1587
2.95,eval_episodic_return,5,1046.3843|1052.3585|1466.8534|2658.8625|4884.325,2221.75674,1466.8534,1726.0248000000001
2.95,clip_fraction,5,0.0|0.0|0.0|0.038085938|0.03955078,0.015527343599999998,0.0,0.012695312666666667
2.95,excess_mean,5,0.0|0.0|0.0|0.00080507493|0.0009679573,0.000354606446,0.0,0.00026835831
2.95,explained_variance,5,0.7652346|0.8674806|0.87624454|0.96148777|0.9828826,0.8906660220000001,0.87624454,0.9017376366666667
2.95,value_loss,5,0.0026753459|0.0041754986|0.005073753|0.01399297|0.03915611,0.013014735500000003,0.005073753,0.0077474072000000005
2.95,p95_pre_clip,5,2.7951894|2.8213985|2.8335464|2.9449332|2.9463723,2.86828796,2.8335464,2.866626033333333
2.95,p99_pre_clip,5,2.8120258|2.8633566|2.876914|2.9835596|2.987921,2.9047554,2.876914,2.9079434
3.00,episodic_return,5,1296.4899|2624.819|3359.3098|3464.6313|4247.0,2998.45,3359.3098,3149.5867
3.00,eval_episodic_return,5,1659.3212|2218.828|2822.3674|3544.9167|3888.675,2826.8216600000005,2822.3674,2862.037366666667
3.00,clip_fraction,5,0.0|0.0|0.0|0.0|0.041992188,0.0083984376,0.0,0.0
3.00,excess_mean,5,0.0|0.0|0.0|0.0|0.000545377,0.0001090754,0.0,0.0
3.00,explained_variance,5,0.27156955|0.33565736|0.6502812|0.87202835|0.9826932,0.622445932,0.6502812,0.6193223033333334
3.00,value_loss,5,0.0012594438|0.0018630328|0.0057755117|0.006209937|0.011046311,0.005230847259999999,0.0057755117,0.0046161605
3.00,p95_pre_clip,5,2.722538|2.7930944|2.8138354|2.8551922|2.9944637,2.8358247400000005,2.8138354,2.820707333333333
3.00,p99_pre_clip,5,2.7421582|2.827615|2.8293607|2.8726244|3.0187879,2.85810924,2.8293607,2.8432000333333334
3.05,episodic_return,5,2082.7463|2227.5574|3605.9734|3879.0989|4004.8113,3160.03746,3605.9734,3237.543233333334
3.05,eval_episodic_return,5,1662.0239|2258.8325|2825.4175|4132.6733|4254.3804,3026.66552,2825.4175,3072.307766666667
3.05,clip_fraction,5,0.0|0.0|0.0126953125|0.020996094|0.055664062,0.0178710937,0.0126953125,0.011230468833333333
3.05,excess_mean,5,0.0|0.0|2.765865e-05|0.0003970263|0.0020070975,0.00048635648999999996,2.765865e-05,0.00014156165000000001
3.05,explained_variance,5,0.7464869|0.7783403|0.81732064|0.95957834|0.97707975,0.855761186,0.81732064,0.8517464266666668
3.05,value_loss,5,0.004302901|0.004715109|0.0069962847|0.0072081964|0.03972152,0.01258880222,0.0069962847,0.006306530033333334
3.05,p95_pre_clip,5,2.8436463|2.8983512|3.0057585|3.029434|3.0553505,2.9665081,3.0057585,2.9778479000000004
3.05,p99_pre_clip,5,2.8885248|2.9212945|3.0509648|3.067657|3.1114385,3.0079759200000002,3.0509648,3.013305433333333
3.10,episodic_return,5,1314.078|2040.5914|3894.6821|3906.559|4014.7896,3034.14002,3894.6821,3280.6108333333336
3.10,eval_episodic_return,5,1094.8677|1210.8752|1667.5042|2648.9226|3914.5999,2107.35392,1667.5042,1842.434
3.10,clip_fraction,5,0.0|0.0|0.0|0.0|0.0043945312,0.0008789062400000001,0.0,0.0
3.10,excess_mean,5,0.0|0.0|0.0|0.0|1.7359154e-05,3.4718308e-06,0.0,0.0
3.10,explained_variance,5,0.584849|0.65688825|0.70866823|0.83401835|0.9416855,0.745221866,0.70866823,0.73319161
3.10,value_loss,5,0.0024972628|0.010180495|0.015967853|0.016131602|0.102703445,0.02949613156,0.015967853,0.014093316666666666
3.10,p95_pre_clip,5,2.636303|2.7966099|2.8939|2.9439719|2.9505339,2.8442637399999997,2.8939,2.8781605999999997
3.10,p99_pre_clip,5,2.6828558|2.8158498|2.9185863|2.9792001|3.0693934,2.89317708,2.9185863,2.9045454
3.50,episodic_return,5,1190.8125|1353.8693|1709.0032|4070.4836|4286.7915,2522.19202,1709.0032,2377.785366666667
3.50,eval_episodic_return,5,1084.8154|1753.591|2439.179|2801.2893|4168.761,2449.52714,2439.179,2331.3531000000003
3.50,clip_fraction,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
3.50,excess_mean,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
3.50,explained_variance,5,0.83234465|0.8347719|0.98419166|0.9889069|0.98943746,0.925930514,0.98419166,0.93595682
3.50,value_loss,5,0.0009285851|0.001400975|0.0016591882|0.005921549|0.011067764,0.00419561226,0.0016591882,0.002993904066666667
3.50,p95_pre_clip,5,2.8508887|2.8971574|2.9337237|2.984563|3.0159066,2.9364478800000002,2.9337237,2.9384813666666667
3.50,p99_pre_clip,5,2.882088|2.914717|2.9606612|3.0046692|3.051519,2.96273088,2.9606612,2.9600158000000003
3.70,episodic_return,5,1068.8052|1433.2866|3796.2473|4202.9663|4336.5415,2967.56938,3796.2473,3144.1667333333335
3.70,eval_episodic_return,5,1294.9773|1857.0862|2686.2239|3635.6467|4516.3687,2798.06056,2686.2239,2726.3189333333335
3.70,clip_fraction,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
3.70,excess_mean,5,0.0|0.0|0.0|0.0|0.0,0.0,0.0,0.0
3.70,explained_variance,5,0.6410281|0.7136666|0.8235862|0.965395|0.9838878,0.82551274,0.8235862,0.8342159333333333
3.70,value_loss,5,0.0014026418|0.0036724943|0.031886954|0.03949494|0.07101428,0.029494262020000002,0.031886954,0.02501812943333333
3.70,p95_pre_clip,5,2.6870651|2.7805898|2.816501|2.8771951|3.0539598,2.8430621599999997,2.816501,2.824761966666667
3.70,p99_pre_clip,5,2.6979423|2.8541472|2.8552144|2.9131887|3.1077595,2.88565042,2.8552144,2.8741834333333336
